Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.667e-03;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
3.334e-03;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
5.002e-03;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
6.669e-03;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
8.336e-03;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.000e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.167e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.334e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.501e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.667e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
1.834e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
2.001e-02;-6.500e-01;-9.466e-01;-5.034e-01;-5.034e-01;-9.466e-01;-5.034e-01;-9.466e-01
2.167e-02;-6.500e-01;-9.468e-01;-5.032e-01;-5.032e-01;-9.468e-01;-5.032e-01;-9.468e-01
2.334e-02;-6.501e-01;-9.471e-01;-5.029e-01;-5.031e-01;-9.471e-01;-5.029e-01;-9.471e-01
2.501e-02;-6.503e-01;-9.474e-01;-5.026e-01;-5.030e-01;-9.474e-01;-5.026e-01;-9.474e-01
2.668e-02;-6.505e-01;-9.477e-01;-5.023e-01;-5.031e-01;-9.477e-01;-5.023e-01;-9.477e-01
2.834e-02;-6.508e-01;-9.480e-01;-5.020e-01;-5.032e-01;-9.480e-01;-5.020e-01;-9.480e-01
3.001e-02;-6.512e-01;-7.983e-01;-5.017e-01;-5.035e-01;-7.983e-01;-5.017e-01;-7.983e-01
3.168e-02;-6.516e-01;-7.998e-01;-5.038e-01;-5.038e-01;-7.986e-01;-5.050e-01;-7.998e-01
3.334e-02;-6.520e-01;-8.012e-01;-5.042e-01;-5.042e-01;-7.989e-01;-5.082e-01;-8.012e-01
3.501e-02;-6.525e-01;-8.027e-01;-5.046e-01;-5.046e-01;-7.993e-01;-5.114e-01;-8.027e-01
3.668e-02;-6.531e-01;-8.041e-01;-5.052e-01;-5.052e-01;-7.997e-01;-5.146e-01;-8.041e-01
3.835e-02;-6.537e-01;-8.055e-01;-5.058e-01;-5.058e-01;-8.001e-01;-5.177e-01;-8.055e-01
4.001e-02;-6.543e-01;-8.070e-01;-5.065e-01;-5.065e-01;-8.006e-01;-5.209e-01;-8.070e-01
4.168e-02;-6.550e-01;-8.084e-01;-5.072e-01;-5.072e-01;-8.011e-01;-5.240e-01;-8.084e-01
4.335e-02;-6.557e-01;-8.098e-01;-5.081e-01;-5.081e-01;-8.016e-01;-5.271e-01;-8.098e-01
4.502e-02;-6.565e-01;-8.111e-01;-5.089e-01;-5.089e-01;-8.021e-01;-5.301e-01;-8.111e-01
4.668e-02;-6.573e-01;-8.125e-01;-5.099e-01;-5.099e-01;-8.026e-01;-5.332e-01;-8.125e-01
4.835e-02;-6.581e-01;-8.139e-01;-5.108e-01;-5.108e-01;-8.032e-01;-5.362e-01;-8.139e-01
5.002e-02;-6.590e-01;-8.152e-01;-5.119e-01;-5.119e-01;-8.038e-01;-5.392e-01;-8.152e-01
5.168e-02;-6.599e-01;-8.166e-01;-5.130e-01;-5.130e-01;-8.044e-01;-5.421e-01;-8.166e-01
5.335e-02;-6.608e-01;-8.179e-01;-5.141e-01;-5.141e-01;-8.050e-01;-5.450e-01;-8.179e-01
5.502e-02;-6.618e-01;-8.192e-01;-5.153e-01;-5.153e-01;-8.057e-01;-5.480e-01;-8.192e-01
5.669e-02;-6.628e-01;-8.206e-01;-5.165e-01;-5.165e-01;-8.064e-01;-5.509e-01;-8.206e-01
5.835e-02;-6.638e-01;-8.219e-01;-5.177e-01;-5.177e-01;-8.070e-01;-5.537e-01;-8.219e-01
6.002e-02;-6.648e-01;-8.232e-01;-5.190e-01;-5.190e-01;-8.077e-01;-5.566e-01;-8.232e-01
6.169e-02;-6.659e-01;-8.244e-01;-5.204e-01;-5.204e-01;-8.084e-01;-5.594e-01;-8.244e-01
6.335e-02;-6.670e-01;-8.257e-01;-5.217e-01;-5.217e-01;-8.092e-01;-5.622e-01;-8.257e-01
6.502e-02;-6.681e-01;-8.270e-01;-5.231e-01;-5.231e-01;-8.099e-01;-5.649e-01;-8.270e-01
6.669e-02;-6.692e-01;-8.282e-01;-5.246e-01;-5.246e-01;-8.106e-01;-5.677e-01;-8.282e-01
6.836e-02;-6.704e-01;-8.295e-01;-5.260e-01;-5.260e-01;-8.114e-01;-5.704e-01;-8.295e-01
7.002e-02;-6.715e-01;-8.307e-01;-5.275e-01;-5.275e-01;-8.122e-01;-5.731e-01;-8.307e-01
7.169e-02;-6.727e-01;-8.320e-01;-5.290e-01;-5.290e-01;-8.130e-01;-5.758e-01;-8.320e-01
7.336e-02;-6.739e-01;-8.332e-01;-5.306e-01;-5.306e-01;-8.138e-01;-5.785e-01;-8.332e-01
7.503e-02;-6.751e-01;-8.344e-01;-5.321e-01;-5.321e-01;-8.146e-01;-5.811e-01;-8.344e-01
7.669e-02;-6.763e-01;-8.356e-01;-5.337e-01;-5.337e-01;-8.154e-01;-5.837e-01;-8.356e-01
7.836e-02;-6.776e-01;-8.368e-01;-5.353e-01;-5.353e-01;-8.162e-01;-5.863e-01;-8.368e-01
8.003e-02;-6.788e-01;-8.380e-01;-5.370e-01;-5.370e-01;-8.170e-01;-5.889e-01;-8.380e-01
8.169e-02;-6.801e-01;-8.391e-01;-5.386e-01;-5.386e-01;-8.178e-01;-5.915e-01;-8.391e-01
8.336e-02;-6.813e-01;-8.403e-01;-5.403e-01;-5.403e-01;-8.187e-01;-5.940e-01;-8.403e-01
8.503e-02;-6.826e-01;-8.415e-01;-5.420e-01;-5.420e-01;-8.195e-01;-5.965e-01;-8.415e-01
8.670e-02;-6.839e-01;-8.426e-01;-5.437e-01;-5.437e-01;-8.204e-01;-5.990e-01;-8.426e-01
8.836e-02;-6.852e-01;-8.438e-01;-5.454e-01;-5.454e-01;-8.212e-01;-6.015e-01;-8.438e-01
9.003e-02;-6.865e-01;-8.449e-01;-5.471e-01;-5.471e-01;-8.221e-01;-6.039e-01;-8.449e-01
9.170e-02;-6.878e-01;-8.460e-01;-5.488e-01;-5.488e-01;-8.229e-01;-6.064e-01;-8.460e-01
9.336e-02;-6.892e-01;-8.471e-01;-5.506e-01;-5.506e-01;-8.238e-01;-6.088e-01;-8.471e-01
9.503e-02;-6.905e-01;-8.482e-01;-5.524e-01;-5.524e-01;-8.247e-01;-6.112e-01;-8.482e-01
9.670e-02;-6.918e-01;-8.513e-01;-5.541e-01;-5.541e-01;-8.256e-01;-6.136e-01;-8.513e-01
9.837e-02;-6.932e-01;-8.553e-01;-5.559e-01;-5.559e-01;-8.264e-01;-6.159e-01;-8.553e-01
1.000e-01;-6.945e-01;-8.592e-01;-5.577e-01;-5.577e-01;-8.273e-01;-6.183e-01;-8.592e-01
