time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;-6.660e-01;1.724e-09;-6.660e-01;8.139e-09;1.000e+00;-6.660e-01;9.646e-09;1.000e+00;-3.330e-03;6.430e-10;-6.660e-01;9.000e-05
0.000001000;1.000e+00;-6.660e-01;1.750e-09;-6.660e-01;8.135e-09;1.000e+00;-6.660e-01;9.563e-09;1.000e+00;-3.330e-03;6.764e-10;-6.660e-01;9.000e-05
29.999994000;1.000e+00;-6.660e-01;-6.545e-10;-6.660e-01;4.610e-09;1.000e+00;-6.660e-01;-3.358e-09;1.000e+00;-3.330e-03;-5.606e-09;-6.660e-01;9.000e-05
29.999994000;9.978e-07;2.486e-09;-6.078e-10;2.447e-10;4.169e-09;1.430e-04;-2.434e-09;-3.360e-09;9.993e-07;-2.341e-09;-5.448e-09;-6.660e-01;9.000e-05
30.019142000;9.975e-07;-4.924e-09;-1.501e-09;-7.423e-09;4.140e-09;2.000e-04;-5.714e-09;-2.609e-07;1.003e-06;-2.548e-09;-2.473e-09;-6.660e-01;9.000e-05
30.019398000;9.976e-07;-4.988e-09;-1.461e-09;-7.427e-09;4.452e-09;2.011e-04;-5.774e-09;9.944e-01;1.003e-06;-2.495e-09;-2.537e-09;-6.660e-01;9.000e-05
30.019654000;9.976e-07;-5.041e-09;-1.420e-09;-7.437e-09;4.738e-09;2.017e-04;-5.819e-09;9.916e-01;1.002e-06;-2.422e-09;-2.601e-09;-6.660e-01;9.000e-05
30.019910000;9.977e-07;-5.089e-09;-1.377e-09;-7.449e-09;4.999e-09;2.023e-04;-5.850e-09;9.888e-01;1.002e-06;-2.330e-09;-2.665e-09;-6.660e-01;9.000e-05
30.020166000;9.978e-07;-5.133e-09;-1.329e-09;-7.460e-09;5.231e-09;2.029e-04;-5.865e-09;9.859e-01;1.002e-06;-2.222e-09;-2.731e-09;-6.660e-01;9.000e-05
30.020422000;9.979e-07;-5.175e-09;-1.276e-09;-7.468e-09;5.434e-09;2.048e-04;-5.864e-09;9.764e-01;1.002e-06;-2.099e-09;-2.798e-09;-6.660e-01;9.000e-05
30.020678000;9.980e-07;-5.215e-09;-1.217e-09;-7.471e-09;5.607e-09;2.054e-04;-5.845e-09;9.736e-01;1.002e-06;-1.961e-09;-2.864e-09;-6.660e-01;9.000e-05
30.020934000;9.982e-07;-5.253e-09;-1.153e-09;-7.466e-09;5.749e-09;2.060e-04;-5.807e-09;9.708e-01;1.002e-06;-1.807e-09;-2.930e-09;-6.660e-01;9.000e-05
30.021190000;9.983e-07;-5.289e-09;-1.086e-09;-7.453e-09;5.862e-09;2.066e-04;-5.751e-09;9.680e-01;1.002e-06;-1.634e-09;-2.995e-09;-6.660e-01;9.000e-05
30.021446000;9.985e-07;-5.321e-09;-1.019e-09;-7.428e-09;5.944e-09;2.072e-04;-5.678e-09;9.652e-01;1.002e-06;-1.440e-09;-3.059e-09;-6.660e-01;9.000e-05
30.021702000;9.986e-07;-5.345e-09;-9.535e-10;-7.390e-09;5.997e-09;2.084e-04;-5.589e-09;9.597e-01;1.002e-06;-1.222e-09;-3.121e-09;-6.660e-01;9.000e-05
30.021958000;9.988e-07;-5.360e-09;-8.922e-10;-7.338e-09;6.025e-09;2.090e-04;-5.488e-09;9.569e-01;1.001e-06;-9.791e-10;-3.179e-09;-6.660e-01;9.000e-05
30.022214000;9.989e-07;-5.366e-09;-8.367e-10;-7.269e-09;6.030e-09;2.104e-04;-5.380e-09;9.505e-01;1.001e-06;-7.106e-10;-3.230e-09;-6.660e-01;9.000e-05
30.022470000;9.991e-07;-5.363e-09;-7.880e-10;-7.186e-09;6.015e-09;2.110e-04;-5.266e-09;9.478e-01;1.001e-06;-4.170e-10;-3.270e-09;-6.660e-01;9.000e-05
30.022726000;9.992e-07;-5.350e-09;-7.465e-10;-7.088e-09;5.980e-09;2.116e-04;-5.149e-09;9.450e-01;1.001e-06;-9.996e-11;-3.298e-09;-6.660e-01;9.000e-05
30.022982000;9.994e-07;-5.327e-09;-7.117e-10;-6.977e-09;5.927e-09;2.122e-04;-5.029e-09;9.423e-01;1.001e-06;2.373e-10;-3.314e-09;-6.660e-01;9.000e-05
30.023238000;9.995e-07;-5.291e-09;-6.820e-10;-6.853e-09;5.857e-09;2.129e-04;-4.906e-09;9.395e-01;1.001e-06;5.911e-10;-3.317e-09;-6.660e-01;9.000e-05
30.023494000;9.996e-07;-5.244e-09;-6.552e-10;-6.716e-09;5.771e-09;2.135e-04;-4.778e-09;9.368e-01;1.001e-06;9.571e-10;-3.309e-09;-6.660e-01;9.000e-05
30.023750000;9.997e-07;-5.186e-09;-6.295e-10;-6.568e-09;5.670e-09;2.141e-04;-4.643e-09;9.341e-01;1.001e-06;1.331e-09;-3.291e-09;-6.660e-01;9.000e-05
30.024006000;9.998e-07;-5.116e-09;-6.024e-10;-6.410e-09;5.552e-09;2.147e-04;-4.502e-09;9.314e-01;1.001e-06;1.708e-09;-3.266e-09;-6.660e-01;9.000e-05
30.024262000;9.999e-07;-5.034e-09;-5.715e-10;-6.246e-09;5.419e-09;2.161e-04;-4.351e-09;9.253e-01;1.001e-06;2.084e-09;-3.235e-09;-6.660e-01;9.000e-05
30.024518000;1.000e-06;-4.939e-09;-5.348e-10;-6.077e-09;5.270e-09;2.168e-04;-4.190e-09;9.226e-01;1.001e-06;2.456e-09;-3.200e-09;-6.660e-01;9.000e-05
