time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;1.050e+00;3.330e-01;2.160e-01;3.171e-01;2.057e-01;1.050e+00;3.171e-01;2.057e-01;1.050e+00;1.665e-03;1.080e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.990058000;1.050e+00;3.330e-01;2.160e-01;3.172e-01;2.058e-01;1.050e+00;3.172e-01;2.058e-01;1.050e+00;1.665e-03;1.080e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.990122000;1.049e+00;3.328e-01;2.158e-01;3.171e-01;2.056e-01;1.049e+00;3.171e-01;2.058e-01;1.049e+00;1.664e-03;1.079e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.991183000;1.044e+00;3.312e-01;2.148e-01;3.172e-01;2.057e-01;1.044e+00;3.172e-01;2.057e-01;1.044e+00;1.656e-03;1.074e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.992719000;1.036e+00;3.286e-01;2.136e-01;3.170e-01;2.061e-01;1.036e+00;3.170e-01;2.061e-01;1.036e+00;1.643e-03;1.068e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.993231000;1.034e+00;3.278e-01;2.132e-01;3.171e-01;2.062e-01;1.034e+00;3.170e-01;2.062e-01;1.034e+00;1.639e-03;1.066e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.994767000;1.026e+00;3.256e-01;2.120e-01;3.173e-01;2.066e-01;1.026e+00;3.173e-01;2.066e-01;1.026e+00;1.628e-03;1.060e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.995791000;1.021e+00;3.240e-01;2.114e-01;3.173e-01;2.070e-01;1.021e+00;3.173e-01;2.072e-01;1.021e+00;1.620e-03;1.057e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.996303000;1.019e+00;3.232e-01;2.112e-01;3.173e-01;2.073e-01;1.019e+00;3.173e-01;2.073e-01;1.019e+00;1.616e-03;1.056e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
29.998863000;1.006e+00;3.196e-01;2.104e-01;3.177e-01;2.091e-01;1.006e+00;3.177e-01;2.091e-01;1.006e+00;1.598e-03;1.052e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.000026000;1.000e+00;3.180e-01;2.104e-01;3.179e-01;2.103e-01;1.000e+00;3.181e-01;2.103e-01;1.000e+00;1.590e-03;1.052e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.000506000;9.980e-01;3.174e-01;2.104e-01;3.180e-01;2.108e-01;9.980e-01;3.180e-01;2.108e-01;9.980e-01;1.587e-03;1.052e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.001530000;9.929e-01;3.162e-01;2.104e-01;3.184e-01;2.119e-01;9.930e-01;3.184e-01;2.119e-01;9.929e-01;1.581e-03;1.052e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.002530000;9.881e-01;3.150e-01;2.106e-01;3.188e-01;2.131e-01;9.881e-01;3.188e-01;2.131e-01;9.881e-01;1.575e-03;1.053e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.003428000;9.837e-01;3.138e-01;2.108e-01;3.190e-01;2.143e-01;9.837e-01;3.190e-01;2.143e-01;9.837e-01;1.569e-03;1.054e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.004325000;9.793e-01;3.128e-01;2.110e-01;3.194e-01;2.155e-01;9.794e-01;3.194e-01;2.154e-01;9.793e-01;1.564e-03;1.055e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.007916000;9.620e-01;3.088e-01;2.128e-01;3.210e-01;2.212e-01;9.620e-01;3.210e-01;2.212e-01;9.620e-01;1.544e-03;1.064e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
30.009712000;9.533e-01;3.070e-01;2.140e-01;3.220e-01;2.245e-01;9.534e-01;3.220e-01;2.247e-01;9.533e-01;1.535e-03;1.070e-03;5.000e+01;1.000e+01;3.330e-01;2.160e-01;5.000e+01
