time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;6.660e-01;7.924e-09;6.660e-01;2.422e-09;1.000e+00;6.660e-01;-5.757e-09;1.000e+00;3.330e-03;8.978e-10;6.660e-01;9.000e-05
0.000001000;1.000e+00;6.660e-01;7.892e-09;6.660e-01;2.411e-09;1.000e+00;6.660e-01;-5.796e-09;1.000e+00;3.330e-03;9.686e-10;6.660e-01;9.000e-05
29.999994000;1.000e+00;6.660e-01;-3.710e-10;6.660e-01;-6.724e-09;1.000e+00;6.660e-01;4.216e-09;1.000e+00;3.330e-03;-4.474e-09;6.660e-01;9.000e-05
29.999994000;-3.982e-09;-2.132e-09;-1.590e-10;-2.429e-09;-6.770e-09;1.429e-04;-8.144e-10;4.302e-09;-5.025e-09;1.158e-09;-4.624e-09;6.660e-01;9.000e-05
30.019142000;4.414e-09;-2.744e-09;5.894e-10;-8.453e-09;-1.070e-09;1.995e-04;1.126e-09;3.846e-07;4.020e-09;-1.906e-09;-3.604e-09;6.660e-01;9.000e-05
30.019398000;4.249e-09;-2.872e-09;4.550e-10;-8.500e-09;-9.666e-10;2.000e-04;1.072e-09;9.999e-01;3.826e-09;-2.276e-09;-3.679e-09;6.660e-01;9.000e-05
30.019654000;4.089e-09;-2.991e-09;3.311e-10;-8.534e-09;-8.770e-10;2.011e-04;1.025e-09;9.945e-01;3.604e-09;-2.637e-09;-3.763e-09;6.660e-01;9.000e-05
30.019910000;3.936e-09;-3.099e-09;2.187e-10;-8.556e-09;-8.000e-10;2.025e-04;9.843e-10;9.877e-01;3.355e-09;-2.987e-09;-3.858e-09;6.660e-01;9.000e-05
30.020166000;3.792e-09;-3.195e-09;1.178e-10;-8.572e-09;-7.338e-10;2.030e-04;9.461e-10;9.851e-01;3.084e-09;-3.325e-09;-3.963e-09;6.660e-01;9.000e-05
30.020422000;3.657e-09;-3.278e-09;2.836e-11;-8.581e-09;-6.766e-10;2.036e-04;9.074e-10;9.824e-01;2.796e-09;-3.651e-09;-4.081e-09;6.660e-01;9.000e-05
30.020678000;3.531e-09;-3.347e-09;-5.014e-11;-8.586e-09;-6.273e-10;2.047e-04;8.662e-10;9.771e-01;2.494e-09;-3.966e-09;-4.211e-09;6.660e-01;9.000e-05
