time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;6.667e-01;-2.167e-01;6.383e-01;-2.074e-01;9.794e-01;1.043e+00;6.618e-01;-1.728e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;5.000e+01;5.000e+01
19.989996;1.044e+00;6.667e-01;-2.167e-01;6.383e-01;-2.074e-01;9.794e-01;1.043e+00;6.618e-01;-1.728e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;5.000e+01;5.000e+01
19.990000;1.044e+00;6.667e-01;-2.167e-01;6.383e-01;-2.074e-01;9.794e-01;1.043e+00;6.618e-01;-1.728e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;5.000e+01;5.000e+01
19.990060;1.045e+00;6.672e-01;-2.168e-01;6.383e-01;-2.074e-01;9.802e-01;1.044e+00;6.618e-01;-1.728e-01;1.045e+00;4.003e-01;-1.301e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;5.000e+01;5.000e+01
19.990124;1.046e+00;6.677e-01;-2.170e-01;6.383e-01;-2.074e-01;9.809e-01;1.045e+00;6.618e-01;-1.728e-01;1.046e+00;4.006e-01;-1.302e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.999e+01;4.999e+01
19.990252;1.048e+00;6.687e-01;-2.173e-01;6.383e-01;-2.074e-01;9.825e-01;1.046e+00;6.618e-01;-1.729e-01;1.048e+00;4.012e-01;-1.304e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.998e+01;4.998e+01
19.990380;1.049e+00;6.698e-01;-2.176e-01;6.383e-01;-2.074e-01;9.840e-01;1.048e+00;6.618e-01;-1.729e-01;1.049e+00;4.019e-01;-1.306e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.998e+01;4.998e+01
19.990508;1.051e+00;6.708e-01;-2.180e-01;6.383e-01;-2.074e-01;9.855e-01;1.050e+00;6.618e-01;-1.729e-01;1.051e+00;4.025e-01;-1.308e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.997e+01;4.997e+01
19.990636;1.053e+00;6.719e-01;-2.183e-01;6.383e-01;-2.074e-01;9.871e-01;1.051e+00;6.618e-01;-1.729e-01;1.053e+00;4.031e-01;-1.310e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.996e+01;4.996e+01
19.990838;1.055e+00;6.735e-01;-2.188e-01;6.383e-01;-2.073e-01;9.895e-01;1.054e+00;6.618e-01;-1.729e-01;1.055e+00;4.041e-01;-1.313e-01;1.000e+01;6.667e-01;-2.167e-01;9.794e-01;4.996e+01;4.996e+01
