time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.500e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
0.000001000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.500e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.989994000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.500e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.989994000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.499e-01;3.506e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.989995000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.499e-01;3.506e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.989996000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.499e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.989998000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.499e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990002000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.500e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990010000;9.500e-01;3.330e-01;-2.160e-01;3.505e-01;-2.274e-01;9.500e-01;3.505e-01;-2.274e-01;9.500e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990026000;9.501e-01;3.330e-01;-2.160e-01;3.505e-01;-2.273e-01;9.501e-01;3.505e-01;-2.273e-01;9.501e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990058000;9.503e-01;3.330e-01;-2.160e-01;3.504e-01;-2.273e-01;9.502e-01;3.506e-01;-2.273e-01;9.503e-01;1.665e-03;-1.080e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990122000;9.506e-01;3.332e-01;-2.162e-01;3.505e-01;-2.274e-01;9.506e-01;3.505e-01;-2.274e-01;9.506e-01;1.666e-03;-1.081e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990250000;9.513e-01;3.334e-01;-2.162e-01;3.505e-01;-2.273e-01;9.512e-01;3.505e-01;-2.273e-01;9.513e-01;1.667e-03;-1.081e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990378000;9.519e-01;3.336e-01;-2.164e-01;3.505e-01;-2.273e-01;9.518e-01;3.505e-01;-2.273e-01;9.519e-01;1.668e-03;-1.082e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990427000;9.521e-01;3.338e-01;-2.166e-01;3.506e-01;-2.275e-01;9.521e-01;3.506e-01;-2.273e-01;9.521e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990429000;9.521e-01;3.338e-01;-2.166e-01;3.506e-01;-2.275e-01;9.521e-01;3.506e-01;-2.273e-01;9.521e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990431000;9.522e-01;3.338e-01;-2.166e-01;3.506e-01;-2.275e-01;9.521e-01;3.506e-01;-2.273e-01;9.522e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990435000;9.522e-01;3.338e-01;-2.166e-01;3.506e-01;-2.275e-01;9.521e-01;3.506e-01;-2.273e-01;9.522e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990443000;9.522e-01;3.338e-01;-2.166e-01;3.506e-01;-2.275e-01;9.522e-01;3.506e-01;-2.273e-01;9.522e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990459000;9.523e-01;3.338e-01;-2.166e-01;3.505e-01;-2.275e-01;9.523e-01;3.505e-01;-2.275e-01;9.523e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990491000;9.525e-01;3.338e-01;-2.166e-01;3.505e-01;-2.274e-01;9.524e-01;3.505e-01;-2.274e-01;9.525e-01;1.669e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990555000;9.528e-01;3.340e-01;-2.166e-01;3.506e-01;-2.273e-01;9.527e-01;3.506e-01;-2.273e-01;9.528e-01;1.670e-03;-1.083e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990683000;9.534e-01;3.342e-01;-2.168e-01;3.505e-01;-2.274e-01;9.534e-01;3.505e-01;-2.274e-01;9.534e-01;1.671e-03;-1.084e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.990939000;9.547e-01;3.346e-01;-2.170e-01;3.505e-01;-2.273e-01;9.547e-01;3.505e-01;-2.273e-01;9.547e-01;1.673e-03;-1.085e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.991195000;9.560e-01;3.350e-01;-2.174e-01;3.504e-01;-2.274e-01;9.559e-01;3.504e-01;-2.274e-01;9.560e-01;1.675e-03;-1.087e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.991451000;9.573e-01;3.356e-01;-2.176e-01;3.506e-01;-2.273e-01;9.572e-01;3.506e-01;-2.273e-01;9.573e-01;1.678e-03;-1.088e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.991707000;9.585e-01;3.360e-01;-2.180e-01;3.505e-01;-2.274e-01;9.585e-01;3.505e-01;-2.274e-01;9.585e-01;1.680e-03;-1.090e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.991963000;9.598e-01;3.364e-01;-2.182e-01;3.505e-01;-2.273e-01;9.598e-01;3.505e-01;-2.273e-01;9.598e-01;1.682e-03;-1.091e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.992219000;9.611e-01;3.368e-01;-2.186e-01;3.504e-01;-2.274e-01;9.611e-01;3.504e-01;-2.272e-01;9.611e-01;1.684e-03;-1.093e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.992475000;9.624e-01;3.372e-01;-2.188e-01;3.504e-01;-2.274e-01;9.623e-01;3.504e-01;-2.274e-01;9.624e-01;1.686e-03;-1.094e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.992731000;9.637e-01;3.378e-01;-2.190e-01;3.505e-01;-2.273e-01;9.636e-01;3.506e-01;-2.273e-01;9.637e-01;1.689e-03;-1.095e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.992987000;9.650e-01;3.382e-01;-2.194e-01;3.505e-01;-2.274e-01;9.649e-01;3.505e-01;-2.274e-01;9.650e-01;1.691e-03;-1.097e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.993243000;9.662e-01;3.386e-01;-2.196e-01;3.504e-01;-2.273e-01;9.662e-01;3.504e-01;-2.273e-01;9.662e-01;1.693e-03;-1.098e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.993755000;9.688e-01;3.394e-01;-2.202e-01;3.503e-01;-2.273e-01;9.688e-01;3.503e-01;-2.273e-01;9.688e-01;1.697e-03;-1.101e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.994267000;9.714e-01;3.404e-01;-2.208e-01;3.504e-01;-2.273e-01;9.713e-01;3.505e-01;-2.273e-01;9.714e-01;1.702e-03;-1.104e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.994779000;9.739e-01;3.412e-01;-2.214e-01;3.503e-01;-2.273e-01;9.739e-01;3.504e-01;-2.271e-01;9.739e-01;1.706e-03;-1.107e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.995291000;9.765e-01;3.420e-01;-2.220e-01;3.502e-01;-2.273e-01;9.764e-01;3.503e-01;-2.272e-01;9.765e-01;1.710e-03;-1.110e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.995803000;9.790e-01;3.428e-01;-2.226e-01;3.501e-01;-2.274e-01;9.790e-01;3.502e-01;-2.272e-01;9.790e-01;1.714e-03;-1.113e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.996315000;9.816e-01;3.438e-01;-2.232e-01;3.502e-01;-2.274e-01;9.816e-01;3.503e-01;-2.272e-01;9.816e-01;1.719e-03;-1.116e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.996827000;9.842e-01;3.446e-01;-2.238e-01;3.501e-01;-2.274e-01;9.841e-01;3.502e-01;-2.272e-01;9.842e-01;1.723e-03;-1.119e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.997339000;9.867e-01;3.454e-01;-2.244e-01;3.500e-01;-2.274e-01;9.867e-01;3.501e-01;-2.274e-01;9.867e-01;1.727e-03;-1.122e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.997851000;9.893e-01;3.462e-01;-2.250e-01;3.500e-01;-2.274e-01;9.892e-01;3.500e-01;-2.275e-01;9.893e-01;1.731e-03;-1.125e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.998363000;9.918e-01;3.470e-01;-2.256e-01;3.499e-01;-2.275e-01;9.918e-01;3.499e-01;-2.275e-01;9.918e-01;1.735e-03;-1.128e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.998875000;9.944e-01;3.478e-01;-2.264e-01;3.498e-01;-2.277e-01;9.943e-01;3.498e-01;-2.277e-01;9.944e-01;1.739e-03;-1.132e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999387000;9.969e-01;3.486e-01;-2.270e-01;3.497e-01;-2.277e-01;9.969e-01;3.497e-01;-2.277e-01;9.969e-01;1.743e-03;-1.135e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999899000;9.995e-01;3.492e-01;-2.278e-01;3.494e-01;-2.279e-01;9.994e-01;3.494e-01;-2.279e-01;9.995e-01;1.746e-03;-1.139e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999994000;9.997e-01;3.494e-01;-2.278e-01;3.495e-01;-2.279e-01;9.997e-01;3.495e-01;-2.279e-01;9.997e-01;1.747e-03;-1.139e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999994000;9.999e-01;3.494e-01;-2.280e-01;3.494e-01;-2.280e-01;9.999e-01;3.494e-01;-2.278e-01;9.999e-01;1.747e-03;-1.140e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999995000;9.999e-01;3.494e-01;-2.280e-01;3.494e-01;-2.280e-01;9.999e-01;3.494e-01;-2.278e-01;9.999e-01;1.747e-03;-1.140e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999996000;1.000e+00;3.494e-01;-2.280e-01;3.494e-01;-2.280e-01;9.999e-01;3.494e-01;-2.278e-01;1.000e+00;1.747e-03;-1.140e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
29.999998000;1.000e+00;3.494e-01;-2.280e-01;3.494e-01;-2.280e-01;9.999e-01;3.494e-01;-2.278e-01;1.000e+00;1.747e-03;-1.140e-03;5.000e+01;3.330e-01;-2.160e-01;5.000e+01
