time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu
0.000000000;1.044e+00;-6.667e-01;7.971e-09;-6.383e-01;5.610e-08;1.044e+00;-4.000e-01;3.536e-08;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
29.999994000;1.044e+00;-6.667e-01;2.664e-08;-6.383e-01;1.033e-07;1.044e+00;-4.000e-01;-1.903e-08;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
29.999994000;4.641e-01;-1.659e-01;-4.621e+00;-3.575e-01;-9.958e+00;4.641e-01;-9.954e-02;-2.773e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
29.999995000;4.641e-01;-1.659e-01;-4.622e+00;-3.575e-01;-9.958e+00;4.641e-01;-9.954e-02;-2.773e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
29.999998000;4.641e-01;-1.659e-01;-4.622e+00;-3.575e-01;-9.958e+00;4.641e-01;-9.954e-02;-2.773e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.000026000;4.641e-01;-1.659e-01;-4.622e+00;-3.575e-01;-9.958e+00;4.641e-01;-9.956e-02;-2.773e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.002415000;4.676e-01;-1.692e-01;-4.667e+00;-3.619e-01;-9.981e+00;4.676e-01;-1.015e-01;-2.800e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.002575000;4.680e-01;-1.696e-01;-4.672e+00;-3.625e-01;-9.983e+00;4.680e-01;-1.018e-01;-2.803e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.002639000;4.681e-01;-1.698e-01;-4.674e+00;-3.627e-01;-9.984e+00;4.681e-01;-1.019e-01;-2.804e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.003887000;4.722e-01;-1.759e-01;-4.727e+00;-3.725e-01;-1.001e+01;4.722e-01;-1.055e-01;-2.836e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.003951000;4.725e-01;-1.764e-01;-4.731e+00;-3.734e-01;-1.001e+01;4.725e-01;-1.059e-01;-2.838e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.004111000;4.732e-01;-1.779e-01;-4.740e+00;-3.760e-01;-1.002e+01;4.732e-01;-1.068e-01;-2.844e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.004335000;4.743e-01;-1.805e-01;-4.755e+00;-3.805e-01;-1.002e+01;4.743e-01;-1.083e-01;-2.853e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.005723000;4.844e-01;-2.150e-01;-4.888e+00;-4.439e-01;-1.009e+01;4.844e-01;-1.290e-01;-2.933e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.005946000;4.866e-01;-2.255e-01;-4.916e+00;-4.634e-01;-1.010e+01;4.866e-01;-1.353e-01;-2.950e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.007794000;5.056e-01;-4.038e-01;-5.165e+00;-7.987e-01;-1.022e+01;5.056e-01;-2.423e-01;-3.099e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.008446000;5.089e-01;-5.028e-01;-5.202e+00;-9.881e-01;-1.022e+01;5.089e-01;-3.017e-01;-3.121e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.008624000;5.091e-01;-5.303e-01;-5.202e+00;-1.042e+00;-1.022e+01;5.091e-01;-3.182e-01;-3.121e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.010518000;4.978e-01;-7.461e-01;-5.017e+00;-1.499e+00;-1.008e+01;4.978e-01;-4.476e-01;-3.010e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.010646000;4.966e-01;-7.541e-01;-5.000e+00;-1.519e+00;-1.007e+01;4.966e-01;-4.525e-01;-3.000e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.012357000;4.840e-01;-8.149e-01;-4.817e+00;-1.684e+00;-9.952e+00;4.840e-01;-4.889e-01;-2.890e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.012421000;4.836e-01;-8.161e-01;-4.812e+00;-1.687e+00;-9.949e+00;4.836e-01;-4.897e-01;-2.887e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.012677000;4.823e-01;-8.206e-01;-4.794e+00;-1.701e+00;-9.938e+00;4.823e-01;-4.924e-01;-2.876e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.014162000;4.776e-01;-8.388e-01;-4.726e+00;-1.756e+00;-9.895e+00;4.776e-01;-5.033e-01;-2.836e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.014623000;4.769e-01;-8.431e-01;-4.716e+00;-1.768e+00;-9.888e+00;4.769e-01;-5.058e-01;-2.829e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.015890000;4.763e-01;-8.537e-01;-4.705e+00;-1.792e+00;-9.878e+00;4.763e-01;-5.122e-01;-2.823e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.016005000;4.763e-01;-8.546e-01;-4.705e+00;-1.794e+00;-9.878e+00;4.763e-01;-5.127e-01;-2.823e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
30.016121000;4.764e-01;-8.555e-01;-4.705e+00;-1.796e+00;-9.877e+00;4.764e-01;-5.133e-01;-2.823e+00;1.000e+01;-6.666e-01;9.960e-03;9.960e-03
