time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;6.667e-01;0.000e+00;6.383e-01;0.000e+00;1.044e+00;1.055e+00;6.535e-01;3.225e-02;1.044e+00;4.000e-01;0.000e+00;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.005120;1.044e+00;6.666e-01;-2.283e-03;6.382e-01;-2.186e-03;1.044e+00;1.055e+00;6.535e-01;3.008e-02;1.044e+00;4.000e-01;-1.370e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.010587;1.044e+00;6.665e-01;-3.667e-03;6.382e-01;-3.511e-03;1.043e+00;1.055e+00;6.535e-01;2.877e-02;1.044e+00;3.999e-01;-2.200e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.015087;1.044e+00;6.665e-01;-4.310e-03;6.382e-01;-4.127e-03;1.043e+00;1.055e+00;6.535e-01;2.816e-02;1.044e+00;3.999e-01;-2.586e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.020487;1.044e+00;6.665e-01;-4.737e-03;6.382e-01;-4.535e-03;1.043e+00;1.055e+00;6.536e-01;2.776e-02;1.044e+00;3.999e-01;-2.842e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.025887;1.044e+00;6.666e-01;-4.947e-03;6.382e-01;-4.736e-03;1.043e+00;1.055e+00;6.536e-01;2.756e-02;1.044e+00;3.999e-01;-2.968e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.031787;1.044e+00;6.666e-01;-5.047e-03;6.382e-01;-4.832e-03;1.043e+00;1.055e+00;6.536e-01;2.747e-02;1.044e+00;3.999e-01;-3.028e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.035787;1.044e+00;6.666e-01;-5.072e-03;6.382e-01;-4.856e-03;1.043e+00;1.055e+00;6.536e-01;2.744e-02;1.044e+00;4.000e-01;-3.043e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.041787;1.044e+00;6.666e-01;-5.078e-03;6.382e-01;-4.862e-03;1.043e+00;1.055e+00;6.536e-01;2.744e-02;1.044e+00;4.000e-01;-3.047e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.045787;1.044e+00;6.666e-01;-5.072e-03;6.382e-01;-4.856e-03;1.043e+00;1.055e+00;6.536e-01;2.744e-02;1.044e+00;4.000e-01;-3.043e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
