time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;-4.086e-09;-6.383e-01;-5.132e-10;1.045e+00;-6.222e-01;1.704e-02;1.044e+00;-4.000e-01;2.253e-09;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.000e+01;5.000e+01
29.999994000;1.044e+00;-6.667e-01;4.422e-10;-6.383e-01;-1.395e-09;1.045e+00;-6.222e-01;1.704e-02;1.044e+00;-4.000e-01;-5.724e-09;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;5.000e+01;5.000e+01
29.999994000;3.045e-02;-1.940e-02;9.433e-04;-6.371e-01;3.098e-02;3.473e-02;-5.415e-01;3.068e-01;3.045e-02;-1.164e-02;5.660e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.756e+01;4.756e+01
30.000014000;3.045e-02;-1.940e-02;9.383e-04;-6.371e-01;3.082e-02;3.473e-02;-5.416e-01;3.067e-01;3.045e-02;-1.164e-02;5.630e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.756e+01;4.756e+01
30.000126000;3.044e-02;-1.940e-02;9.083e-04;-6.372e-01;2.984e-02;3.470e-02;-5.419e-01;3.061e-01;3.044e-02;-1.164e-02;5.450e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.756e+01;4.756e+01
30.000382000;3.042e-02;-1.939e-02;8.483e-04;-6.376e-01;2.789e-02;3.464e-02;-5.428e-01;3.051e-01;3.042e-02;-1.164e-02;5.090e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.758e+01;4.758e+01
30.000766000;3.040e-02;-1.941e-02;7.800e-04;-6.384e-01;2.566e-02;3.458e-02;-5.441e-01;3.042e-01;3.040e-02;-1.164e-02;4.680e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.759e+01;4.759e+01
30.001041000;3.039e-02;-1.943e-02;7.467e-04;-6.393e-01;2.457e-02;3.456e-02;-5.450e-01;3.042e-01;3.039e-02;-1.166e-02;4.480e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.760e+01;4.760e+01
30.001105000;3.038e-02;-1.943e-02;7.417e-04;-6.395e-01;2.441e-02;3.455e-02;-5.452e-01;3.043e-01;3.038e-02;-1.166e-02;4.450e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.761e+01;4.761e+01
30.001233000;3.038e-02;-1.945e-02;7.383e-04;-6.400e-01;2.430e-02;3.455e-02;-5.456e-01;3.046e-01;3.038e-02;-1.167e-02;4.430e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.761e+01;4.761e+01
30.001553000;3.038e-02;-1.949e-02;7.567e-04;-6.415e-01;2.490e-02;3.459e-02;-5.465e-01;3.062e-01;3.038e-02;-1.170e-02;4.540e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.762e+01;4.762e+01
30.001745000;3.039e-02;-1.953e-02;7.883e-04;-6.425e-01;2.594e-02;3.463e-02;-5.468e-01;3.077e-01;3.039e-02;-1.172e-02;4.730e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.762e+01;4.762e+01
30.001809000;3.040e-02;-1.954e-02;8.033e-04;-6.429e-01;2.643e-02;3.464e-02;-5.470e-01;3.084e-01;3.040e-02;-1.172e-02;4.820e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.763e+01;4.763e+01
30.002449000;3.046e-02;-1.972e-02;1.023e-03;-6.474e-01;3.360e-02;3.491e-02;-5.479e-01;3.168e-01;3.046e-02;-1.183e-02;6.140e-04;1.000e+01;-6.499e-01;1.780e-02;1.050e+00;4.764e+01;4.764e+01
