time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;6.667e-01;-3.450e-09;6.383e-01;-4.994e-09;1.045e+00;6.541e-01;1.799e-02;1.044e+00;4.000e-01;-2.126e-09;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.000e+01;5.000e+01
29.999994000;1.044e+00;6.667e-01;-4.912e-10;6.383e-01;-1.753e-10;1.045e+00;6.541e-01;1.799e-02;1.044e+00;4.000e-01;4.852e-10;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.000e+01;5.000e+01
29.999994000;3.047e-02;1.941e-02;9.917e-04;6.371e-01;3.255e-02;3.543e-02;5.649e-01;3.303e-01;3.047e-02;1.165e-02;5.950e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.256e+01;5.256e+01
30.000000000;3.047e-02;1.941e-02;9.900e-04;6.371e-01;3.250e-02;3.543e-02;5.648e-01;3.302e-01;3.047e-02;1.165e-02;5.940e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.256e+01;5.256e+01
30.000062000;3.046e-02;1.941e-02;9.717e-04;6.371e-01;3.190e-02;3.541e-02;5.651e-01;3.299e-01;3.046e-02;1.164e-02;5.830e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.255e+01;5.255e+01
30.000510000;3.042e-02;1.940e-02;8.583e-04;6.378e-01;2.821e-02;3.531e-02;5.667e-01;3.280e-01;3.042e-02;1.164e-02;5.150e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.253e+01;5.253e+01
30.000638000;3.041e-02;1.941e-02;8.317e-04;6.381e-01;2.734e-02;3.528e-02;5.671e-01;3.277e-01;3.041e-02;1.164e-02;4.990e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.252e+01;5.252e+01
30.001014000;3.039e-02;1.943e-02;7.700e-04;6.392e-01;2.533e-02;3.523e-02;5.686e-01;3.273e-01;3.039e-02;1.166e-02;4.620e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.251e+01;5.251e+01
30.001046000;3.039e-02;1.943e-02;7.650e-04;6.394e-01;2.517e-02;3.523e-02;5.686e-01;3.274e-01;3.039e-02;1.166e-02;4.590e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.251e+01;5.251e+01
30.001174000;3.039e-02;1.944e-02;7.550e-04;6.399e-01;2.485e-02;3.522e-02;5.691e-01;3.276e-01;3.039e-02;1.167e-02;4.530e-04;1.000e+01;6.835e-01;1.880e-02;1.051e+00;5.250e+01;5.250e+01
