time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;1.050e+00;-3.330e-01;2.160e-01;-3.171e-01;2.057e-01;1.050e+00;-3.171e-01;2.057e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990058000;1.050e+00;-3.330e-01;2.160e-01;-3.172e-01;2.058e-01;1.050e+00;-3.172e-01;2.058e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990122000;1.049e+00;-3.328e-01;2.158e-01;-3.171e-01;2.056e-01;1.049e+00;-3.171e-01;2.058e-01;1.049e+00;-1.664e-03;1.079e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990424000;1.048e+00;-3.324e-01;2.156e-01;-3.172e-01;2.057e-01;1.048e+00;-3.172e-01;2.057e-01;1.048e+00;-1.662e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.992968000;1.035e+00;-3.282e-01;2.134e-01;-3.170e-01;2.061e-01;1.035e+00;-3.170e-01;2.061e-01;1.035e+00;-1.641e-03;1.067e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.995528000;1.022e+00;-3.244e-01;2.116e-01;-3.173e-01;2.070e-01;1.023e+00;-3.173e-01;2.069e-01;1.022e+00;-1.622e-03;1.058e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.998088000;1.010e+00;-3.208e-01;2.106e-01;-3.177e-01;2.086e-01;1.010e+00;-3.177e-01;2.085e-01;1.010e+00;-1.604e-03;1.053e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.000026000;1.000e+00;-3.180e-01;2.104e-01;-3.179e-01;2.103e-01;1.000e+00;-3.179e-01;2.103e-01;1.000e+00;-1.590e-03;1.052e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.000506000;9.979e-01;-3.174e-01;2.104e-01;-3.181e-01;2.108e-01;9.980e-01;-3.180e-01;2.108e-01;9.979e-01;-1.587e-03;1.052e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.001530000;9.929e-01;-3.162e-01;2.104e-01;-3.185e-01;2.119e-01;9.930e-01;-3.184e-01;2.119e-01;9.929e-01;-1.581e-03;1.052e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.002530000;9.880e-01;-3.148e-01;2.106e-01;-3.186e-01;2.132e-01;9.881e-01;-3.186e-01;2.131e-01;9.880e-01;-1.574e-03;1.053e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.006130000;9.705e-01;-3.108e-01;2.118e-01;-3.202e-01;2.182e-01;9.706e-01;-3.202e-01;2.182e-01;9.705e-01;-1.554e-03;1.059e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.007030000;9.661e-01;-3.098e-01;2.124e-01;-3.207e-01;2.198e-01;9.662e-01;-3.206e-01;2.198e-01;9.661e-01;-1.549e-03;1.062e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.009994000;9.519e-01;-3.068e-01;2.144e-01;-3.223e-01;2.252e-01;9.520e-01;-3.223e-01;2.252e-01;9.519e-01;-1.534e-03;1.072e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.009994000;9.518e-01;-3.068e-01;2.144e-01;-3.223e-01;2.253e-01;9.518e-01;-3.223e-01;2.252e-01;9.518e-01;-1.534e-03;1.072e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.010058000;9.518e-01;-3.068e-01;2.144e-01;-3.223e-01;2.253e-01;9.519e-01;-3.223e-01;2.252e-01;9.518e-01;-1.534e-03;1.072e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
30.010122000;9.518e-01;-3.068e-01;2.146e-01;-3.223e-01;2.255e-01;9.519e-01;-3.223e-01;2.255e-01;9.518e-01;-1.534e-03;1.073e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
