time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-9.995e-09;7.979e-01;5.136e-08;1.045e+00;1.044e+00;7.500e-01;8.314e-08;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.920e-01;-9.645e-02;5.000e+01
0.094706000;1.044e+00;8.332e-01;2.783e-05;7.977e-01;2.660e-05;1.045e+00;1.044e+00;7.499e-01;2.503e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.919e-01;-9.645e-02;5.000e+01
0.095706000;1.044e+00;8.332e-01;2.894e-05;7.977e-01;2.766e-05;1.045e+00;1.044e+00;7.499e-01;2.603e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.919e-01;-9.644e-02;5.000e+01
0.128706000;1.044e+00;8.330e-01;6.780e-05;7.975e-01;6.489e-05;1.045e+00;1.044e+00;7.497e-01;6.104e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.917e-01;-9.643e-02;5.000e+01
0.129706000;1.045e+00;8.330e-01;6.891e-05;7.975e-01;6.595e-05;1.045e+00;1.045e+00;7.497e-01;6.204e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.917e-01;-9.643e-02;5.000e+01
0.136706000;1.045e+00;8.330e-01;7.892e-05;7.975e-01;7.553e-05;1.045e+00;1.045e+00;7.497e-01;7.103e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.916e-01;-9.643e-02;5.000e+01
0.138706000;1.045e+00;8.330e-01;8.225e-05;7.975e-01;7.872e-05;1.045e+00;1.045e+00;7.497e-01;7.403e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.916e-01;-9.643e-02;5.000e+01
0.139706000;1.045e+00;8.329e-01;8.447e-05;7.975e-01;8.085e-05;1.045e+00;1.045e+00;7.497e-01;7.603e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.916e-01;-9.642e-02;5.000e+01
0.144706000;1.045e+00;8.329e-01;9.224e-05;7.974e-01;8.829e-05;1.045e+00;1.045e+00;7.496e-01;8.303e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.916e-01;-9.642e-02;5.000e+01
0.151706000;1.045e+00;8.329e-01;1.033e-04;7.973e-01;9.894e-05;1.045e+00;1.045e+00;7.496e-01;9.301e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.915e-01;-9.642e-02;5.000e+01
0.154706000;1.045e+00;8.328e-01;1.089e-04;7.973e-01;1.042e-04;1.045e+00;1.045e+00;7.495e-01;9.801e-05;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.915e-01;-9.642e-02;5.000e+01
0.155706000;1.045e+00;8.328e-01;1.111e-04;7.973e-01;1.064e-04;1.045e+00;1.045e+00;7.495e-01;1.000e-04;5.000e+01;1.000e+01;8.335e-01;1.556e-02;1.045e+00;7.915e-01;-9.641e-02;5.000e+01
