time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActivePower;Bess_GEN_InjectedReactivePower;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_ActivePowerPu;Bess_GEN_ReactivePowerPu;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_InjectedCurrent
0.0;1.0444448220734306;0.750000701258;0.7180855181694515;0.399999680942;0.382978279453692;10.0;0.750181;0.416192;0.416192;0.750181;0.416192;0.711647;-0.394814;0.750181;0.416191;1.054148;0.8138301709847086
0.0;1.044443880792549;0.749999896035;0.7180853943688025;0.399999562895;0.3829785115802208;10.0;0.750181;0.416192;0.416192;0.750181;0.416192;0.711647;-0.394813;0.750181;0.416191;1.054148;0.8138296858544791
9e-06;1.0444407193254197;0.7499971174800001;0.7180849076474212;0.39999046386;0.3829709589629411;10.0;0.750181;0.416192;0.416192;0.750178;0.416183;0.711647;-0.394806;0.750178;0.416182;1.054144;0.81382628996918
1.8e-05;1.044437895483499;0.749995204005;0.7180850170682543;0.399982522719;0.3829643911319755;10.0;0.750181;0.416192;0.416192;0.750176;0.416174;0.711647;-0.394799;0.750176;0.416173;1.054141;0.8138228941299206
3.6e-05;1.044431572549394;0.749989294296;0.7180837060156289;0.399965307984;0.3829502271821494;10.0;0.750181;0.416192;0.416192;0.75017;0.416156;0.711647;-0.394784;0.75017;0.416155;1.054134;0.8138156174865411
7.3e-05;1.04441798540096;0.749979341164;0.7180835179471533;0.399929500126;0.3829209241091956;10.0;0.750181;0.416192;0.416192;0.75016;0.416121;0.711647;-0.394755;0.75016;0.41612;1.05412;0.8138015499088215
0.000146;1.044392427641066;0.749958668636;0.7180812966347394;0.399860245582;0.3828639838811842;10.0;0.750181;0.416192;0.416192;0.75014;0.41605;0.711647;-0.394696;0.75014;0.416049;1.054093;0.8137729321039132
0.000292;1.044340974510241;0.749918703399;0.7180784070554019;0.399723611599;0.3827520142896397;10.0;0.750181;0.416192;0.416192;0.750099;0.41591;0.711647;-0.394581;0.750099;0.41591;1.054038;0.8137171610393873
0.000583;1.0442390095854492;0.749839859322;0.7180730201026274;0.399452815176;0.3825300640076434;10.0;0.750181;0.416192;0.416192;0.750021;0.415636;0.711647;-0.394356;0.750021;0.415635;1.053932;0.813608079695009
0.001167;1.0440449020176288;0.749690476374;0.7180634424105846;0.398936145395;0.3821063103934048;10.0;0.750181;0.416192;0.416192;0.749871;0.41511;0.711647;-0.393927;0.749871;0.415109;1.053727;0.8134002298610445
0.00175;1.043861220435456;0.749551231296;0.7180564011979658;0.3984473855879999;0.3817053242209573;10.0;0.750181;0.416192;0.416192;0.749732;0.414614;0.711648;-0.393525;0.749732;0.414614;1.053533;0.8132064937818685
0.002917;1.0435264140720155;0.749303755463;0.7180496299457247;0.397557714799;0.3809752292207563;10.0;0.750181;0.416192;0.416192;0.749483;0.413711;0.711652;-0.392796;0.749483;0.41371;1.053181;0.8128574701139185
0.003967;1.0432595442678685;0.7491099209359999;0.7180475127708563;0.39685193457;0.3803961696305401;10.0;0.750181;0.416192;0.416192;0.74929;0.412994;0.711658;-0.39222;0.74929;0.412993;1.0529;0.8125845416718189
0.005017;1.0430236144872271;0.74894398857;0.7180508457981529;0.396226736822;0.3798828054499932;10.0;0.750181;0.416192;0.416192;0.749124;0.41236;0.711667;-0.391712;0.749124;0.412359;1.052651;0.8123473455566899
0.006067;1.042815197406041;0.74880206167;0.718058255703037;0.395677739659;0.3794322720298206;10.0;0.750181;0.416192;0.416192;0.748982;0.411803;0.71168;-0.391265;0.748982;0.411802;1.052432;0.8121432894662123
0.007117;1.04263207275913;0.7486837716479999;0.7180709199427837;0.395197592628;0.3790383999814851;10.0;0.750181;0.416192;0.416192;0.748863;0.411315;0.711697;-0.390874;0.748863;0.411314;1.052239;0.811969890873424
0.008167;1.0424710790487188;0.748585354902;0.7180874078397484;0.3947768110879999;0.3786932980896158;10.0;0.750181;0.416192;0.416192;0.748765;0.410889;0.711717;-0.390533;0.748765;0.410888;1.05207;0.8118233257168705
0.009217;1.0423312750392748;0.7485060785050001;0.7181076654126074;0.39441193859;0.3783940365553539;10.0;0.750181;0.416192;0.416192;0.748686;0.410518;0.711742;-0.390236;0.748686;0.410518;1.051922;0.8117024148417941
0.010267;1.0422085580847051;0.748443340661;0.7181320234372616;0.394094108553;0.3781336331350391;10.0;0.750181;0.416192;0.416192;0.748623;0.410197;0.711769;-0.389979;0.748623;0.410196;1.051793;0.8116025688734604
0.011318;1.0421016491134634;0.748396523552;0.718160770773826;0.393819081601;0.3779085101113022;10.0;0.750181;0.416192;0.416192;0.748576;0.409919;0.711801;-0.389756;0.748576;0.409918;1.051681;0.8115235074457178
0.012368;1.0420086657609908;0.748363464393;0.7181931292735091;0.393581982395;0.3777146921398802;10.0;0.750181;0.416192;0.416192;0.748543;0.409679;0.711835;-0.389565;0.748543;0.409678;1.051583;0.8114616173609198
0.013418;1.0419277257358113;0.748342001679;0.7182283215954538;0.393377941764;0.3775482042060026;10.0;0.750181;0.416192;0.416192;0.748522;0.409474;0.711872;-0.3894;0.748522;0.409473;1.051499;0.8114148780888849
0.014468;1.0418581531365003;0.7483320831110001;0.7182667629543964;0.393203026572;0.3774055281789247;10.0;0.750181;0.416192;0.416192;0.748512;0.409298;0.711912;-0.389261;0.748512;0.409297;1.051425;0.811383276796484
0.015518;1.041797462487311;0.748331260247;0.7183078162432313;0.393054399451;0.3772848500826401;10.0;0.750181;0.416192;0.416192;0.748511;0.409149;0.711954;-0.389142;0.748511;0.409148;1.051362;0.8113630471496714
0.016568;1.0417453158330017;0.748338388124;0.7183506148291273;0.392928584488;0.3771829625879394;10.0;0.750181;0.416192;0.416192;0.748518;0.409022;0.711998;-0.389042;0.748518;0.409021;1.051308;0.8113537020116444
0.018668;1.0416612727993684;0.748372024546;0.7184408637318535;0.392729676872;0.3770224420617801;10.0;0.750181;0.416192;0.416192;0.748552;0.408824;0.71209;-0.388886;0.748552;0.408823;1.05122;0.811359654589751
0.020558;1.0416049362882265;0.74842156776;0.7185272858124221;0.3926035688800001;0.3769217629469464;10.0;0.750181;0.416192;0.416192;0.748601;0.408698;0.712176;-0.388789;0.748601;0.408697;1.051161;0.811388650091311
0.022448;1.041561851069825;0.748482774222;0.7186157725085716;0.392514001848;0.3768513616784591;10.0;0.750181;0.416192;0.416192;0.748662;0.40861;0.712264;-0.388722;0.748662;0.40861;1.051116;0.8114337921112234
0.024339;1.041530473027554;0.74855246897;0.7187043378520496;0.3924532778699999;0.3768044123847901;10.0;0.750181;0.416192;0.416192;0.748732;0.408552;0.712353;-0.388679;0.748732;0.408551;1.051083;0.8114913195161118
0.026229;1.0415063614232032;0.7486274608889999;0.7187929796857039;0.3924137333129999;0.3767751670539701;10.0;0.750181;0.416192;0.416192;0.748808;0.408515;0.712441;-0.388654;0.748808;0.408514;1.051059;0.8115565970386784
0.028119;1.0414888395254172;0.748706088998;0.7188805684554127;0.39238976007;0.376758487636606;10.0;0.750181;0.416192;0.416192;0.748886;0.408494;0.712527;-0.388641;0.748886;0.408493;1.051041;0.8116258698501423
0.030009;1.0414760249760913;0.748785842096;0.7189659907084175;0.392377487928;0.3767513399427583;10.0;0.750181;0.416192;0.416192;0.748966;0.408484;0.712611;-0.388638;0.748966;0.408484;1.051028;0.8116981781210304
0.031899;1.0414656971374523;0.7488643202699999;0.7190484740191735;0.3923722435619999;0.3767500404866573;10.0;0.750181;0.416192;0.416192;0.749045;0.408483;0.712692;-0.388641;0.749045;0.408482;1.051018;0.8117707273269961
0.033789;1.0414578557550946;0.748941875688;0.7191283560341383;0.392373045438;0.3767536470820659;10.0;0.750181;0.416192;0.416192;0.749122;0.408486;0.71277;-0.388647;0.749122;0.408485;1.05101;0.8118420804004927
0.03757;1.0414464699992985;0.7490872488789999;0.7192758057737759;0.392380005199;0.3767644487760032;10.0;0.750181;0.416192;0.416192;0.749267;0.408499;0.712915;-0.388666;0.749267;0.408498;1.050999;0.8119784829544439
0.04135;1.041437424992976;0.749217083492;0.7194067214331703;0.3923923070439999;0.3767795333902529;10.0;0.750181;0.416192;0.416192;0.749398;0.408515;0.713044;-0.388686;0.749398;0.408514;1.050991;0.8121013191295775
0.04513;1.0414300417176374;0.749333088704;0.7195232120134732;0.392401121152;0.3767906680556384;10.0;0.750181;0.416192;0.416192;0.749513;0.408529;0.713158;-0.388704;0.749513;0.408528;1.050983;0.8122100298444976
0.04891;1.041422511748234;0.749433497414;0.7196248294613178;0.3924088741579999;0.3768008370582118;10.0;0.750181;0.416192;0.416192;0.749613;0.408539;0.713257;-0.388718;0.749613;0.408539;1.050976;0.8123036572446292
0.052691;1.04141415658709;0.74951860878;0.7197123296617297;0.3924106589;0.376805573861223;10.0;0.750181;0.416192;0.416192;0.749699;0.408544;0.713343;-0.388728;0.749699;0.408544;1.050968;0.8123839570258635
0.056471;1.0414056526599038;0.7495905133399999;0.7197872523789698;0.392407805956;0.3768059112736065;10.0;0.750181;0.416192;0.416192;0.749771;0.408545;0.713417;-0.388732;0.749771;0.408544;1.05096;0.8124508500290956
0.060251;1.0413973380228123;0.7496516868540001;0.7198517410052938;0.392403155039;0.3768044537006529;10.0;0.750181;0.416192;0.416192;0.749832;0.408541;0.71348;-0.388733;0.749832;0.408541;1.050951;0.8125066496275585
0.064032;1.0413888732822143;0.7497032982040001;0.7199071523023962;0.392392959148;0.3767977258209692;10.0;0.750181;0.416192;0.416192;0.749883;0.408535;0.713534;-0.388731;0.749883;0.408534;1.050943;0.8125531118130063
0.071592;1.041371718844909;0.749782457085;0.7199950253274209;0.392371265865;0.3767831013312123;10.0;0.750181;0.416192;0.416192;0.749962;0.408514;0.713621;-0.38872;0.749962;0.408514;1.050925;0.8126242489865779
0.079153;1.04135426300371;0.7498374345600001;0.7200598885504621;0.392343297974;0.3767625599786902;10.0;0.750181;0.416192;0.416192;0.750018;0.408488;0.713685;-0.388703;0.750018;0.408488;1.050907;0.81267232107043
0.086713;1.041337860159708;0.7498753522589999;0.7201076432042842;0.392312781259;0.3767391893336441;10.0;0.750181;0.416192;0.416192;0.750056;0.408459;0.713733;-0.388682;0.750056;0.408458;1.05089;0.8127044311513258
0.094274;1.0413219077470712;0.749902231386;0.7201444873165439;0.392279585796;0.3767130825516845;10.0;0.750181;0.416192;0.416192;0.750083;0.408428;0.713769;-0.388658;0.750083;0.408427;1.050874;0.8127245697805622
0.101834;1.0413068204064546;0.749919764262;0.7201717587610565;0.392247879091;0.3766880917363946;10.0;0.750181;0.416192;0.416192;0.750101;0.408396;0.713797;-0.388634;0.750101;0.408395;1.050858;0.8127376841053945
0.109395;1.0412925979651446;0.749933281388;0.7201945762924771;0.39221515336;0.3766618087235541;10.0;0.750181;0.416192;0.416192;0.750114;0.408363;0.713819;-0.388609;0.750114;0.408363;1.050843;0.8127450520563013
0.116956;1.0412786384940391;0.74994186723;0.7202124767628114;0.392182102998;0.3766351181132437;10.0;0.750181;0.416192;0.416192;0.750122;0.408331;0.713837;-0.388583;0.750122;0.40833;1.050828;0.8127484299941774
0.132077;1.041250643659825;0.749953512071;0.7202430237498213;0.392116833943;0.376582560914223;10.0;0.750181;0.416192;0.416192;0.750134;0.408265;0.713868;-0.388531;0.750134;0.408264;1.050799;0.8127507978371968
0.147198;1.0412235136554495;0.749958829122;0.720266896863576;0.392050821524;0.376528974213824;10.0;0.750181;0.416192;0.416192;0.750139;0.408199;0.713893;-0.388479;0.750139;0.408198;1.05077;0.8127478999603751
0.162319;1.0411957058161545;0.749960721988;0.720287951437654;0.391984103066;0.376474951708275;10.0;0.750181;0.416192;0.416192;0.750141;0.408133;0.713914;-0.388426;0.750141;0.408132;1.050742;0.812741014636274
0.17744;1.041168838939199;0.7499617349669999;0.7203075110575752;0.391919104791;0.3764222382897178;10.0;0.750181;0.416192;0.416192;0.750142;0.408067;0.713934;-0.388373;0.750142;0.408066;1.050714;0.8127332548167325
0.207682;1.0411157074235315;0.749962365318;0.7203448761463275;0.391788698242;0.3763161918011657;10.0;0.750181;0.416192;0.416192;0.750143;0.407936;0.713973;-0.388269;0.750143;0.407935;1.050658;0.812717823780185
0.237925;1.0410631782346351;0.749962226772;0.7203810896892303;0.391659217512;0.3762108061262422;10.0;0.750181;0.416192;0.416192;0.750143;0.407806;0.714011;-0.388166;0.750143;0.407806;1.050603;0.8127020066894137
0.268167;1.041011590402816;0.7499631682140001;0.7204176928748741;0.391532173175;0.3761074101235491;10.0;0.750181;0.416192;0.416192;0.750143;0.407678;0.714048;-0.388063;0.750143;0.407678;1.050549;0.8126853254938224
0.298409;1.0409603423171316;0.7499630223299999;0.7204530200070979;0.391405595805;0.3760043297458849;10.0;0.750181;0.416192;0.416192;0.750143;0.407551;0.714085;-0.387962;0.750143;0.407551;1.050495;0.8126696134770882
0.328652;1.0409096964314437;0.7499637127400001;0.7204887372181321;0.391281627805;0.3759035285639406;10.0;0.750181;0.416192;0.416192;0.750143;0.407426;0.714121;-0.387863;0.750143;0.407425;1.050442;0.812653991197976
0.389136;1.0408096863331933;0.749964108488;0.7205583483087559;0.391036253636;0.3757038955062318;10.0;0.750181;0.416192;0.416192;0.750144;0.407179;0.714194;-0.387666;0.750144;0.407179;1.050337;0.8126241426342193
0.449621;1.0407112207524236;0.74996446404;0.7206268646722029;0.3907952422199999;0.3755078588827542;10.0;0.750181;0.416192;0.416192;0.750145;0.406938;0.714264;-0.387474;0.750145;0.406937;1.050234;0.812594094472757
0.57059;1.0405227622676017;0.7499660827310001;0.7207589395705346;0.390331972313;0.3751306424689385;10.0;0.750181;0.416192;0.416192;0.750146;0.406472;0.7144;-0.387103;0.750146;0.406471;1.050036;0.8125368253863945
0.691559;1.040341158397571;0.749966964124;0.720885603794786;0.3898887021;0.374770044377118;10.0;0.750181;0.416192;0.416192;0.750148;0.406027;0.714531;-0.386749;0.750148;0.406026;1.049847;0.8124834391924551
0.933498;1.0400049106278295;0.749970697344;0.7211222655585905;0.389064672778;0.3740988804977177;10.0;0.750181;0.416192;0.416192;0.750151;0.405198;0.714774;-0.386089;0.750151;0.405198;1.049494;0.812383275921532
1.175436;1.0396999095748736;0.7499733525719999;0.7213363641424756;0.388317505926;0.3734899872067705;10.0;0.750181;0.416192;0.416192;0.750154;0.404448;0.714995;-0.385492;0.750154;0.404447;1.049174;0.8122942398472367
1.417375;1.0394249467469985;0.749976811988;0.7215305100528326;0.387644259244;0.3729410771380636;10.0;0.750181;0.416192;0.416192;0.750156;0.403772;0.715194;-0.384953;0.750156;0.403771;1.048886;0.812213807962534
1.659313;1.0391777957929047;0.749978308823;0.7217035543477504;0.3870411205149999;0.3724493749596363;10.0;0.750181;0.416192;0.416192;0.750159;0.403166;0.715373;-0.38447;0.750159;0.403165;1.048627;0.8121426660562787
1.901251;1.0389569108995813;0.749980543437;0.7218591411915525;0.386502436823;0.3720100735345671;10.0;0.750181;0.416192;0.416192;0.750161;0.402625;0.715532;-0.384039;0.750161;0.402624;1.048396;0.8120788117818369
2.14319;1.0387613476829023;0.749983137192;0.7219975395358508;0.386023747864;0.3716192836064589;10.0;0.750181;0.416192;0.416192;0.750164;0.402144;0.715675;-0.383655;0.750164;0.402143;1.048191;0.8120233153364502
2.385128;1.0385882816304062;0.749986056262;0.7221206608307288;0.385601109046;0.3712742728433948;10.0;0.750181;0.416192;0.416192;0.750166;0.401719;0.715801;-0.383316;0.750166;0.401718;1.048009;0.8119742775833482
2.627067;1.0384361695612303;0.749987393562;0.7222277262153644;0.385229465154;0.3709707697457907;10.0;0.750181;0.416192;0.416192;0.750167;0.401346;0.715911;-0.383018;0.750167;0.401345;1.047849;0.8119306301926292
2.869005;1.0383027883936362;0.7499890031980001;0.7223220543963983;0.384904554004;0.3707054996929055;10.0;0.750181;0.416192;0.416192;0.750169;0.40102;0.716008;-0.382758;0.750169;0.401019;1.04771;0.8118935537544315
3.110944;1.0381871959343365;0.7499905120329999;0.7224039315549753;0.3846219726509999;0.3704745870082245;10.0;0.750181;0.416192;0.416192;0.750171;0.400736;0.716093;-0.382532;0.750171;0.400736;1.047589;0.8118620053143268
3.352882;1.038088190938034;0.749992490769;0.7224747351102165;0.3843795421929999;0.3702763845581059;10.0;0.750181;0.416192;0.416192;0.750172;0.400492;0.716165;-0.382337;0.750172;0.400492;1.047484;0.8118336583278621
3.59482;1.0380026111551937;0.749994036824;0.722535790145394;0.3841722206669999;0.3701071813677371;10.0;0.750181;0.416192;0.416192;0.750173;0.400284;0.716228;-0.382171;0.750173;0.400283;1.047395;0.811811074835149
3.836759;1.0379304557242746;0.749994256366;0.7225862313122406;0.383996353642;0.3699634706007783;10.0;0.750181;0.416192;0.416192;0.750175;0.400107;0.716281;-0.38203;0.750175;0.400107;1.04732;0.8117914706751975
4.078697;1.0378701839926805;0.749996130236;0.7226299992073859;0.383848708182;0.3698426971910267;10.0;0.750181;0.416192;0.416192;0.750176;0.399959;0.716325;-0.381911;0.750176;0.399958;1.047256;0.811774302097572
