time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.0;1.0443699861347728;0.8334339933771976;0.7980040384413086;-4.445292536598898e-07;-3.8357107772384e-07;1.0454105447073634;10.001630315746066;0.8337380402194464;0.014006028144770543;0.014005918248960907;0.7976141757148879;-0.014890733838609898;0.7979912547462926
0.0;1.0443701657863298;0.8334334543731282;0.798003929296466;-4.4449834317470734e-07;-3.835940545908701e-07;1.0454093894874428;10.001628350643333;0.8337382515677679;0.014006028318594543;0.014005918428452934;0.7976140532896492;-0.01489073767369214;0.7979912982058439
1e-06;1.0443703601287366;0.8334328758518754;0.79800381275049;-4.4446569428278037e-07;-3.8361935933988065e-07;1.0454071447432352;10.001626193716097;0.8337384800765395;0.014006028504894172;0.01400591862200128;0.7976139238256496;-0.01489074181000795;0.7979913464022532
2e-06;1.044370569412871;0.8334322574849197;0.7980036905777614;-4.444319615056015e-07;-3.8364769913303207e-07;1.0454058051460773;10.001623813239037;0.8337387273243069;0.01400602870373075;0.014005918830229837;0.7976137896396249;-0.014890746272624848;0.7979914005267473
4e-06;1.0443707932205661;0.833431599227897;0.798003565747282;-4.443980760274279e-07;-3.836797483814593e-07;1.0454043661572539;10.001621187869393;0.8337389948909592;0.014006028915117345;0.01400591905326198;0.7976136537565965;-0.014890751086866872;0.7979914618013046
8e-06;1.044370077785598;0.8334301400189719;0.7980034412098187;-2.0450836418824377e-07;-1.5406631060646477e-07;1.0454028237391306;10.001618298364935;0.8337392847445042;0.014006029138896021;0.014005919290837578;0.7976135194696795;-0.014889756275921298;0.7979915129135422
1.6e-05;1.044370331537314;0.833429750769714;0.7980036533954604;-1.3112901657922478e-06;-1.2138228323365827e-06;1.0454011746832375;10.001615120388076;0.8337395990230982;0.014006029374671384;0.014005919542187294;0.797613390201769;-0.014889761861320969;0.7979915924123128
3.2e-05;1.044370302127447;0.8334290822850755;0.7980038708865489;-3.1790391438322685e-06;-3.002169664113569e-06;1.0453984177258038;10.001611627195548;0.8337399390612975;0.014006029621950859;0.014005919805782273;0.7976132693864934;-0.014887767862630718;0.7979916452888316
6.4e-05;1.0443696399551772;0.8334270958386034;0.7980033714810825;-5.5016428811329494e-06;-5.226024237734372e-06;1.0453955535348258;10.001607793210438;0.8337403051630443;0.014006029880210588;0.014005920079406452;0.7976131602966003;-0.014885774293740177;0.7979917098841717
0.000128;1.0443680475387946;0.8334250073977738;0.7980035528365281;-9.798000278149077e-06;-9.339664361378223e-06;1.0453915841935193;10.001603596182633;0.8337406975446972;0.014006030148751656;0.014005920360404203;0.7976130657358289;-0.014880781160494655;0.7979917313618039
0.000256;1.0443642730759528;0.833420300319678;0.7980029670709503;-1.950051734937002e-05;-1.8629500750850627e-05;1.045385513977157;10.001599020112383;0.8337411168902087;0.01400603042659177;0.014005920645922161;0.7976129875947677;-0.01487078846390731;0.7979916733967508
0.000512;1.04435641025555;0.8334120902840975;0.7980022274284898;-4.0012142755362126e-05;-3.826882894011107e-05;1.0453753494855536;10.001594052878803;0.8337415636350008;0.014006030712505687;0.014005920933091874;0.7976129266067723;-0.014851796204588302;0.7979914621954577
0.001024;1.0443425510771718;0.83339873488168;0.7980012210243904;-7.819093315639094e-05;-7.482466464201433e-05;1.0453570976873507;10.00158868093234;0.8337420370334807;0.014006031005059526;0.01400592121902859;0.7976128824594529;-0.01481480438245382;0.7979909317717284
0.002048;1.0443144631206667;0.8333748814886853;0.7980011130580905;-0.0001490717705268327;-0.0001426952538911181;1.0453247645049066;10.001582889642744;0.8337425351018389;0.014006031302647378;0.01400592150076377;0.7976138544880492;-0.014746812992980534;0.7979908451583805
0.004096;1.0442667758174453;0.8333337313778935;0.7979994970587363;-0.00027201255955130386;-0.0002604232457343554;1.0452713555388649;10.001576666603293;0.8337430549915117;0.01400603160370947;0.014005921775291747;0.7976148425679075;-0.014629822022034812;0.7979898814199015
0.006144;1.0442276454214947;0.8333015756145868;0.7980000360492346;-0.00037076393439460507;-0.00035499567241660486;1.0452278769593548;10.001570003459392;0.833743593052107;0.014006031907061164;0.01400592203965532;0.7976168471350874;-0.014535831442092837;0.7979903711313351
0.008192;1.0441970724384055;0.8332783540660673;0.7980026703241616;-0.000448999764435015;-0.0004299257143647304;1.0451923349178902;10.001562898408597;0.8337441447026323;0.014006032211992758;0.014005922291094134;0.7976198686382863;-0.014461841216302115;0.7979922518246593
0.01024;1.0441735026351668;0.8332613105028396;0.7980059446142634;-0.0005109159542251568;-0.0004892286362049019;1.0451637344629554;10.001555360968606;0.8337447046047702;0.014006032518151357;0.014005922527389943;0.797625907337985;-0.014403851308841316;0.7979974446005745
0.012288;1.0441546776673096;0.8332507973486394;0.7980119178879044;-0.000557243124760896;-0.000533603000481976;1.0451400794131587;10.001547412282264;0.8337452673443322;0.014006032825461553;0.014005922747147036;0.7976319634964067;-0.014358861691246845;0.7980028907085104
0.014336;1.0441406519203567;0.833245688671551;0.7980194673113766;-0.0005945228237289991;-0.0005693119453531993;1.045122373140234;10.001539078542693;0.8337458282186024;0.014006033133941258;0.014005922949678349;0.7976390378016484;-0.014324872339360814;0.7980095495476158
