time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0442437415869439;1.2496668880208692;1.1969769936330419;-8.653879146992696e-07;-7.961957115265726e-07;1.0452558149425395;10.001621581964574;1.2124230747892042;-0.04237159362019795;1.0454874522042394;0.9998403985496657;1.2129364200273942;0.9998838783890112
0.0;1.0442445966119667;1.2496657416479506;1.1969759643358868;-9.672201006486058e-07;-8.937589032072671e-07;1.0452567243825228;10.001624339000118;1.212420298853837;-0.04237156724247101;1.0454877868150196;0.9998410529819238;1.212933527029849;0.9998839241656401
1e-06;1.0442461256317623;1.249658894458828;1.1969687756164036;-5.054710380800335e-06;-4.807381259785014e-06;1.0452577056296035;10.001627233690941;1.212411462944062;-0.04237153879438974;1.0454881394675886;0.99984176058001;1.2129245675312608;0.9998839747543881
2e-06;1.04424739287893;1.2496511407744408;1.1969610857229738;-8.632834284425144e-06;-8.233317352048305e-06;1.045258764492217;10.001630195464896;1.212401563379512;-0.04237150812659088;1.0454885040065713;0.9998425267398353;1.2129145336461338;0.9998840340570873
4e-06;1.0442486307085455;1.2496333914703388;1.1969439214666349;-1.4159085795221692e-05;-1.352448737972159e-05;1.04525990686131;10.001633143117877;1.2123815958815174;-0.04237147512105197;1.0454888744193798;0.9998433573843444;1.2128944269265196;0.9998841096224009
8e-06;1.0442510058469723;1.249595025269529;1.1969057718707603;-2.736291740541049e-05;-2.6166513238898792e-05;1.0452611375381164;10.001636005401622;1.2123415557799655;-0.04237143969690441;1.0454892461361533;0.9998442585885348;1.2128542502813477;0.9998842111594988
1.6e-05;1.0442539285515064;1.2495198542077472;1.196831807091806;-5.5295938314182116e-05;-5.2910893090133876e-05;1.045262459465073;10.001638733447182;1.2122644389186348;-0.042371401800395274;1.0454896161485772;0.9998452356977046;1.2127770112433665;0.999884348135743
3.2e-05;1.0442569279715541;1.2493637140358065;1.196680274450365;-0.00011083203623254554;-0.0001060836053678501;1.045263874534524;10.001641297371641;1.2121102416982439;-0.042371361396758726;1.0454899834288867;0.9998462931578546;1.2126227316939138;0.9998845290073395
6.4e-05;1.0442629342900016;1.2490539026056942;1.1963782038362256;-0.00021718582419344762;-0.0002079106294338469;1.045267385490553;10.001643665277204;1.211802960128256;-0.04237131845659445;1.045490349003934;0.9998474349670232;1.21231545644443;0.9998847616937834
0.000128;1.0442777098189322;1.2484340806335972;1.1957693131188543;-0.0004154993703313345;-0.0003977791119711271;1.0452759970145864;10.00164578731565;1.2111895891322861;-0.042372272948711154;1.045490715228218;0.9998486644708425;1.2117023141776244;0.999885053671483
0.000256;1.0443178789435352;1.2472073804839081;1.194550387589426;-0.0007700790158748365;-0.0007372367255030063;1.0453067145840638;10.001647602750586;1.2099631230913253;-0.042377224856047;1.0454910850787154;0.9998499838915261;1.21047660044555;0.9998854118964964
0.000497;1.0444345557832615;1.244942621789019;1.192250457942756;-0.0012991709417946513;-0.00124364916520013;1.0454095430398702;10.001649056166078;1.2076545573365087;-0.04239117419080551;1.0454914615439337;0.9998513942116337;1.2081697859683476;0.9998858431680433
0.000497;1.0444365394217732;1.2449453388082319;1.1922522943314964;-0.0012991707424417813;-0.0012436490383762487;1.0454114867643391;10.001650109615792;1.2076528888427125;-0.042391120995831845;1.0454918468997527;0.9998528948794523;1.2081679857626564;0.9998863544187496
0.000497;1.0444385453866545;1.244948109787574;1.1922541501449397;-0.001299170529148385;-0.001243648893920553;1.0454135502243114;10.0016507485965;1.207651115199482;-0.04239106534843729;1.045492241979141;0.9998544839712645;1.2081661166897066;0.9998869526462792
0.000497;1.0444405607171394;1.244950920916807;1.1922560139233753;-0.0012991703019819148;-0.0012436487309442927;1.0454157374869537;10.00165097951764;1.2076492335390423;-0.04239100736228756;1.0454926459070581;0.9998561593194834;1.2081641892820747;0.9998876442761312
0.000498;1.044443748587077;1.2449451752794614;1.1922483153048729;-0.001300390091408483;-0.0012448150693620842;1.0454180511240216;10.001650824529277;1.207637241031929;-0.04239094717767627;1.0454930568272354;0.999857918543852;1.208152221296168;0.9998884341760856
0.000499;1.044446576911155;1.2449390310887343;1.1922406026121735;-0.001302726149935025;-0.001247050403268572;1.0454214917333031;10.00165031012404;1.2076251360515107;-0.04239088493448857;1.0454934726951601;0.9998597571046337;1.2081402183267156;0.9998893253387791
0.000501;1.0444496279150042;1.244924218774431;1.1922242913280878;-0.0013036239604587762;-0.001247908626883394;1.0454250583301812;10.001649443611711;1.2076039183936398;-0.04239182073523196;1.0454938913079403;0.9998616671814645;1.2081192315497944;0.9998903186394112
0.000505;1.0444543116444247;1.2448903818116763;1.1921878606952934;-0.0013114334196481455;-0.0012553812681452736;1.045429748597138;10.001648199310207;1.2075635883248415;-0.04239175464462248;1.0454943110107788;0.9998636388284784;1.2080792049931721;0.9998914118781979
0.000513;1.0444607540040867;1.244818715349364;1.192113171571634;-0.0013266315777469523;-0.001269924756256964;1.0454375583793905;10.001646531705521;1.2074841455122192;-0.04239268673034933;1.0454947327147734;0.9998656615188132;1.208000226376829;0.9998925999487714
