time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.0;1.0444883876696476;1.2502914610636529;1.1965505846206337;1.9475394187295847e-06;-2.3186801784716654e-06;1.044894909841975;9.998590626035023;1.2506005475078097;0.035017759965297386;0.035003735049455365;1.1965097903054203;-0.03350199764157125;1.196963109982918
0.0;1.044488998785313;1.2502900045097427;1.1965490029123134;5.887859646185902e-07;-3.605273708840123e-06;1.04489463634466;9.998591717807978;1.250599333440432;0.035017719022112585;0.0350037374762334;1.1965077227830323;-0.03350199766418968;1.1969618145808623
1e-06;1.0444897494327376;1.2502833260011994;1.1965422922006796;1.6735208166569552e-06;-2.5513102426815067e-06;1.0448943463307279;9.998592852086526;1.25059802803361;0.0350176748270288;0.035003740105466405;1.1964985720318793;-0.03350199768886075;1.1969534983535748
2e-06;1.0444904510704993;1.250273098979937;1.1965322621219985;1.245348066061109e-06;-2.9447999588110914e-06;1.0448940434703051;9.998593983028577;1.2505966280671346;0.035017627138297744;0.03500374300884778;1.196487334637023;-0.03350199771615303;1.1969431561300319
4e-06;1.0444910991571656;1.2502541242528293;1.1965139290632978;-1.1767969940564215e-06;-5.246292862640665e-06;1.0448937319104212;9.998595052921706;1.2505951325550053;0.03501757578958048;0.03500374629813823;1.1964670098908186;-0.03350199774660998;1.1969237861040731
8e-06;1.0444916909066229;1.2502139502169276;1.1964753649822077;-3.248662215340301e-06;-7.211245786031693e-06;1.0448924151660108;9.998595999454864;1.2505935436627564;0.03501752067192994;0.035003750095064026;1.1964275997001284;-0.03350199778079869;1.196885386673521
1.6e-05;1.0444920409299467;1.2501332941644783;1.1963983141087529;-9.116965037663393e-06;-1.2809907239215955e-05;1.0448920961760746;9.998596756724865;1.2505918660948283;0.03501746164508577;0.03500375449894405;1.196349108372936;-0.03350199781947011;1.1968079595834595
3.2e-05;1.044491872525033;1.2499728955144067;1.196245501427252;-1.7215174014839617e-05;-2.0542451505086764e-05;1.0448897771988346;9.998597260864745;1.250590105550887;0.035017398514072755;0.035003759585324666;1.1961945415850295;-0.03350199786334275;1.1966545139549436
6.4e-05;1.0444915368329477;1.2496528029197063;1.195939977015414;-3.642605366658582e-05;-3.8913784651825724e-05;1.0448874592410224;9.998597454486763;1.2505882681697102;0.03501733109576826;0.035003765434279736;1.195886904718178;-0.03350299791286998;1.196348105105996
0.000128;1.044490021759333;1.249010094395727;1.1953269144644647;-7.029519811700788e-05;-7.131891319490644e-05;1.0448831424966554;9.99859727997249;1.2505863611798378;0.035017259241183235;0.03500377213563471;1.1952732022380739;-0.03350299796834431;1.1957357367577246
0.000256;1.0444860256551387;1.2477262485036302;1.194102834897234;-0.00012365624963987608;-0.0001223863917264442;1.0448748270896628;9.99859667209673;1.2505843934943672;0.03501718277439974;0.03500377976490674;1.1940464381360287;-0.03350399802998062;1.1945105865681378
0.000512;1.0444799483873133;1.2451627724856336;1.1916559367503063;-0.00018908518983652928;-0.00018500874363641914;1.0448645133261285;9.998595561787143;1.2505823759198782;0.03501710146499017;0.03500378836932054;1.1915956161768386;-0.033508998097955;1.1920619818419103
0.001024;1.044477818613739;1.2400454645816197;1.1867593205405242;-0.0001909045801284827;-0.0001867266404281968;1.0448562020522782;9.998593890611666;1.250580320731452;0.03501701508984365;0.03500379796374003;1.1866947401024386;-0.0335239981725165;1.1871645865919649
0.001536;1.0444858128298036;1.2349410607850455;1.181863594420993;-6.401262114375196e-05;-6.520648547009037e-05;1.0448608946853903;9.998591627089583;1.250578240567016;0.035016923500651435;0.035003808545985685;1.181793814296344;-0.033543998253901496;1.1822672993683563
0.002048;1.044498947069482;1.229841488848501;1.1769667954456504;0.00013951708768158094;0.0001296887303141322;1.0448725928054434;9.998588772694418;1.2505761473264336;0.03501682663665755;0.03500382015059204;1.176893844069488;-0.033566998342080094;1.177371063532161
0.00256;1.0445162198350542;1.2247480984337333;1.1720714187675838;0.00039207178326923606;0.0003715165262391469;1.0448892978646975;9.998585352323317;1.250574051363824;0.035016724516477776;0.03500383288655829;1.171992835086963;-0.033589998436636445;1.1724737938639898
0.003072;1.0445345467430724;1.2196558500920018;1.1671761502203546;0.0006699642009955738;0.0006375951333616628;1.0449090113077082;9.998581398504367;1.2505719612743453;0.035016617242754774;0.03500384693334425;1.167091792527218;-0.03361399853696426;1.1675765172861359
0.004096;1.0445737008410898;1.2094721364514558;1.1573834232988498;0.0012567178869677144;0.0011993456616355342;1.0449507348851879;9.998576944619131;1.2505698845295228;0.03501650499537633;0.03500386254815279;1.1572927200827057;-0.03365899864263087;1.157783873793233
0.00512;1.0446125357066312;1.1993152331344008;1.147617480299359;0.0018592268458150713;0.0017761390425893545;1.0449934705241124;9.998572029448983;1.2505678282567179;0.03501638799021584;0.03500388005116685;1.1475196192851025;-0.03369899875340727;1.1480171047229721
0.007168;1.0446868180355882;1.180303015980284;1.1293366536046576;0.00304007498416576;0.0029064442512629737;1.0450772201997343;9.99856670079219;1.2505657993959516;0.03501626643097235;0.03500389973121396;1.1292284900267988;-0.033761998869005994;1.1297368262956449
