time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0.0;1.0444429023668733;0.8333442607966147;0.7978694113836104;3.0860992859590415e-07;-3.1542918078259984e-07;1.0448593058612894;9.999807103531037;0.8335181446517173;1.0448363961243057;0.7977360727474571;0.014894473738327647;0.7978772615987376
1e-06;1.0444428958967786;0.8333442272755961;0.797869428875707;3.0562704362280754e-07;-3.094173124413987e-07;1.0448592492802808;9.99980727729442;0.8335181038325177;1.0448364419033238;0.79773609872819;0.014894476620095432;0.7978772578641697
2e-06;1.044442889033082;0.833344191376981;0.7978694475521015;3.024507653585945e-07;-3.029215369729963e-07;1.0448591881816356;9.999807463611278;0.8335180600903841;1.0448364911440073;0.7977361263867948;0.014894479725879338;0.7978772537916203
4e-06;1.0444428817400575;0.8333441530866103;0.7978694673009256;2.991068860952793e-07;-2.958997595244549e-07;1.0448591222098105;9.999807661940448;0.8335180133688755;1.0448365440516516;0.7977361554844976;0.014894483059557916;0.7978772493469631
8e-06;1.0444428739116678;0.8333441123244191;0.7978694879995196;2.9562038081793615e-07;-2.8830768510052406e-07;1.044859051073276;9.999807870856747;0.8335179635644914;1.0448366008758196;0.7977361856961941;0.014894486618611945;0.7978772445210391
1.6e-05;1.0444428655192082;0.8333440689606623;0.7978695095622538;2.920047852890361e-07;-2.8009576482944586e-07;1.0448589745765227;9.999808088822295;0.8335179105854356;1.0448366618658707;0.7977362167118339;0.014894490396639322;0.7978772393395479
3.2e-05;1.0444428567333506;0.8333440228673472;0.7978695319077868;2.882602242679207e-07;-2.7121583842415144e-07;1.0448588926025668;9.999808315447913;0.8335178544201821;1.044836727239841;0.797736248313007;0.014894494380529023;0.7978772338454614
6.4e-05;1.0444428478652548;0.8333439739366028;0.7978695549247207;2.843778914659598e-07;-2.6163031556555016e-07;1.044858805125186;9.999808551627655;0.8335177951330301;1.0448367972378736;0.79773628035676;0.014894498549814467;0.7978772280525388
9.6e-05;1.044442839227988;0.8333439220714263;0.7978695785193131;2.8034454782505695e-07;-2.513141559369153e-07;1.0448587122519886;9.999808798266526;0.8335177328331527;1.0448368722140702;0.7977363127367585;0.01489450287786026;0.7978772219539807
0.00016;1.0444428310481915;0.8333438671126384;0.7978696026554344;2.761414972448422e-07;-2.402555613285553e-07;1.0448586141597538;9.999809055068008;0.8335176676864122;1.0448369526189099;0.7977363453982441;0.01489450733119341;0.7978772155916913
0.000218;1.0444428234225767;0.8333438087473776;0.7978696273169271;2.717452290440147e-07;-2.2845898435621832e-07;1.0448585109326483;9.999809320234409;0.8335175999340019;1.0448370388653359;0.7977363783144152;0.014894511867466027;0.7978772090650855
0.000275;1.044442816301932;0.8333437465511807;0.7978696524748986;2.6713136241433035e-07;-2.1594225428584393e-07;1.0448584025000862;9.999809590823412;0.8335175298455335;1.0448371312576628;0.7977364113966097;0.014894516432102779;0.7978772024906302
0.000333;1.044442809552787;0.8333436801485778;0.7978696780689107;2.6227349752819615e-07;-2.0272983137947903e-07;1.0448582887466011;9.99980986303408;0.8335174576096205;1.044837230023133;0.7977364444652757;0.0148945209605576;0.7978771960058629
