Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.667e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
3.334e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
5.002e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
6.669e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
8.336e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.000e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.167e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.334e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.501e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.667e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.834e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
2.001e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
2.167e-02;3.000e-01;3.151e-03;4.468e-01;4.468e-01;3.151e-03;4.468e-01;3.151e-03
2.334e-02;2.999e-01;2.856e-03;4.471e-01;4.469e-01;2.856e-03;4.471e-01;2.856e-03
2.501e-02;2.997e-01;2.563e-03;4.474e-01;4.470e-01;2.563e-03;4.474e-01;2.563e-03
2.668e-02;2.995e-01;2.272e-03;4.477e-01;4.469e-01;2.272e-03;4.477e-01;2.272e-03
2.834e-02;2.992e-01;1.982e-03;4.480e-01;4.468e-01;1.982e-03;4.480e-01;1.982e-03
3.001e-02;2.988e-01;1.694e-03;4.483e-01;4.465e-01;1.517e-01;4.483e-01;1.694e-03
3.168e-02;2.984e-01;1.408e-03;4.486e-01;4.462e-01;1.514e-01;4.486e-01;1.408e-03
3.334e-02;2.980e-01;1.123e-03;4.489e-01;4.458e-01;1.511e-01;4.489e-01;1.123e-03
3.501e-02;2.975e-01;8.395e-04;4.492e-01;4.454e-01;1.507e-01;4.492e-01;8.395e-04
3.668e-02;2.969e-01;5.577e-04;4.494e-01;4.448e-01;1.503e-01;4.494e-01;5.577e-04
3.835e-02;2.963e-01;2.775e-04;4.497e-01;4.442e-01;1.499e-01;4.497e-01;2.775e-04
4.001e-02;2.957e-01;-1.111e-06;4.500e-01;4.435e-01;1.494e-01;4.500e-01;-1.111e-06
4.168e-02;2.950e-01;-2.782e-04;4.503e-01;4.428e-01;1.489e-01;4.503e-01;-2.782e-04
4.335e-02;2.943e-01;-5.538e-04;4.506e-01;4.419e-01;1.484e-01;4.506e-01;-5.538e-04
4.502e-02;2.935e-01;-8.278e-04;4.508e-01;4.411e-01;1.479e-01;4.508e-01;-8.278e-04
4.668e-02;2.927e-01;-1.100e-03;4.511e-01;4.401e-01;1.474e-01;4.511e-01;-1.100e-03
4.835e-02;2.919e-01;-1.371e-03;4.514e-01;4.392e-01;1.468e-01;4.514e-01;-1.371e-03
5.002e-02;2.910e-01;1.462e-01;4.516e-01;4.381e-01;1.462e-01;4.516e-01;1.484e-01
5.168e-02;2.901e-01;1.456e-01;4.484e-01;4.370e-01;1.456e-01;4.484e-01;1.469e-01
5.335e-02;2.892e-01;1.450e-01;4.451e-01;4.359e-01;1.450e-01;4.451e-01;1.455e-01
5.502e-02;2.882e-01;1.440e-01;4.419e-01;4.347e-01;1.443e-01;4.419e-01;1.440e-01
5.669e-02;2.872e-01;1.426e-01;4.387e-01;4.335e-01;1.436e-01;4.387e-01;1.426e-01
5.835e-02;2.862e-01;1.412e-01;4.355e-01;4.323e-01;1.430e-01;4.355e-01;1.412e-01
6.002e-02;2.852e-01;1.398e-01;4.323e-01;4.310e-01;1.423e-01;4.323e-01;1.398e-01
6.169e-02;2.841e-01;1.384e-01;4.296e-01;4.296e-01;1.416e-01;4.292e-01;1.384e-01
6.335e-02;2.830e-01;1.370e-01;4.283e-01;4.283e-01;1.408e-01;4.261e-01;1.370e-01
6.502e-02;2.819e-01;1.357e-01;4.269e-01;4.269e-01;1.401e-01;4.230e-01;1.357e-01
6.669e-02;2.808e-01;1.343e-01;4.254e-01;4.254e-01;1.394e-01;4.200e-01;1.343e-01
6.836e-02;2.796e-01;1.330e-01;4.240e-01;4.240e-01;1.386e-01;4.170e-01;1.330e-01
7.002e-02;2.785e-01;1.316e-01;4.225e-01;4.225e-01;1.378e-01;4.140e-01;1.316e-01
7.169e-02;2.773e-01;1.303e-01;4.210e-01;4.210e-01;1.370e-01;4.110e-01;1.303e-01
7.336e-02;2.761e-01;1.290e-01;4.194e-01;4.194e-01;1.362e-01;4.080e-01;1.290e-01
7.503e-02;2.749e-01;1.277e-01;4.179e-01;4.179e-01;1.354e-01;4.051e-01;1.277e-01
7.669e-02;2.737e-01;1.264e-01;4.163e-01;4.163e-01;1.346e-01;4.022e-01;1.264e-01
7.836e-02;2.724e-01;1.251e-01;4.147e-01;4.147e-01;1.338e-01;3.993e-01;1.251e-01
8.003e-02;2.712e-01;1.238e-01;4.130e-01;4.130e-01;1.330e-01;3.965e-01;1.238e-01
8.169e-02;2.699e-01;1.226e-01;4.114e-01;4.114e-01;1.322e-01;3.936e-01;1.226e-01
8.336e-02;2.687e-01;1.213e-01;4.097e-01;4.097e-01;1.313e-01;3.908e-01;1.213e-01
8.503e-02;2.674e-01;1.201e-01;4.080e-01;4.080e-01;1.305e-01;3.880e-01;1.201e-01
8.670e-02;2.661e-01;1.188e-01;4.063e-01;4.063e-01;1.296e-01;3.853e-01;1.188e-01
8.836e-02;2.648e-01;1.176e-01;4.046e-01;4.046e-01;1.288e-01;3.825e-01;1.176e-01
9.003e-02;2.635e-01;1.150e-01;4.029e-01;4.029e-01;1.279e-01;3.798e-01;1.150e-01
9.170e-02;2.622e-01;1.109e-01;4.012e-01;4.012e-01;1.271e-01;3.771e-01;1.109e-01
9.336e-02;2.608e-01;1.068e-01;3.994e-01;3.994e-01;1.262e-01;3.744e-01;1.068e-01
9.503e-02;2.595e-01;1.027e-01;3.976e-01;3.976e-01;1.253e-01;3.718e-01;1.027e-01
9.670e-02;2.582e-01;9.870e-02;3.959e-01;3.959e-01;1.244e-01;3.691e-01;9.870e-02
9.837e-02;2.568e-01;9.471e-02;3.941e-01;3.941e-01;1.236e-01;3.665e-01;9.471e-02
1.000e-01;2.555e-01;9.076e-02;3.923e-01;3.923e-01;1.227e-01;3.639e-01;9.076e-02
1.017e-01;2.541e-01;8.683e-02;3.905e-01;3.905e-01;1.218e-01;3.613e-01;8.683e-02
1.034e-01;2.528e-01;8.294e-02;3.887e-01;3.887e-01;1.209e-01;3.588e-01;8.294e-02
1.050e-01;2.514e-01;7.908e-02;3.869e-01;3.869e-01;1.200e-01;3.563e-01;7.908e-02
1.067e-01;2.501e-01;7.526e-02;3.851e-01;3.851e-01;1.191e-01;3.537e-01;7.526e-02
1.084e-01;2.487e-01;7.147e-02;3.833e-01;3.833e-01;1.182e-01;3.513e-01;7.147e-02
1.100e-01;2.474e-01;6.771e-02;3.814e-01;3.814e-01;1.173e-01;3.488e-01;6.771e-02
1.117e-01;2.460e-01;6.399e-02;3.796e-01;3.796e-01;1.164e-01;3.463e-01;6.399e-02
1.134e-01;2.446e-01;6.031e-02;3.778e-01;3.778e-01;1.155e-01;3.439e-01;6.031e-02
1.150e-01;2.433e-01;5.666e-02;3.759e-01;3.759e-01;1.147e-01;3.415e-01;5.666e-02
1.167e-01;2.419e-01;5.305e-02;3.741e-01;3.741e-01;1.138e-01;3.391e-01;5.305e-02
1.184e-01;2.405e-01;4.947e-02;3.723e-01;3.723e-01;1.129e-01;3.367e-01;4.947e-02
1.200e-01;2.392e-01;4.594e-02;3.704e-01;3.704e-01;1.120e-01;3.344e-01;4.594e-02
1.217e-01;2.378e-01;4.244e-02;3.686e-01;3.686e-01;1.111e-01;3.320e-01;4.244e-02
1.234e-01;2.364e-01;3.897e-02;3.668e-01;3.668e-01;1.102e-01;3.297e-01;3.897e-02
1.250e-01;2.351e-01;3.555e-02;3.649e-01;3.649e-01;1.093e-01;3.274e-01;3.555e-02
1.267e-01;2.337e-01;3.216e-02;3.631e-01;3.631e-01;1.084e-01;3.252e-01;3.216e-02
1.284e-01;2.323e-01;2.882e-02;3.613e-01;3.613e-01;1.075e-01;3.229e-01;2.882e-02
1.300e-01;2.310e-01;2.551e-02;3.594e-01;3.594e-01;1.066e-01;3.207e-01;2.551e-02
1.317e-01;2.296e-01;2.224e-02;3.576e-01;3.576e-01;1.057e-01;3.184e-01;2.224e-02
1.334e-01;2.283e-01;1.901e-02;3.558e-01;3.558e-01;1.048e-01;3.162e-01;1.901e-02
1.350e-01;2.269e-01;1.582e-02;3.540e-01;3.540e-01;1.040e-01;3.141e-01;1.582e-02
1.367e-01;2.256e-01;1.267e-02;3.521e-01;3.521e-01;1.031e-01;3.119e-01;1.267e-02
1.384e-01;2.242e-01;9.564e-03;3.503e-01;3.503e-01;1.022e-01;3.097e-01;9.564e-03
1.400e-01;2.229e-01;6.495e-03;3.485e-01;3.485e-01;1.013e-01;3.076e-01;6.495e-03
1.417e-01;2.215e-01;3.466e-03;3.467e-01;3.467e-01;1.004e-01;3.055e-01;3.466e-03
1.434e-01;2.202e-01;4.788e-04;3.449e-01;3.449e-01;9.956e-02;3.034e-01;4.788e-04
1.450e-01;2.189e-01;-2.468e-03;3.431e-01;3.431e-01;9.869e-02;3.013e-01;-2.468e-03
1.467e-01;2.175e-01;-5.374e-03;3.413e-01;3.413e-01;9.782e-02;2.992e-01;-5.374e-03
1.484e-01;2.162e-01;-8.239e-03;3.395e-01;3.395e-01;9.695e-02;2.972e-01;-8.239e-03
1.501e-01;2.149e-01;-1.106e-02;3.377e-01;3.377e-01;9.609e-02;2.952e-01;-1.106e-02
1.517e-01;2.136e-01;-1.385e-02;3.359e-01;3.359e-01;9.522e-02;2.931e-01;-1.385e-02
1.534e-01;2.123e-01;-1.659e-02;3.341e-01;3.341e-01;9.437e-02;2.911e-01;-1.659e-02
1.551e-01;2.110e-01;-1.929e-02;3.324e-01;3.324e-01;9.351e-02;2.892e-01;-1.929e-02
1.567e-01;2.097e-01;-2.194e-02;3.306e-01;3.306e-01;9.266e-02;2.872e-01;-2.194e-02
1.584e-01;2.084e-01;-2.456e-02;3.288e-01;3.288e-01;9.181e-02;2.852e-01;-2.456e-02
1.601e-01;2.071e-01;-2.714e-02;3.271e-01;3.271e-01;9.096e-02;2.833e-01;-2.714e-02
1.617e-01;2.058e-01;-2.967e-02;3.253e-01;3.253e-01;9.012e-02;2.814e-01;-2.967e-02
1.634e-01;2.045e-01;-3.216e-02;3.236e-01;3.236e-01;8.927e-02;2.795e-01;-3.216e-02
1.651e-01;2.032e-01;-3.461e-02;3.219e-01;3.219e-01;8.844e-02;2.776e-01;-3.461e-02
1.667e-01;2.019e-01;-3.702e-02;3.201e-01;3.201e-01;8.760e-02;2.757e-01;-3.702e-02
1.684e-01;2.007e-01;-3.939e-02;3.184e-01;3.184e-01;8.677e-02;2.739e-01;-3.939e-02
1.701e-01;1.994e-01;-4.172e-02;3.167e-01;3.167e-01;8.595e-02;2.720e-01;-4.172e-02
1.717e-01;1.982e-01;-4.400e-02;3.150e-01;3.150e-01;8.512e-02;2.702e-01;-4.400e-02
1.734e-01;1.969e-01;-4.625e-02;3.133e-01;3.133e-01;8.430e-02;2.684e-01;-4.625e-02
1.751e-01;1.957e-01;-4.845e-02;3.116e-01;3.116e-01;8.348e-02;2.666e-01;-4.845e-02
