Time (s);P PCC (pu);P lower (pu);P upper (pu)
0.000e+00;3.000e-01;3.447e-03;4.466e-01
1.667e-03;3.000e-01;3.447e-03;4.466e-01
3.334e-03;3.000e-01;3.447e-03;4.466e-01
5.002e-03;3.000e-01;3.447e-03;4.466e-01
6.669e-03;3.000e-01;3.447e-03;4.466e-01
8.336e-03;3.000e-01;3.447e-03;4.466e-01
1.000e-02;3.000e-01;3.447e-03;4.466e-01
1.167e-02;3.000e-01;3.447e-03;4.466e-01
1.334e-02;3.000e-01;3.447e-03;4.466e-01
1.501e-02;3.000e-01;3.447e-03;4.466e-01
1.667e-02;3.000e-01;3.447e-03;4.466e-01
1.834e-02;3.000e-01;3.447e-03;4.466e-01
2.001e-02;3.000e-01;3.447e-03;4.466e-01
2.167e-02;2.965e-01;3.151e-03;4.468e-01
2.334e-02;2.930e-01;2.856e-03;4.471e-01
2.501e-02;2.894e-01;2.563e-03;4.474e-01
2.668e-02;2.858e-01;2.272e-03;4.477e-01
2.834e-02;2.822e-01;1.982e-03;4.480e-01
3.001e-02;2.786e-01;1.694e-03;4.483e-01
3.168e-02;2.750e-01;1.408e-03;4.486e-01
3.334e-02;2.713e-01;1.123e-03;4.489e-01
3.501e-02;2.677e-01;8.395e-04;4.492e-01
3.668e-02;2.640e-01;5.577e-04;4.494e-01
3.835e-02;2.603e-01;2.775e-04;4.497e-01
4.001e-02;2.566e-01;-1.111e-06;4.500e-01
4.168e-02;2.529e-01;-2.782e-04;4.503e-01
4.335e-02;2.491e-01;-5.538e-04;4.506e-01
4.502e-02;2.454e-01;-8.278e-04;4.508e-01
4.668e-02;2.417e-01;-1.100e-03;4.511e-01
4.835e-02;2.379e-01;-1.371e-03;4.514e-01
5.002e-02;2.342e-01;1.484e-01;4.516e-01
5.168e-02;2.304e-01;1.471e-01;4.489e-01
5.335e-02;2.266e-01;1.458e-01;4.462e-01
5.502e-02;2.229e-01;1.446e-01;4.435e-01
5.669e-02;2.191e-01;1.433e-01;4.409e-01
5.835e-02;2.153e-01;1.421e-01;4.382e-01
6.002e-02;2.115e-01;1.409e-01;4.356e-01
6.169e-02;2.078e-01;1.397e-01;4.330e-01
6.335e-02;2.040e-01;1.385e-01;4.304e-01
6.502e-02;2.002e-01;1.373e-01;4.278e-01
6.669e-02;1.965e-01;1.361e-01;4.252e-01
6.836e-02;1.927e-01;1.349e-01;4.227e-01
7.002e-02;1.889e-01;1.337e-01;4.202e-01
7.169e-02;1.852e-01;1.325e-01;4.176e-01
7.336e-02;1.814e-01;1.314e-01;4.151e-01
7.503e-02;1.777e-01;1.302e-01;4.127e-01
7.669e-02;1.740e-01;1.291e-01;4.102e-01
7.836e-02;1.703e-01;1.279e-01;4.078e-01
8.003e-02;1.665e-01;1.268e-01;4.053e-01
8.169e-02;1.628e-01;1.257e-01;4.029e-01
8.336e-02;1.592e-01;1.229e-01;4.005e-01
8.503e-02;1.555e-01;1.187e-01;3.982e-01
8.670e-02;1.518e-01;1.146e-01;3.958e-01
8.836e-02;1.482e-01;1.104e-01;3.935e-01
9.003e-02;1.445e-01;1.064e-01;3.911e-01
9.170e-02;1.409e-01;1.023e-01;3.888e-01
9.336e-02;1.373e-01;9.830e-02;3.865e-01
9.503e-02;1.337e-01;9.433e-02;3.842e-01
9.670e-02;1.301e-01;9.040e-02;3.820e-01
9.837e-02;1.265e-01;8.651e-02;3.797e-01
1.000e-01;1.230e-01;8.266e-02;3.775e-01
1.017e-01;1.195e-01;7.884e-02;3.752e-01
1.034e-01;1.160e-01;7.507e-02;3.730e-01
1.050e-01;1.125e-01;7.134e-02;3.709e-01
1.067e-01;1.090e-01;6.765e-02;3.687e-01
1.084e-01;1.056e-01;6.400e-02;3.665e-01
1.100e-01;1.021e-01;6.039e-02;3.644e-01
1.117e-01;9.872e-02;5.683e-02;3.622e-01
1.134e-01;9.534e-02;5.330e-02;3.601e-01
1.150e-01;9.198e-02;4.982e-02;3.580e-01
1.167e-01;8.864e-02;4.638e-02;3.559e-01
1.184e-01;8.532e-02;4.298e-02;3.538e-01
1.200e-01;8.203e-02;3.962e-02;3.518e-01
1.217e-01;7.877e-02;3.631e-02;3.497e-01
1.234e-01;7.552e-02;3.303e-02;3.477e-01
1.250e-01;7.231e-02;2.980e-02;3.457e-01
1.267e-01;6.912e-02;2.662e-02;3.437e-01
1.284e-01;6.595e-02;2.347e-02;3.417e-01
1.300e-01;6.281e-02;2.037e-02;3.397e-01
1.317e-01;5.970e-02;1.731e-02;3.377e-01
1.334e-01;5.662e-02;1.430e-02;3.358e-01
1.350e-01;5.356e-02;1.132e-02;3.338e-01
1.367e-01;5.053e-02;8.393e-03;3.319e-01
1.384e-01;4.753e-02;5.505e-03;3.300e-01
1.400e-01;4.456e-02;2.661e-03;3.281e-01
1.417e-01;4.162e-02;-1.411e-04;3.262e-01
1.434e-01;3.871e-02;-2.900e-03;3.243e-01
1.450e-01;3.582e-02;-5.616e-03;3.225e-01
1.467e-01;3.297e-02;-8.290e-03;3.206e-01
1.484e-01;3.014e-02;-1.092e-02;3.188e-01
1.501e-01;2.735e-02;-1.351e-02;3.170e-01
1.517e-01;2.459e-02;-1.606e-02;3.151e-01
1.534e-01;2.185e-02;-1.856e-02;3.133e-01
1.551e-01;1.915e-02;-2.102e-02;3.116e-01
1.567e-01;1.648e-02;-2.344e-02;3.098e-01
1.584e-01;1.385e-02;-2.582e-02;3.080e-01
1.601e-01;1.124e-02;-2.815e-02;3.063e-01
1.617e-01;8.664e-03;-3.045e-02;3.045e-01
1.634e-01;6.121e-03;-3.270e-02;3.028e-01
1.651e-01;3.611e-03;-3.491e-02;3.011e-01
1.667e-01;1.133e-03;-3.708e-02;2.994e-01
1.684e-01;-1.313e-03;-3.920e-02;2.977e-01
1.701e-01;-3.725e-03;-4.129e-02;2.960e-01
1.717e-01;-6.105e-03;-4.334e-02;2.943e-01
1.734e-01;-8.452e-03;-4.534e-02;2.927e-01
1.751e-01;-1.077e-02;-4.731e-02;2.910e-01
1.767e-01;-1.305e-02;-4.924e-02;2.894e-01
1.784e-01;-1.529e-02;-5.112e-02;2.878e-01
1.801e-01;-1.751e-02;-5.297e-02;2.861e-01
1.817e-01;-1.969e-02;-5.477e-02;2.845e-01
1.834e-01;-2.184e-02;-5.654e-02;2.829e-01
1.851e-01;-2.395e-02;-5.827e-02;2.814e-01
1.867e-01;-2.603e-02;-5.996e-02;2.798e-01
1.884e-01;-2.808e-02;-6.161e-02;2.782e-01
1.901e-01;-3.009e-02;-6.323e-02;2.767e-01
1.917e-01;-3.207e-02;-6.480e-02;2.751e-01
1.934e-01;-3.401e-02;-6.634e-02;2.736e-01
1.951e-01;-3.592e-02;-6.784e-02;2.721e-01
1.967e-01;-3.780e-02;-6.930e-02;2.706e-01
1.984e-01;-3.964e-02;-7.073e-02;2.691e-01
2.001e-01;-4.145e-02;-7.212e-02;2.676e-01
2.017e-01;-4.323e-02;-7.347e-02;2.661e-01
2.034e-01;-4.497e-02;-7.479e-02;2.646e-01
2.051e-01;-4.668e-02;-7.607e-02;2.632e-01
2.067e-01;-4.836e-02;-7.732e-02;2.617e-01
2.084e-01;-5.000e-02;-7.853e-02;2.603e-01
2.101e-01;-5.161e-02;-7.971e-02;2.589e-01
2.117e-01;-5.318e-02;-8.085e-02;2.574e-01
2.134e-01;-5.473e-02;-8.196e-02;2.560e-01
2.151e-01;-5.624e-02;-8.304e-02;2.546e-01
2.167e-01;-5.771e-02;-8.408e-02;2.532e-01
2.184e-01;-5.915e-02;-8.509e-02;2.519e-01
2.201e-01;-6.056e-02;-8.607e-02;2.505e-01
2.217e-01;-6.194e-02;-8.701e-02;2.491e-01
2.234e-01;-6.328e-02;-8.792e-02;2.478e-01
2.251e-01;-6.459e-02;-8.880e-02;2.464e-01
2.267e-01;-6.587e-02;-8.965e-02;2.451e-01
2.284e-01;-6.712e-02;-9.047e-02;2.438e-01
2.301e-01;-6.833e-02;-9.180e-02;2.425e-01
2.317e-01;-6.951e-02;-9.313e-02;2.411e-01
2.334e-01;-7.066e-02;-9.442e-02;2.398e-01
2.351e-01;-7.178e-02;-9.569e-02;2.386e-01
2.367e-01;-7.287e-02;-9.692e-02;2.373e-01
2.384e-01;-7.392e-02;-9.812e-02;2.360e-01
2.401e-01;-7.495e-02;-9.928e-02;2.347e-01
2.417e-01;-7.594e-02;-1.004e-01;2.335e-01
2.434e-01;-7.690e-02;-1.015e-01;2.322e-01
2.451e-01;-7.783e-02;-1.026e-01;2.310e-01
2.467e-01;-7.873e-02;-1.036e-01;2.298e-01
2.484e-01;-7.960e-02;-1.046e-01;2.285e-01
2.501e-01;-8.044e-02;-1.056e-01;2.273e-01
2.518e-01;-8.125e-02;-1.066e-01;2.261e-01
2.534e-01;-8.203e-02;-1.075e-01;2.249e-01
2.551e-01;-8.278e-02;-1.084e-01;2.237e-01
2.568e-01;-8.351e-02;-1.092e-01;2.225e-01
2.584e-01;-8.420e-02;-1.101e-01;2.214e-01
2.601e-01;-8.486e-02;-1.109e-01;2.202e-01
2.618e-01;-8.550e-02;-1.117e-01;2.190e-01
2.634e-01;-8.610e-02;-1.131e-01;2.179e-01
2.651e-01;-8.668e-02;-1.145e-01;2.168e-01
2.668e-01;-8.723e-02;-1.158e-01;2.156e-01
2.684e-01;-8.775e-02;-1.171e-01;2.145e-01
2.701e-01;-8.825e-02;-1.184e-01;2.134e-01
2.718e-01;-8.871e-02;-1.196e-01;2.123e-01
2.734e-01;-8.915e-02;-1.209e-01;2.112e-01
2.751e-01;-8.957e-02;-1.220e-01;2.101e-01
2.768e-01;-8.995e-02;-1.232e-01;2.090e-01
2.784e-01;-9.032e-02;-1.243e-01;2.079e-01
2.801e-01;-9.065e-02;-1.254e-01;2.068e-01
2.818e-01;-9.096e-02;-1.265e-01;2.058e-01
2.834e-01;-9.124e-02;-1.275e-01;2.047e-01
2.851e-01;-9.150e-02;-1.286e-01;2.036e-01
2.868e-01;-9.174e-02;-1.295e-01;2.026e-01
2.884e-01;-9.195e-02;-1.305e-01;2.016e-01
2.901e-01;-9.213e-02;-1.314e-01;2.005e-01
2.918e-01;-9.229e-02;-1.323e-01;1.995e-01
2.934e-01;-9.243e-02;-1.332e-01;1.985e-01
2.951e-01;-9.254e-02;-1.340e-01;1.975e-01
2.968e-01;-9.263e-02;-1.348e-01;1.965e-01
2.984e-01;-9.270e-02;-1.356e-01;1.955e-01
3.001e-01;-9.275e-02;-1.363e-01;1.945e-01
3.018e-01;-9.277e-02;-1.371e-01;1.935e-01
3.034e-01;-9.277e-02;-1.378e-01;1.925e-01
3.051e-01;-9.275e-02;-1.384e-01;1.915e-01
3.068e-01;-9.271e-02;-1.391e-01;1.906e-01
3.084e-01;-9.264e-02;-1.397e-01;1.896e-01
3.101e-01;-9.256e-02;-1.403e-01;1.887e-01
3.118e-01;-9.245e-02;-1.408e-01;1.877e-01
3.134e-01;-9.233e-02;-1.414e-01;1.868e-01
3.151e-01;-9.218e-02;-1.419e-01;1.859e-01
3.168e-01;-9.202e-02;-1.423e-01;1.849e-01
3.184e-01;-9.183e-02;-1.428e-01;1.840e-01
3.201e-01;-9.163e-02;-1.432e-01;1.831e-01
