Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.667e-03;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
3.334e-03;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
5.002e-03;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
6.669e-03;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
8.336e-03;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.000e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.167e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.334e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.501e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.667e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
1.834e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
2.001e-02;-3.500e-01;-9.466e-01;-5.345e-02;-5.345e-02;-9.466e-01;-5.345e-02;-9.466e-01
2.167e-02;-3.501e-01;-9.468e-01;-5.315e-02;-5.326e-02;-9.468e-01;-5.315e-02;-9.468e-01
2.334e-02;-3.503e-01;-9.471e-01;-5.286e-02;-5.327e-02;-9.471e-01;-5.286e-02;-9.471e-01
2.501e-02;-3.506e-01;-9.474e-01;-5.256e-02;-5.348e-02;-9.474e-01;-5.256e-02;-9.474e-01
2.668e-02;-3.511e-01;-9.477e-01;-5.227e-02;-5.388e-02;-9.477e-01;-5.227e-02;-9.477e-01
2.834e-02;-3.517e-01;-9.480e-01;-5.198e-02;-5.446e-02;-9.480e-01;-5.198e-02;-9.480e-01
3.001e-02;-3.523e-01;-6.483e-01;-5.169e-02;-5.521e-02;-6.483e-01;-5.169e-02;-6.483e-01
3.168e-02;-3.532e-01;-6.510e-01;-5.613e-02;-5.613e-02;-6.486e-01;-5.851e-02;-6.510e-01
3.334e-02;-3.541e-01;-6.536e-01;-5.721e-02;-5.721e-02;-6.490e-01;-6.527e-02;-6.536e-01
3.501e-02;-3.551e-01;-6.562e-01;-5.844e-02;-5.844e-02;-6.495e-01;-7.197e-02;-6.562e-01
3.668e-02;-3.562e-01;-6.588e-01;-5.982e-02;-5.982e-02;-6.500e-01;-7.862e-02;-6.588e-01
3.835e-02;-3.574e-01;-6.614e-01;-6.134e-02;-6.134e-02;-6.505e-01;-8.522e-02;-6.614e-01
4.001e-02;-3.587e-01;-6.639e-01;-6.299e-02;-6.299e-02;-6.512e-01;-9.176e-02;-6.639e-01
4.168e-02;-3.600e-01;-6.665e-01;-6.477e-02;-6.477e-02;-6.519e-01;-9.826e-02;-6.665e-01
