time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;0.9773639766421767;0.4089271872537592;0.41830289137812277;0.31898165729235795;0.3264012153493191;0.9999164625718807;9.999896453514516;0.41674337373278425;0.45364971666860393;0.4537644773086634;0.41537320537512695;0.3299700426260128;0.9859422917628433;0.5304780812135228;0.9999327798168357
1e-06;0.9773642469071625;0.4089271393492844;0.41830287079833356;0.3189818135422808;0.32640108550723146;0.9999168524353381;9.999898910264507;0.4167432753770467;0.4536495268984127;0.45376430106991533;0.41537338382155126;0.32997004131963714;0.9859417229065311;0.5304782733068697;0.9999329083513089
2e-06;0.9773645384017812;0.4089270891806174;0.4183028495883409;0.31898198416965884;0.3264009459242206;0.9999172728054855;9.999901543935785;0.4167431693635923;0.45364932156728494;0.4537641106324314;0.41537357559319715;0.32997004002997904;0.9859411107943683;0.5304784788295331;0.9999330443474933
4e-06;0.9773648515412771;0.40892709136480787;0.4183028833998779;0.3189810872039835;0.32639968687664694;0.9999177260152498;9.999904370043183;0.41674305592668276;0.45364909886900406;0.4537639034954294;0.4153737807440531;0.32997003879962555;0.9859404527053907;0.5304786969435034;0.9999331871053525
8e-06;0.9773651859368792;0.40892703889203363;0.4183028628555052;0.31898129528449587;0.3263995281640766;0.9999182137229511;9.999907418842637;0.41674293612523994;0.453648857250325;0.4537636759642167;0.4153739987978187;0.3299700375910061;0.9859397457423347;0.530478926356794;0.9999333364283065
1.6e-05;0.9773655408184093;0.4089269857506053;0.4183028435906542;0.3189815262191594;0.326399360409949;0.9999187362027395;9.999910727321014;0.41674281132672514;0.4536485958334839;0.4537634238097806;0.4153742289013331;0.3299700363150037;0.9859389872551009;0.5304791655806684;0.9999334923618195
3.2e-05;0.9773659150792855;0.40892807054742825;0.4183039908192629;0.3189807509462373;0.3263981292961524;0.9999192928645473;9.99991432679656;0.41674268250809526;0.45364831457507915;0.4537631429336022;0.41537447002982447;0.329970035037252;0.9859381754018154;0.5304794127339287;0.9999336550752421
6.4e-05;0.9773653081971946;0.4089298593175839;0.418306288260637;0.3189786655062352;0.32639585650113456;0.999919883244192;9.99991823660556;0.4167425502658732;0.45364801409525957;0.4537628295136787;0.4153747211216604;0.3299700341831576;0.9859373089156136;0.5304796653872575;0.9999338247337759
0.000128;0.9773657650491394;0.40893296829735165;0.4183094906369159;0.3189752302016331;0.32639181774523446;0.999920507212219;9.999922466509538;0.41674241546377777;0.4536476952876287;0.4537624800001836;0.4153759810934748;0.32997003440718964;0.9859353859035966;0.5304807039748812;0.9999340013127282
0.000256;0.9773652368782568;0.408939057929551;0.4183161726605696;0.31896842392852187;0.3263846287186661;0.9999211645478743;9.999927018541808;0.4167422795177387;0.4536473591507343;0.4537620914238025;0.41537724890134275;0.32997003627546395;0.9859334035155523;0.5304817434752581;0.9999341847175497
