time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;9.111e-01;1.024e+00;8.370e-01;-3.601e-01;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
0.000001000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;9.111e-01;1.024e+00;8.370e-01;-3.601e-01;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990000000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;9.111e-01;1.024e+00;8.370e-01;-3.601e-01;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;8.334e-01;-4.445e-01;7.979e-01;-4.255e-01;9.112e-01;1.024e+00;8.370e-01;-3.601e-01;1.044e+00;7.500e-01;-4.000e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990012000;1.045e+00;8.335e-01;-4.445e-01;7.979e-01;-4.255e-01;9.112e-01;1.024e+00;8.370e-01;-3.601e-01;1.045e+00;7.501e-01;-4.001e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990028000;1.045e+00;8.336e-01;-4.446e-01;7.979e-01;-4.255e-01;9.114e-01;1.024e+00;8.370e-01;-3.601e-01;1.045e+00;7.503e-01;-4.001e-01;8.333e-01;-4.444e-01;9.111e-01;5.000e+01;5.000e+01
19.990060000;1.045e+00;8.339e-01;-4.448e-01;7.979e-01;-4.255e-01;9.118e-01;1.025e+00;8.370e-01;-3.602e-01;1.045e+00;7.506e-01;-4.003e-01;8.333e-01;-4.444e-01;9.111e-01;4.999e+01;4.999e+01
19.990124000;1.046e+00;8.346e-01;-4.451e-01;7.979e-01;-4.255e-01;9.125e-01;1.026e+00;8.370e-01;-3.602e-01;1.046e+00;7.511e-01;-4.006e-01;8.333e-01;-4.444e-01;9.111e-01;4.998e+01;4.998e+01
19.990252000;1.048e+00;8.359e-01;-4.458e-01;7.979e-01;-4.255e-01;9.139e-01;1.027e+00;8.369e-01;-3.603e-01;1.048e+00;7.523e-01;-4.012e-01;8.333e-01;-4.444e-01;9.111e-01;4.997e+01;4.997e+01
19.990380000;1.049e+00;8.372e-01;-4.464e-01;7.979e-01;-4.255e-01;9.154e-01;1.029e+00;8.369e-01;-3.603e-01;1.049e+00;7.535e-01;-4.018e-01;8.333e-01;-4.444e-01;9.111e-01;4.996e+01;4.996e+01
