time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.000e+01;5.000e+01
19.989997000;1.044e+00;-6.666e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.000e+01;5.000e+01
19.990028000;1.045e+00;-6.669e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.045e+00;-4.001e-01;-1.300e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.000e+01;5.000e+01
19.990124000;1.046e+00;-6.677e-01;-2.170e-01;-6.383e-01;-2.074e-01;1.046e+00;-4.006e-01;-1.302e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.000e+01;5.000e+01
19.990252000;1.048e+00;-6.687e-01;-2.173e-01;-6.383e-01;-2.074e-01;1.048e+00;-4.012e-01;-1.304e-01;1.000e+01;-6.252e-01;1.904e-01;9.801e-01;5.001e+01;5.001e+01
19.990636000;1.053e+00;-6.719e-01;-2.183e-01;-6.383e-01;-2.074e-01;1.053e+00;-4.031e-01;-1.310e-01;1.000e+01;-6.252e-01;1.903e-01;9.801e-01;5.001e+01;5.001e+01
19.990821000;1.055e+00;-6.734e-01;-2.188e-01;-6.383e-01;-2.074e-01;1.055e+00;-4.040e-01;-1.313e-01;1.000e+01;-6.252e-01;1.903e-01;9.801e-01;5.002e+01;5.002e+01
19.991589000;1.065e+00;-6.796e-01;-2.207e-01;-6.383e-01;-2.073e-01;1.065e+00;-4.078e-01;-1.324e-01;1.000e+01;-6.252e-01;1.903e-01;9.801e-01;5.002e+01;5.002e+01
19.992101000;1.071e+00;-6.838e-01;-2.219e-01;-6.383e-01;-2.071e-01;1.071e+00;-4.103e-01;-1.331e-01;1.000e+01;-6.251e-01;1.902e-01;9.801e-01;5.002e+01;5.002e+01
19.992357000;1.075e+00;-6.859e-01;-2.225e-01;-6.383e-01;-2.071e-01;1.075e+00;-4.115e-01;-1.335e-01;1.000e+01;-6.251e-01;1.902e-01;9.801e-01;5.003e+01;5.003e+01
19.992613000;1.078e+00;-6.879e-01;-2.232e-01;-6.383e-01;-2.070e-01;1.078e+00;-4.128e-01;-1.339e-01;1.000e+01;-6.251e-01;1.902e-01;9.801e-01;5.003e+01;5.003e+01
19.993893000;1.094e+00;-6.982e-01;-2.263e-01;-6.381e-01;-2.068e-01;1.094e+00;-4.189e-01;-1.358e-01;1.000e+01;-6.249e-01;1.901e-01;9.801e-01;5.003e+01;5.003e+01
19.994411000;1.101e+00;-7.023e-01;-2.276e-01;-6.380e-01;-2.068e-01;1.101e+00;-4.214e-01;-1.366e-01;1.000e+01;-6.247e-01;1.901e-01;9.801e-01;5.003e+01;5.003e+01
19.994603000;1.103e+00;-7.038e-01;-2.281e-01;-6.379e-01;-2.068e-01;1.103e+00;-4.223e-01;-1.369e-01;1.000e+01;-6.247e-01;1.901e-01;9.801e-01;5.003e+01;5.003e+01
19.994859000;1.107e+00;-7.058e-01;-2.288e-01;-6.378e-01;-2.068e-01;1.107e+00;-4.235e-01;-1.373e-01;1.000e+01;-6.246e-01;1.902e-01;9.801e-01;5.003e+01;5.003e+01
