time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.000e+00;-1.197e+00;6.383e-01;-1.197e+00;6.383e-01;1.223e+00;1.000e+01;-1.163e+00;-6.784e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000001000;1.000e+00;-1.197e+00;6.383e-01;-1.197e+00;6.383e-01;1.223e+00;1.000e+01;-1.163e+00;-6.784e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000002000;1.000e+00;-1.197e+00;6.383e-01;-1.197e+00;6.383e-01;1.223e+00;1.000e+01;-1.163e+00;-6.784e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000004000;1.000e+00;-1.197e+00;6.383e-01;-1.197e+00;6.383e-01;1.223e+00;1.000e+01;-1.163e+00;-6.783e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000008000;1.000e+00;-1.197e+00;6.382e-01;-1.197e+00;6.382e-01;1.223e+00;1.000e+01;-1.163e+00;-6.783e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000016000;1.000e+00;-1.197e+00;6.381e-01;-1.197e+00;6.381e-01;1.223e+00;1.000e+01;-1.163e+00;-6.782e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000032000;1.000e+00;-1.197e+00;6.380e-01;-1.197e+00;6.380e-01;1.223e+00;1.000e+01;-1.162e+00;-6.781e-01;1.276e+00;1.000e+00;1.346e+00;1.000e+00
0.000064000;1.000e+00;-1.196e+00;6.377e-01;-1.196e+00;6.377e-01;1.223e+00;1.000e+01;-1.162e+00;-6.778e-01;1.276e+00;1.000e+00;1.345e+00;1.000e+00
0.000075000;1.000e+00;-1.196e+00;6.375e-01;-1.196e+00;6.375e-01;1.223e+00;1.000e+01;-1.162e+00;-6.777e-01;1.276e+00;1.000e+00;1.345e+00;1.000e+00
0.000076000;1.000e+00;-1.196e+00;6.375e-01;-1.196e+00;6.375e-01;1.223e+00;1.000e+01;-1.162e+00;-6.777e-01;1.276e+00;1.000e+00;1.345e+00;1.000e+00
