;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0;0.000e+00;1.044e+00;-1.250e+00;1.261e-07;-1.197e+00;1.207e-07;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
1;1.000e-06;1.044e+00;-1.250e+00;5.466e-07;-1.197e+00;5.234e-07;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
2;2.000e-06;1.044e+00;-1.250e+00;2.701e-06;-1.197e+00;2.586e-06;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
3;4.000e-06;1.044e+00;-1.250e+00;5.275e-06;-1.197e+00;5.050e-06;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
4;8.000e-06;1.044e+00;-1.250e+00;1.080e-05;-1.197e+00;1.034e-05;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
5;1.600e-05;1.044e+00;-1.250e+00;1.861e-05;-1.197e+00;1.782e-05;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00
6;3.200e-05;1.044e+00;-1.250e+00;3.909e-05;-1.196e+00;3.743e-05;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.196e+00
7;6.400e-05;1.044e+00;-1.249e+00;7.820e-05;-1.196e+00;7.487e-05;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.196e+00
8;1.280e-04;1.044e+00;-1.249e+00;1.534e-04;-1.196e+00;1.469e-04;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.195e+00;-3.352e-02;1.196e+00
9;2.560e-04;1.044e+00;-1.247e+00;2.976e-04;-1.194e+00;2.849e-04;1.045e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.194e+00;-3.352e-02;1.194e+00
10;5.120e-04;1.044e+00;-1.245e+00;5.629e-04;-1.192e+00;5.390e-04;1.044e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.191e+00;-3.352e-02;1.192e+00
11;1.024e-03;1.044e+00;-1.239e+00;1.017e-03;-1.187e+00;9.734e-04;1.044e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.186e+00;-3.351e-02;1.187e+00
12;1.536e-03;1.044e+00;-1.234e+00;1.399e-03;-1.181e+00;1.340e-03;1.044e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.181e+00;-3.350e-02;1.181e+00
