time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.000000000;1.044e+00;-1.250e+00;4.619e-07;-1.197e+00;4.423e-07;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000001000;1.044e+00;-1.250e+00;-3.473e-06;-1.197e+00;-3.326e-06;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000002000;1.044e+00;-1.250e+00;-6.392e-06;-1.197e+00;-6.120e-06;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000004000;1.044e+00;-1.250e+00;-1.207e-05;-1.197e+00;-1.156e-05;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000008000;1.044e+00;-1.250e+00;-2.179e-05;-1.197e+00;-2.086e-05;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000016000;1.044e+00;-1.250e+00;-4.503e-05;-1.197e+00;-4.311e-05;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.197e+00
0.000032000;1.044e+00;-1.250e+00;-9.085e-05;-1.196e+00;-8.698e-05;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.196e+00
0.000064000;1.044e+00;-1.249e+00;-1.774e-04;-1.196e+00;-1.699e-04;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.196e+00;-3.352e-02;1.196e+00
0.000128000;1.044e+00;-1.249e+00;-3.423e-04;-1.196e+00;-3.277e-04;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.195e+00;-3.352e-02;1.196e+00
0.000256000;1.045e+00;-1.247e+00;-6.338e-04;-1.194e+00;-6.068e-04;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.194e+00;-3.352e-02;1.194e+00
0.000512000;1.045e+00;-1.245e+00;-1.090e-03;-1.192e+00;-1.043e-03;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.191e+00;-3.352e-02;1.192e+00
0.000768000;1.045e+00;-1.243e+00;-1.406e-03;-1.189e+00;-1.345e-03;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.189e+00;-3.352e-02;1.189e+00
0.001280000;1.045e+00;-1.238e+00;-1.751e-03;-1.184e+00;-1.675e-03;1.045e+00;1.000e+01;-1.250e+00;1.045e+00;-1.184e+00;-3.352e-02;1.184e+00
