time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu
0.000000000;1.044e+00;6.667e-01;4.331e-08;6.383e-01;1.824e-10;1.044e+00;4.000e-01;-8.155e-09;1.000e+01;6.668e-01;9.960e-03;9.960e-03
29.999994000;1.044e+00;6.667e-01;-1.753e-08;6.383e-01;1.382e-08;1.044e+00;4.000e-01;1.301e-08;1.000e+01;6.668e-01;9.960e-03;9.960e-03
29.999994000;4.201e-05;-5.498e-05;-2.883e-04;-2.816e-08;1.286e-08;4.198e-05;-3.302e-05;-1.730e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.019079000;3.903e-05;-5.999e-05;-2.700e-04;1.242e-08;-1.541e-08;3.900e-05;-3.599e-05;-1.620e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.027783000;3.900e-05;-6.502e-05;-2.683e-04;1.957e-08;-1.802e-08;3.901e-05;-3.898e-05;-1.610e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.149994000;4.764e-05;4.989e-06;-3.341e-04;4.135e-08;-5.588e-06;4.830e-05;3.001e-06;-2.004e-04;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.149994000;1.207e+00;-1.072e+00;-1.146e+00;-8.876e-01;-9.490e-01;1.207e+00;-6.430e-01;-6.875e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.149996000;1.207e+00;-1.072e+00;-1.145e+00;-8.880e-01;-9.486e-01;1.207e+00;-6.432e-01;-6.871e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.151429000;1.095e+00;-1.401e+00;-2.540e-01;-1.279e+00;-2.318e-01;1.095e+00;-8.404e-01;-1.524e-01;1.000e+01;6.668e-01;9.960e-03;9.960e-03
30.151621000;1.065e+00;-1.383e+00;-3.418e-02;-1.299e+00;-3.208e-02;1.065e+00;-8.298e-01;-2.050e-02;1.000e+01;6.668e-01;9.960e-03;9.960e-03
