time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0001600359543728;1.196749562504803;1.1966852064439073;0.6382990160726092;0.6382970512446033;1.016568217855744;9.998275866959812;1.1944710410444745;-0.6797150583052227;1.0608919723249979;0.9998959616291301;1.374309598005157;1.000087320343496
0.0;1.000159401943543;1.1967482190236511;1.1966837950058538;0.6382973806987834;0.6382953964574462;1.0165687190224177;9.998281441501792;1.1944684231888696;-0.6797130582844944;1.0608924351179438;0.9998961647190815;1.3743070049533368;1.000087714786002
1e-06;1.0001587158432694;1.19674023204264;1.1966757360281293;0.6382890812245808;0.6382870759344751;1.0165692571219613;9.998287423208648;1.194460758005167;-0.6797050582619247;1.0608929299247383;0.9998963835660903;1.3742971076035992;1.0000881406108908
2e-06;1.0001579722119045;1.1967322677740841;1.1966676974234693;0.6382791179173727;0.6382770898255656;1.016569831496417;9.998293811354603;1.194450043490157;-0.6796960582375308;1.0608934553103033;0.9998966194519932;1.3742841167916207;1.0000886000157734
4e-06;1.0001571658389456;1.1967143255436261;1.1966496810220595;0.6382574910612675;0.6382554383396651;1.0165694404734056;9.998300602777334;1.194430278728669;-0.679678058211579;1.0608940099984283;0.9998968744277504;1.3742588608115804;1.000089094257741
8e-06;1.0001562917977789;1.1966797389507906;1.1966150224078709;0.6382175342668092;0.6382154550041435;1.0165690820884752;9.99830779679074;1.194392464000545;-0.6796410581844089;1.0608945937066474;0.9998971511715475;1.3742085723327155;1.0000896231937195
1.6e-05;1.0001553455932297;1.1966085100431514;1.1965437239144074;0.638134247748582;0.6381321399736423;1.0165677539993694;9.998315396958956;1.1943156003992046;-0.6795680581564292;1.060895207303066;0.9998974525106562;1.3741065936161978;1.0000901856544873
3.2e-05;1.0001543236507386;1.1964656425981357;1.196400787669074;0.6379709649412802;0.6379688267598727;1.0165644532546;9.998323412087743;1.1941646895677693;-0.6794220581284486;1.060895852392181;0.9998977814154444;1.373904209109286;1.000090779982296
6.4e-05;1.0001532235008261;1.1961794748044408;1.1961145488434695;0.6376460191390021;0.6376438489247828;1.0165571762889947;9.998331856663603;1.1938617339243016;-0.6791310581018805;1.0608965304961506;0.9998981413424082;1.3734980249400497;1.000091403760114
0.000128;1.0001520434869655;1.1956033447462482;1.1955383424274304;0.6370027435267124;0.6370005400039147;1.0165409190033636;9.998340750617333;1.1932577365798156;-0.6785530580784817;1.0608972425906817;0.9998985366023936;1.37268833589263;1.000092053402306
0.000256;1.0001507828520713;1.1944439227028605;1.194378836770396;0.6357478046126858;0.6357455667597812;1.016510677191864;9.998350115184941;1.1920497007476518;-0.6774090580599118;1.0608979891129025;0.9998989721912701;1.3710739019391245;1.0000927242276427
0.000512;1.0001494421463788;1.1920945441530617;1.1920293670913447;0.6333478689523928;0.6333455958140963;1.0164504466867665;9.998359969027227;1.1896356295156543;-0.6751740580474495;1.0608987701071368;0.9998994526952697;1.3678721875114115;1.0000934108942539
0.000768;1.0001480230850637;1.1897118760869922;1.1896466019568739;0.6310829364550762;0.6310806269816597;1.0163932228512422;9.998370331413389;1.1872225261369058;-0.6730090580419174;1.0608995854137018;0.9998999811922014;1.3647063053726336;1.0000941079203058
0.001024;1.0001465277373565;1.1873025834669435;1.1872372093589385;0.6289363403836586;0.6289339933526019;1.016339001216864;9.998381226393418;1.184808393995324;-0.6709110580436818;1.0609004345482733;0.9999005593373903;1.3615729502815812;1.0000948097777456
0.00128;1.000144957331613;1.1848749967192782;1.1848095228722852;0.6268980806971608;0.6268956947368121;1.016287779397546;9.998392679361038;1.1823942357177462;-0.6688790580526323;1.060901316580552;0.9999011883919366;1.358472422726527;1.000095510796182
0.001792;1.0001433116512015;1.179979113170134;1.179913541798472;0.6230898239716998;0.6230873976787544;1.0161905580609403;9.998404710537866;1.177567052638242;-0.6650030580682045;1.0609022302106448;0.9999018698363388;1.352364230316148;1.0000962053527103
