;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0;0.000e+00;1.044e+00;1.250e+00;-8.150e-07;1.197e+00;-7.803e-07;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
1;1.000e-06;1.044e+00;1.250e+00;-5.106e-06;1.197e+00;-4.889e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
2;2.000e-06;1.044e+00;1.250e+00;-9.818e-06;1.197e+00;-9.400e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
3;4.000e-06;1.044e+00;1.250e+00;-1.943e-05;1.197e+00;-1.860e-05;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
4;8.000e-06;1.044e+00;1.250e+00;-3.794e-05;1.197e+00;-3.633e-05;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
5;1.600e-05;1.044e+00;1.250e+00;-7.386e-05;1.197e+00;-7.071e-05;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
6;3.200e-05;1.044e+00;1.250e+00;-1.468e-04;1.196e+00;-1.405e-04;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.212e+00;1.000e+00
7;6.400e-05;1.044e+00;1.249e+00;-2.861e-04;1.196e+00;-2.739e-04;1.059e+00;1.000e+01;1.211e+00;-4.237e-02;1.059e+00;1.000e+00;1.212e+00;1.000e+00
8;1.280e-04;1.044e+00;1.248e+00;-5.518e-04;1.195e+00;-5.283e-04;1.058e+00;1.000e+01;1.210e+00;-4.237e-02;1.059e+00;1.000e+00;1.211e+00;1.000e+00
9;2.560e-04;1.045e+00;1.247e+00;-1.019e-03;1.194e+00;-9.755e-04;1.058e+00;1.000e+01;1.209e+00;-4.238e-02;1.059e+00;1.000e+00;1.210e+00;1.000e+00
10;3.530e-04;1.045e+00;1.246e+00;-1.325e-03;1.192e+00;-1.269e-03;1.058e+00;1.000e+01;1.208e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
11;3.540e-04;1.045e+00;1.245e+00;-1.330e-03;1.192e+00;-1.273e-03;1.058e+00;1.000e+01;1.208e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
12;3.550e-04;1.045e+00;1.245e+00;-1.333e-03;1.192e+00;-1.276e-03;1.058e+00;1.000e+01;1.208e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
13;3.570e-04;1.045e+00;1.245e+00;-1.339e-03;1.192e+00;-1.282e-03;1.058e+00;1.000e+01;1.208e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
14;3.610e-04;1.045e+00;1.245e+00;-1.349e-03;1.192e+00;-1.292e-03;1.058e+00;1.000e+01;1.207e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
15;3.690e-04;1.045e+00;1.245e+00;-1.372e-03;1.192e+00;-1.313e-03;1.058e+00;1.000e+01;1.207e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
16;3.850e-04;1.045e+00;1.245e+00;-1.417e-03;1.192e+00;-1.356e-03;1.058e+00;1.000e+01;1.207e+00;-4.238e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
17;4.170e-04;1.045e+00;1.245e+00;-1.504e-03;1.192e+00;-1.440e-03;1.058e+00;1.000e+01;1.207e+00;-4.239e-02;1.059e+00;1.000e+00;1.208e+00;1.000e+00
18;4.810e-04;1.045e+00;1.244e+00;-1.664e-03;1.191e+00;-1.593e-03;1.058e+00;1.000e+01;1.206e+00;-4.239e-02;1.059e+00;1.000e+00;1.207e+00;1.000e+00
19;6.090e-04;1.045e+00;1.242e+00;-1.943e-03;1.189e+00;-1.859e-03;1.058e+00;1.000e+01;1.204e+00;-4.241e-02;1.059e+00;1.000e+00;1.205e+00;1.000e+00
20;8.650e-04;1.045e+00;1.239e+00;-2.356e-03;1.186e+00;-2.254e-03;1.058e+00;1.000e+01;1.201e+00;-4.244e-02;1.059e+00;1.000e+00;1.202e+00;1.000e+00
21;1.377e-03;1.046e+00;1.234e+00;-2.751e-03;1.180e+00;-2.631e-03;1.059e+00;1.000e+01;1.195e+00;-4.252e-02;1.059e+00;1.000e+00;1.196e+00;1.000e+00
22;1.889e-03;1.046e+00;1.228e+00;-2.735e-03;1.174e+00;-2.614e-03;1.059e+00;1.000e+01;1.189e+00;-4.261e-02;1.059e+00;1.000e+00;1.190e+00;1.000e+00
23;2.401e-03;1.047e+00;1.223e+00;-2.471e-03;1.168e+00;-2.360e-03;1.060e+00;1.000e+01;1.183e+00;-4.270e-02;1.059e+00;1.000e+00;1.184e+00;1.000e+00
24;2.913e-03;1.048e+00;1.218e+00;-2.065e-03;1.162e+00;-1.970e-03;1.061e+00;1.000e+01;1.177e+00;-4.279e-02;1.059e+00;1.000e+00;1.178e+00;1.000e+00
25;3.425e-03;1.049e+00;1.213e+00;-1.590e-03;1.157e+00;-1.516e-03;1.062e+00;1.000e+01;1.172e+00;-4.287e-02;1.059e+00;1.000e+00;1.173e+00;1.000e+00
26;3.830e-03;1.049e+00;1.209e+00;-1.206e-03;1.152e+00;-1.149e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
27;3.831e-03;1.049e+00;1.209e+00;-1.205e-03;1.152e+00;-1.148e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
28;3.832e-03;1.049e+00;1.209e+00;-1.203e-03;1.152e+00;-1.146e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
29;3.834e-03;1.049e+00;1.209e+00;-1.201e-03;1.152e+00;-1.144e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
30;3.838e-03;1.049e+00;1.209e+00;-1.197e-03;1.152e+00;-1.141e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
31;3.846e-03;1.049e+00;1.209e+00;-1.188e-03;1.152e+00;-1.132e-03;1.062e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
32;3.862e-03;1.049e+00;1.209e+00;-1.172e-03;1.152e+00;-1.117e-03;1.063e+00;1.000e+01;1.167e+00;-4.292e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
33;3.894e-03;1.050e+00;1.209e+00;-1.139e-03;1.152e+00;-1.085e-03;1.063e+00;1.000e+01;1.167e+00;-4.293e-02;1.059e+00;1.000e+00;1.168e+00;1.000e+00
34;3.958e-03;1.050e+00;1.208e+00;-1.074e-03;1.151e+00;-1.023e-03;1.063e+00;1.000e+01;1.166e+00;-4.293e-02;1.059e+00;1.000e+00;1.167e+00;1.000e+00
35;4.086e-03;1.050e+00;1.207e+00;-9.455e-04;1.150e+00;-9.006e-04;1.063e+00;1.000e+01;1.165e+00;-4.295e-02;1.059e+00;1.000e+00;1.166e+00;1.000e+00
36;4.342e-03;1.050e+00;1.205e+00;-6.878e-04;1.147e+00;-6.549e-04;1.063e+00;1.000e+01;1.162e+00;-4.298e-02;1.059e+00;1.000e+00;1.163e+00;1.000e+00
37;4.854e-03;1.051e+00;1.200e+00;-1.889e-04;1.142e+00;-1.798e-04;1.064e+00;1.000e+01;1.157e+00;-4.302e-02;1.059e+00;1.000e+00;1.158e+00;1.000e+00
38;5.878e-03;1.052e+00;1.191e+00;7.448e-04;1.132e+00;7.077e-04;1.066e+00;1.000e+01;1.147e+00;-4.307e-02;1.059e+00;1.000e+00;1.148e+00;1.000e+00
39;7.926e-03;1.055e+00;1.174e+00;2.331e-03;1.113e+00;2.209e-03;1.069e+00;1.000e+01;1.128e+00;-4.303e-02;1.059e+00;1.000e+00;1.129e+00;1.000e+00
40;9.835e-03;1.057e+00;1.160e+00;3.488e-03;1.097e+00;3.299e-03;1.071e+00;1.000e+01;1.112e+00;-4.283e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
41;9.836e-03;1.057e+00;1.160e+00;3.486e-03;1.097e+00;3.297e-03;1.071e+00;1.000e+01;1.112e+00;-4.283e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
42;9.837e-03;1.057e+00;1.160e+00;3.484e-03;1.097e+00;3.296e-03;1.071e+00;1.000e+01;1.112e+00;-4.283e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
43;9.839e-03;1.057e+00;1.160e+00;3.485e-03;1.097e+00;3.296e-03;1.071e+00;1.000e+01;1.112e+00;-4.283e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
44;9.843e-03;1.057e+00;1.160e+00;3.487e-03;1.097e+00;3.298e-03;1.071e+00;1.000e+01;1.112e+00;-4.282e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
45;9.851e-03;1.057e+00;1.160e+00;3.493e-03;1.097e+00;3.304e-03;1.071e+00;1.000e+01;1.112e+00;-4.282e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
46;9.867e-03;1.057e+00;1.159e+00;3.502e-03;1.097e+00;3.312e-03;1.071e+00;1.000e+01;1.112e+00;-4.282e-02;1.059e+00;1.000e+00;1.113e+00;1.000e+00
47;9.899e-03;1.057e+00;1.159e+00;3.518e-03;1.096e+00;3.327e-03;1.071e+00;1.000e+01;1.112e+00;-4.282e-02;1.059e+00;1.000e+00;1.112e+00;1.000e+00
48;9.963e-03;1.057e+00;1.159e+00;3.549e-03;1.096e+00;3.357e-03;1.071e+00;1.000e+01;1.111e+00;-4.281e-02;1.059e+00;1.000e+00;1.112e+00;1.000e+00
49;1.009e-02;1.057e+00;1.158e+00;3.611e-03;1.095e+00;3.415e-03;1.071e+00;1.000e+01;1.110e+00;-4.278e-02;1.059e+00;1.000e+00;1.111e+00;1.000e+00
50;1.035e-02;1.058e+00;1.156e+00;3.729e-03;1.093e+00;3.525e-03;1.071e+00;1.000e+01;1.108e+00;-4.273e-02;1.059e+00;1.000e+00;1.109e+00;1.000e+00
