time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;-6.667e-01;3.283e-08;-6.383e-01;-1.500e-08;1.044e+00;-4.000e-01;-1.349e-08;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.382e-01;-9.537e-03
29.999994000;1.044e+00;-6.667e-01;-1.568e-08;-6.383e-01;2.901e-08;1.044e+00;-4.000e-01;3.698e-08;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.382e-01;-9.537e-03
29.999994000;2.141e-01;-1.719e-01;-3.520e-01;-8.027e-01;-1.644e+00;2.141e-01;-1.031e-01;-2.112e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.382e-01;-9.537e-03
30.000010000;2.141e-01;-1.718e-01;-3.520e-01;-8.027e-01;-1.644e+00;2.141e-01;-1.031e-01;-2.112e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.382e-01;-9.537e-03
30.000122000;2.140e-01;-1.718e-01;-3.519e-01;-8.027e-01;-1.644e+00;2.140e-01;-1.031e-01;-2.111e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.382e-01;-9.571e-03
30.000480000;2.138e-01;-1.716e-01;-3.516e-01;-8.028e-01;-1.645e+00;2.138e-01;-1.030e-01;-2.110e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.385e-01;-1.002e-02
30.000596000;2.137e-01;-1.716e-01;-3.516e-01;-8.029e-01;-1.645e+00;2.137e-01;-1.030e-01;-2.109e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.387e-01;-1.028e-02
30.000826000;2.136e-01;-1.716e-01;-3.514e-01;-8.033e-01;-1.645e+00;2.136e-01;-1.030e-01;-2.109e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.391e-01;-1.093e-02
30.001172000;2.135e-01;-1.717e-01;-3.512e-01;-8.041e-01;-1.645e+00;2.135e-01;-1.030e-01;-2.107e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.400e-01;-1.229e-02
30.001393000;2.135e-01;-1.718e-01;-3.511e-01;-8.048e-01;-1.645e+00;2.135e-01;-1.031e-01;-2.107e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.407e-01;-1.350e-02
30.001521000;2.135e-01;-1.720e-01;-3.511e-01;-8.053e-01;-1.644e+00;2.135e-01;-1.032e-01;-2.107e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.412e-01;-1.444e-02
30.001649000;2.136e-01;-1.721e-01;-3.511e-01;-8.059e-01;-1.644e+00;2.136e-01;-1.033e-01;-2.107e-01;1.000e+01;-6.666e-01;9.960e-03;9.960e-03;-6.417e-01;-1.555e-02
