time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.413e-01;1.979e-01
29.999994000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.413e-01;1.979e-01
29.999994000;1.292e-05;5.021e-06;-2.341e-05;2.580e-08;-6.412e-08;1.298e-05;3.039e-06;-1.395e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.413e-01;1.979e-01
30.000058000;1.292e-05;5.007e-06;-2.341e-05;1.157e-08;-7.663e-08;1.299e-05;3.051e-06;-1.393e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.413e-01;1.983e-01
30.000506000;1.292e-05;4.998e-06;-2.341e-05;2.659e-09;-8.590e-08;1.299e-05;3.056e-06;-1.392e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.417e-01;2.007e-01
30.000890000;1.292e-05;4.993e-06;-2.341e-05;-1.491e-09;-9.308e-08;1.300e-05;3.058e-06;-1.391e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.426e-01;2.020e-01
30.001164000;1.295e-05;4.976e-06;-2.339e-05;9.663e-09;-1.171e-07;1.301e-05;3.052e-06;-1.387e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.435e-01;2.022e-01
30.001509000;1.296e-05;4.970e-06;-2.338e-05;1.831e-08;-1.228e-07;1.301e-05;3.049e-06;-1.386e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.450e-01;2.010e-01
30.002200000;1.298e-05;4.960e-06;-2.336e-05;3.478e-08;-1.317e-07;1.301e-05;3.040e-06;-1.384e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.493e-01;1.940e-01
30.002892000;1.300e-05;4.951e-06;-2.333e-05;4.599e-08;-1.393e-07;1.300e-05;3.026e-06;-1.383e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.552e-01;1.814e-01
30.004044000;1.300e-05;4.949e-06;-2.333e-05;5.211e-08;-1.441e-07;1.298e-05;3.002e-06;-1.384e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.691e-01;1.498e-01
30.004504000;1.200e-05;4.953e-06;-2.333e-05;5.181e-08;-1.413e-07;1.199e-05;2.997e-06;-1.385e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.761e-01;1.338e-01
30.006133000;1.198e-05;6.643e-06;-2.169e-05;2.505e-08;-9.309e-08;1.207e-05;4.033e-06;-1.291e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.031e-01;6.460e-02
30.006760000;1.198e-05;6.647e-06;-2.170e-05;1.571e-08;-7.478e-08;1.207e-05;4.031e-06;-1.292e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.090e-01;3.350e-02
30.006991000;1.199e-05;6.649e-06;-2.170e-05;1.108e-08;-6.736e-08;1.207e-05;4.029e-06;-1.293e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.102e-01;2.155e-02
30.007336000;1.199e-05;6.652e-06;-2.170e-05;3.906e-09;-5.648e-08;1.207e-05;4.025e-06;-1.295e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.111e-01;3.122e-03
30.007451000;1.200e-05;6.653e-06;-2.170e-05;1.600e-09;-5.297e-08;1.207e-05;4.024e-06;-1.295e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.111e-01;-3.144e-03
30.008372000;1.202e-05;6.675e-06;-2.169e-05;-1.432e-08;-3.515e-09;1.206e-05;4.025e-06;-1.303e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.102e-01;-5.249e-02
30.011605000;1.100e-05;6.676e-06;-2.000e-05;-5.368e-09;2.623e-08;1.100e-05;4.009e-06;-1.201e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.076e-01;-2.088e-01
30.014139000;1.100e-05;6.676e-06;-1.999e-05;-1.074e-09;2.992e-08;1.099e-05;4.004e-06;-1.198e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.059e-01;-3.149e-01
30.015291000;9.997e-06;6.675e-06;-1.831e-05;7.118e-09;3.383e-08;9.994e-06;4.004e-06;-1.098e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.051e-01;-3.589e-01
30.019438000;1.000e-05;6.649e-06;-1.832e-05;4.655e-08;5.399e-08;9.998e-06;4.030e-06;-1.099e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.028e-01;-4.977e-01
30.022664000;1.002e-05;6.640e-06;-1.831e-05;5.072e-08;7.601e-08;9.999e-06;4.043e-06;-1.099e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.013e-01;-5.874e-01
30.022894000;1.002e-05;6.641e-06;-1.831e-05;4.939e-08;7.634e-08;1.000e-05;4.043e-06;-1.099e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.013e-01;-5.933e-01
30.025429000;1.002e-05;8.321e-06;-1.664e-05;3.865e-08;6.462e-08;1.002e-05;5.036e-06;-1.000e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.002e-01;-6.536e-01
30.025659000;1.002e-05;8.322e-06;-1.664e-05;3.809e-08;6.310e-08;1.002e-05;5.035e-06;-1.001e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-7.002e-01;-6.587e-01
30.027733000;1.001e-05;8.337e-06;-1.664e-05;3.878e-08;5.638e-08;1.004e-05;5.031e-06;-1.004e-05;1.000e+01;-6.665e-01;-2.057e-01;-2.057e-01;-6.994e-01;-7.021e-01
