time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000001000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000002000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000004000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000008000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000016000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000032000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000064000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000128000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000256000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.000512000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.001024000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.002048000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
0.004096000;9.922e-01;6.250e-01;-6.667e-01;6.299e-01;-6.719e-01;9.761e-01;1.000e+00;1.000e+01;6.252e-01;-6.459e-01;-6.459e-01;6.405e-01;6.618e-01;9.210e-01;1.000e+00
