time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.000000000;1.044e+00;1.250e+00;-6.223e-07;1.197e+00;-5.958e-07;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.350e-02;1.197e+00
0.000001000;1.044e+00;1.250e+00;-5.531e-06;1.197e+00;-5.295e-06;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.350e-02;1.197e+00
0.000002000;1.044e+00;1.250e+00;-9.134e-06;1.197e+00;-8.745e-06;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.350e-02;1.197e+00
0.000004000;1.044e+00;1.250e+00;-1.703e-05;1.197e+00;-1.630e-05;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.350e-02;1.197e+00
0.000008000;1.044e+00;1.250e+00;-3.395e-05;1.197e+00;-3.251e-05;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.350e-02;1.197e+00
0.000016000;1.044e+00;1.250e+00;-6.650e-05;1.197e+00;-6.367e-05;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.349e-02;1.197e+00
0.000032000;1.044e+00;1.250e+00;-1.317e-04;1.196e+00;-1.261e-04;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.348e-02;1.196e+00
0.000064000;1.044e+00;1.249e+00;-2.597e-04;1.196e+00;-2.486e-04;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.196e+00;-3.346e-02;1.196e+00
0.000128000;1.044e+00;1.248e+00;-5.033e-04;1.195e+00;-4.819e-04;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.195e+00;-3.342e-02;1.195e+00
0.000256000;1.044e+00;1.247e+00;-9.407e-04;1.194e+00;-9.007e-04;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.193e+00;-3.333e-02;1.194e+00
0.000512000;1.044e+00;1.244e+00;-1.656e-03;1.191e+00;-1.585e-03;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.190e+00;-3.318e-02;1.191e+00
0.001024000;1.044e+00;1.237e+00;-2.614e-03;1.185e+00;-2.503e-03;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.184e+00;-3.289e-02;1.185e+00
0.001536000;1.045e+00;1.232e+00;-3.102e-03;1.179e+00;-2.969e-03;1.045e+00;1.000e+01;1.250e+00;2.101e-02;1.179e+00;-3.265e-02;1.179e+00
