time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.000000000;1.044e+00;1.250e+00;-4.619e-07;1.197e+00;-4.423e-07;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000001000;1.044e+00;1.250e+00;5.116e-06;1.197e+00;4.898e-06;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000002000;1.044e+00;1.250e+00;9.024e-06;1.197e+00;8.640e-06;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000004000;1.044e+00;1.250e+00;1.684e-05;1.197e+00;1.612e-05;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000008000;1.044e+00;1.250e+00;3.448e-05;1.197e+00;3.302e-05;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000016000;1.044e+00;1.250e+00;6.726e-05;1.197e+00;6.440e-05;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.197e+00
0.000032000;1.044e+00;1.250e+00;1.316e-04;1.196e+00;1.260e-04;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.196e+00
0.000064000;1.044e+00;1.249e+00;2.610e-04;1.196e+00;2.499e-04;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.196e+00;-3.350e-02;1.196e+00
0.000128000;1.044e+00;1.248e+00;5.063e-04;1.195e+00;4.848e-04;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.195e+00;-3.350e-02;1.195e+00
0.000256000;1.045e+00;1.247e+00;9.578e-04;1.194e+00;9.170e-04;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.193e+00;-3.350e-02;1.194e+00
0.000512000;1.045e+00;1.244e+00;1.729e-03;1.191e+00;1.655e-03;1.045e+00;1.000e+01;1.250e+00;1.045e+00;1.190e+00;-3.350e-02;1.191e+00
0.000768000;1.045e+00;1.241e+00;2.349e-03;1.188e+00;2.248e-03;1.046e+00;1.000e+01;1.250e+00;1.045e+00;1.187e+00;-3.350e-02;1.188e+00
0.001280000;1.045e+00;1.235e+00;3.290e-03;1.182e+00;3.148e-03;1.046e+00;1.000e+01;1.250e+00;1.045e+00;1.181e+00;-3.350e-02;1.182e+00
0.001741000;1.046e+00;1.230e+00;3.874e-03;1.177e+00;3.705e-03;1.046e+00;1.000e+01;1.250e+00;1.045e+00;1.176e+00;-3.350e-02;1.177e+00
0.002202000;1.046e+00;1.226e+00;4.301e-03;1.172e+00;4.112e-03;1.047e+00;1.000e+01;1.250e+00;1.045e+00;1.171e+00;-3.350e-02;1.172e+00
0.002662000;1.046e+00;1.221e+00;4.632e-03;1.167e+00;4.427e-03;1.047e+00;1.000e+01;1.250e+00;1.045e+00;1.166e+00;-3.349e-02;1.167e+00
0.003123000;1.047e+00;1.217e+00;4.901e-03;1.162e+00;4.681e-03;1.048e+00;1.000e+01;1.250e+00;1.045e+00;1.162e+00;-3.349e-02;1.162e+00
0.003584000;1.047e+00;1.212e+00;5.129e-03;1.157e+00;4.898e-03;1.048e+00;1.000e+01;1.250e+00;1.045e+00;1.157e+00;-3.348e-02;1.157e+00
0.004045000;1.048e+00;1.208e+00;5.328e-03;1.153e+00;5.086e-03;1.049e+00;1.000e+01;1.250e+00;1.045e+00;1.152e+00;-3.347e-02;1.153e+00
0.004506000;1.048e+00;1.204e+00;5.513e-03;1.148e+00;5.260e-03;1.049e+00;1.000e+01;1.250e+00;1.045e+00;1.148e+00;-3.345e-02;1.148e+00
0.005427000;1.049e+00;1.196e+00;5.842e-03;1.140e+00;5.570e-03;1.050e+00;1.000e+01;1.250e+00;1.045e+00;1.139e+00;-3.342e-02;1.140e+00
0.006257000;1.050e+00;1.189e+00;6.104e-03;1.132e+00;5.815e-03;1.050e+00;1.000e+01;1.250e+00;1.045e+00;1.132e+00;-3.338e-02;1.132e+00
0.007086000;1.050e+00;1.182e+00;6.340e-03;1.125e+00;6.036e-03;1.051e+00;1.000e+01;1.250e+00;1.045e+00;1.125e+00;-3.332e-02;1.125e+00
0.007916000;1.051e+00;1.175e+00;6.549e-03;1.118e+00;6.231e-03;1.052e+00;1.000e+01;1.250e+00;1.045e+00;1.118e+00;-3.325e-02;1.118e+00
0.008745000;1.052e+00;1.169e+00;6.732e-03;1.112e+00;6.402e-03;1.052e+00;1.000e+01;1.250e+00;1.045e+00;1.111e+00;-3.318e-02;1.112e+00
0.009574000;1.052e+00;1.163e+00;6.894e-03;1.105e+00;6.552e-03;1.053e+00;1.000e+01;1.250e+00;1.045e+00;1.105e+00;-3.308e-02;1.105e+00
0.010404000;1.053e+00;1.157e+00;7.031e-03;1.099e+00;6.679e-03;1.054e+00;1.000e+01;1.250e+00;1.045e+00;1.099e+00;-3.298e-02;1.099e+00
0.011233000;1.053e+00;1.151e+00;7.144e-03;1.093e+00;6.783e-03;1.054e+00;1.000e+01;1.250e+00;1.045e+00;1.093e+00;-3.286e-02;1.093e+00
0.012063000;1.054e+00;1.146e+00;7.235e-03;1.088e+00;6.866e-03;1.055e+00;1.000e+01;1.250e+00;1.045e+00;1.087e+00;-3.273e-02;1.088e+00
0.012892000;1.054e+00;1.141e+00;7.303e-03;1.082e+00;6.927e-03;1.055e+00;1.000e+01;1.250e+00;1.045e+00;1.082e+00;-3.259e-02;1.082e+00
0.013453000;1.055e+00;1.137e+00;7.338e-03;1.079e+00;6.958e-03;1.055e+00;1.000e+01;1.250e+00;1.045e+00;1.078e+00;-3.248e-02;1.079e+00
0.013454000;1.055e+00;1.137e+00;7.339e-03;1.079e+00;6.958e-03;1.055e+00;1.000e+01;1.250e+00;1.045e+00;1.078e+00;-3.248e-02;1.079e+00
