time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.000000000;1.044e+00;-1.250e+00;6.223e-07;-1.197e+00;5.958e-07;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.352e-02;1.197e+00
0.000001000;1.044e+00;-1.250e+00;3.343e-06;-1.197e+00;3.200e-06;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.352e-02;1.197e+00
0.000002000;1.044e+00;-1.250e+00;5.286e-06;-1.197e+00;5.061e-06;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.352e-02;1.197e+00
0.000004000;1.044e+00;-1.250e+00;1.047e-05;-1.197e+00;1.002e-05;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.352e-02;1.197e+00
0.000008000;1.044e+00;-1.250e+00;2.171e-05;-1.197e+00;2.079e-05;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.352e-02;1.197e+00
0.000016000;1.044e+00;-1.250e+00;4.446e-05;-1.197e+00;4.257e-05;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.351e-02;1.197e+00
0.000032000;1.044e+00;-1.250e+00;8.699e-05;-1.196e+00;8.329e-05;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.350e-02;1.196e+00
0.000064000;1.044e+00;-1.249e+00;1.714e-04;-1.196e+00;1.641e-04;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.196e+00;-3.348e-02;1.196e+00
0.000128000;1.044e+00;-1.249e+00;3.329e-04;-1.196e+00;3.187e-04;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.195e+00;-3.343e-02;1.196e+00
0.000256000;1.044e+00;-1.247e+00;6.237e-04;-1.194e+00;5.972e-04;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.194e+00;-3.334e-02;1.194e+00
0.000512000;1.044e+00;-1.245e+00;1.101e-03;-1.192e+00;1.054e-03;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.191e+00;-3.316e-02;1.192e+00
0.001024000;1.045e+00;-1.239e+00;1.758e-03;-1.187e+00;1.683e-03;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.186e+00;-3.279e-02;1.187e+00
0.001536000;1.045e+00;-1.234e+00;2.123e-03;-1.181e+00;2.032e-03;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.181e+00;-3.242e-02;1.181e+00
0.002048000;1.045e+00;-1.229e+00;2.306e-03;-1.176e+00;2.206e-03;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.176e+00;-3.207e-02;1.176e+00
0.002560000;1.045e+00;-1.224e+00;2.383e-03;-1.171e+00;2.280e-03;1.045e+00;1.000e+01;-1.250e+00;2.101e-02;-1.171e+00;-3.172e-02;1.171e+00
0.003072000;1.046e+00;-1.219e+00;2.406e-03;-1.166e+00;2.302e-03;1.046e+00;1.000e+01;-1.250e+00;2.101e-02;-1.166e+00;-3.139e-02;1.166e+00
0.004096000;1.046e+00;-1.209e+00;2.400e-03;-1.156e+00;2.295e-03;1.046e+00;1.000e+01;-1.250e+00;2.101e-02;-1.155e+00;-3.077e-02;1.156e+00
0.005120000;1.047e+00;-1.199e+00;2.375e-03;-1.146e+00;2.269e-03;1.047e+00;1.000e+01;-1.250e+00;2.101e-02;-1.145e+00;-3.020e-02;1.146e+00
0.006144000;1.047e+00;-1.189e+00;2.370e-03;-1.135e+00;2.263e-03;1.047e+00;1.000e+01;-1.250e+00;2.101e-02;-1.135e+00;-2.967e-02;1.135e+00
