time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;6.667e-01;6.667e-02;6.383e-01;6.383e-02;1.044e+00;4.000e-01;4.000e-02;1.000e+01;6.531e-01;-8.179e-02;1.072e+00;5.000e+01;5.000e+01
20.000508000;1.044e+00;6.667e-01;6.667e-02;6.383e-01;6.383e-02;1.044e+00;4.000e-01;4.000e-02;1.000e+01;6.531e-01;-8.179e-02;1.072e+00;5.000e+01;5.000e+01
20.001020000;1.044e+00;6.667e-01;6.667e-02;6.383e-01;6.383e-02;1.044e+00;4.000e-01;4.000e-02;1.000e+01;6.531e-01;-8.178e-02;1.072e+00;5.000e+01;5.000e+01
20.002020000;1.044e+00;6.667e-01;6.666e-02;6.383e-01;6.382e-02;1.044e+00;4.000e-01;4.000e-02;1.000e+01;6.531e-01;-8.178e-02;1.072e+00;5.000e+01;5.000e+01
20.007020000;1.044e+00;6.667e-01;6.658e-02;6.383e-01;6.375e-02;1.044e+00;4.000e-01;3.995e-02;1.000e+01;6.531e-01;-8.171e-02;1.072e+00;5.000e+01;5.000e+01
20.008020000;1.044e+00;6.666e-01;6.656e-02;6.383e-01;6.373e-02;1.044e+00;4.000e-01;3.994e-02;1.000e+01;6.531e-01;-8.169e-02;1.072e+00;5.000e+01;5.000e+01
20.011020000;1.044e+00;6.666e-01;6.648e-02;6.383e-01;6.366e-02;1.044e+00;4.000e-01;3.989e-02;1.000e+01;6.531e-01;-8.161e-02;1.072e+00;5.000e+01;5.000e+01
20.012020000;1.044e+00;6.666e-01;6.645e-02;6.383e-01;6.363e-02;1.044e+00;4.000e-01;3.987e-02;1.000e+01;6.531e-01;-8.159e-02;1.072e+00;5.000e+01;5.000e+01
20.015020000;1.044e+00;6.666e-01;6.636e-02;6.383e-01;6.354e-02;1.044e+00;4.000e-01;3.982e-02;1.000e+01;6.531e-01;-8.150e-02;1.072e+00;5.000e+01;5.000e+01
20.018020000;1.044e+00;6.666e-01;6.626e-02;6.383e-01;6.344e-02;1.044e+00;4.000e-01;3.975e-02;1.000e+01;6.531e-01;-8.140e-02;1.072e+00;5.000e+01;5.000e+01
20.019020000;1.044e+00;6.666e-01;6.622e-02;6.383e-01;6.341e-02;1.044e+00;4.000e-01;3.973e-02;1.000e+01;6.531e-01;-8.137e-02;1.072e+00;5.000e+01;5.000e+01
20.020020000;1.044e+00;6.666e-01;6.619e-02;6.383e-01;6.338e-02;1.044e+00;3.999e-01;3.971e-02;1.000e+01;6.531e-01;-8.134e-02;1.072e+00;5.000e+01;5.000e+01
20.024020000;1.044e+00;6.666e-01;6.604e-02;6.383e-01;6.324e-02;1.044e+00;3.999e-01;3.962e-02;1.000e+01;6.531e-01;-8.120e-02;1.072e+00;5.000e+01;5.000e+01
20.025020000;1.044e+00;6.665e-01;6.600e-02;6.383e-01;6.320e-02;1.044e+00;3.999e-01;3.960e-02;1.000e+01;6.531e-01;-8.116e-02;1.072e+00;5.000e+01;5.000e+01
20.032020000;1.044e+00;6.665e-01;6.572e-02;6.383e-01;6.294e-02;1.044e+00;3.999e-01;3.943e-02;1.000e+01;6.531e-01;-8.091e-02;1.072e+00;5.000e+01;5.000e+01
20.036020000;1.044e+00;6.665e-01;6.556e-02;6.383e-01;6.279e-02;1.044e+00;3.999e-01;3.934e-02;1.000e+01;6.531e-01;-8.075e-02;1.072e+00;5.000e+01;5.000e+01
20.037020000;1.044e+00;6.665e-01;6.552e-02;6.383e-01;6.275e-02;1.044e+00;3.999e-01;3.931e-02;1.000e+01;6.532e-01;-8.071e-02;1.072e+00;5.000e+01;5.000e+01
20.038020000;1.044e+00;6.665e-01;6.548e-02;6.384e-01;6.272e-02;1.044e+00;3.999e-01;3.929e-02;1.000e+01;6.532e-01;-8.068e-02;1.072e+00;5.000e+01;5.000e+01
