time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent
0.000000000;1.044e+00;1.250e+00;-4.619e-07;1.197e+00;-4.423e-07;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000001000;1.044e+00;1.250e+00;5.116e-06;1.197e+00;4.898e-06;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000002000;1.044e+00;1.250e+00;9.024e-06;1.197e+00;8.640e-06;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000004000;1.044e+00;1.250e+00;1.684e-05;1.197e+00;1.612e-05;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000008000;1.044e+00;1.250e+00;3.448e-05;1.197e+00;3.302e-05;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000016000;1.044e+00;1.250e+00;6.726e-05;1.197e+00;6.440e-05;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.197e+00
0.000032000;1.044e+00;1.250e+00;1.316e-04;1.196e+00;1.260e-04;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.196e+00
0.000064000;1.044e+00;1.249e+00;2.593e-04;1.196e+00;2.483e-04;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.196e+00;-3.350e-02;1.196e+00
0.000128000;1.044e+00;1.248e+00;5.039e-04;1.195e+00;4.824e-04;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.195e+00;-3.350e-02;1.195e+00
0.000256000;1.045e+00;1.247e+00;9.527e-04;1.194e+00;9.121e-04;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.193e+00;-3.350e-02;1.194e+00
0.000512000;1.045e+00;1.244e+00;1.710e-03;1.191e+00;1.637e-03;1.045e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.190e+00;-3.348e-02;1.191e+00
0.001024000;1.045e+00;1.238e+00;2.820e-03;1.185e+00;2.698e-03;1.046e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.184e+00;-3.344e-02;1.185e+00
0.001536000;1.045e+00;1.233e+00;3.533e-03;1.179e+00;3.379e-03;1.046e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.179e+00;-3.339e-02;1.179e+00
0.002048000;1.046e+00;1.227e+00;4.005e-03;1.173e+00;3.829e-03;1.047e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.173e+00;-3.332e-02;1.173e+00
0.002560000;1.046e+00;1.222e+00;4.330e-03;1.168e+00;4.138e-03;1.047e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.168e+00;-3.326e-02;1.168e+00
0.003072000;1.047e+00;1.217e+00;4.572e-03;1.163e+00;4.367e-03;1.048e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.162e+00;-3.319e-02;1.163e+00
0.004096000;1.048e+00;1.208e+00;4.947e-03;1.152e+00;4.721e-03;1.049e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.152e+00;-3.306e-02;1.152e+00
0.005120000;1.049e+00;1.198e+00;5.234e-03;1.143e+00;4.990e-03;1.050e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.142e+00;-3.293e-02;1.143e+00
0.007168000;1.051e+00;1.181e+00;5.713e-03;1.124e+00;5.438e-03;1.051e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.124e+00;-3.267e-02;1.124e+00
0.009216000;1.052e+00;1.166e+00;6.090e-03;1.108e+00;5.788e-03;1.053e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.107e+00;-3.241e-02;1.108e+00
0.011264000;1.053e+00;1.151e+00;6.383e-03;1.093e+00;6.059e-03;1.054e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.092e+00;-3.212e-02;1.093e+00
0.013312000;1.055e+00;1.138e+00;6.595e-03;1.079e+00;6.253e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013329000;1.055e+00;1.138e+00;6.597e-03;1.079e+00;6.254e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013330000;1.055e+00;1.138e+00;6.601e-03;1.079e+00;6.258e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013331000;1.055e+00;1.138e+00;6.600e-03;1.079e+00;6.258e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013333000;1.055e+00;1.138e+00;6.600e-03;1.079e+00;6.257e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013337000;1.055e+00;1.138e+00;6.600e-03;1.079e+00;6.257e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013345000;1.055e+00;1.138e+00;6.600e-03;1.079e+00;6.258e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.079e+00;-3.180e-02;1.079e+00
0.013361000;1.055e+00;1.138e+00;6.603e-03;1.079e+00;6.260e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.078e+00;-3.179e-02;1.079e+00
0.013393000;1.055e+00;1.138e+00;6.605e-03;1.079e+00;6.262e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.078e+00;-3.179e-02;1.079e+00
0.013457000;1.055e+00;1.137e+00;6.609e-03;1.078e+00;6.266e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.078e+00;-3.178e-02;1.078e+00
0.013585000;1.055e+00;1.137e+00;6.618e-03;1.078e+00;6.274e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.077e+00;-3.176e-02;1.078e+00
0.013841000;1.055e+00;1.135e+00;6.633e-03;1.076e+00;6.286e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.075e+00;-3.171e-02;1.076e+00
0.014353000;1.055e+00;1.132e+00;6.647e-03;1.073e+00;6.298e-03;1.056e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.072e+00;-3.160e-02;1.073e+00
0.015377000;1.056e+00;1.126e+00;6.618e-03;1.067e+00;6.267e-03;1.057e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.066e+00;-3.135e-02;1.067e+00
0.017425000;1.057e+00;1.116e+00;6.369e-03;1.056e+00;6.025e-03;1.058e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.055e+00;-3.068e-02;1.056e+00
0.019473000;1.058e+00;1.106e+00;5.893e-03;1.045e+00;5.569e-03;1.059e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.045e+00;-2.985e-02;1.045e+00
0.021521000;1.059e+00;1.097e+00;5.226e-03;1.036e+00;4.934e-03;1.060e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.035e+00;-2.886e-02;1.036e+00
0.023569000;1.060e+00;1.089e+00;4.409e-03;1.027e+00;4.158e-03;1.061e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.027e+00;-2.777e-02;1.027e+00
0.025617000;1.061e+00;1.082e+00;3.468e-03;1.019e+00;3.268e-03;1.062e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.019e+00;-2.658e-02;1.019e+00
0.027665000;1.062e+00;1.075e+00;2.434e-03;1.012e+00;2.292e-03;1.063e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.012e+00;-2.534e-02;1.012e+00
0.029713000;1.063e+00;1.069e+00;1.331e-03;1.006e+00;1.252e-03;1.064e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;1.005e+00;-2.405e-02;1.006e+00
0.031761000;1.064e+00;1.063e+00;1.761e-04;9.996e-01;1.656e-04;1.064e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.994e-01;-2.274e-02;9.996e-01
0.033809000;1.065e+00;1.058e+00;-1.011e-03;9.941e-01;-9.497e-04;1.065e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.939e-01;-2.142e-02;9.941e-01
0.035857000;1.065e+00;1.054e+00;-2.216e-03;9.891e-01;-2.080e-03;1.066e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.889e-01;-2.010e-02;9.891e-01
0.037905000;1.066e+00;1.050e+00;-3.427e-03;9.844e-01;-3.214e-03;1.067e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.843e-01;-1.879e-02;9.844e-01
0.039953000;1.067e+00;1.046e+00;-4.634e-03;9.802e-01;-4.344e-03;1.067e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.800e-01;-1.750e-02;9.802e-01
0.042001000;1.067e+00;1.042e+00;-5.827e-03;9.762e-01;-5.458e-03;1.068e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.761e-01;-1.623e-02;9.763e-01
0.044049000;1.068e+00;1.039e+00;-7.000e-03;9.726e-01;-6.554e-03;1.068e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.725e-01;-1.500e-02;9.727e-01
0.046097000;1.069e+00;1.036e+00;-8.148e-03;9.693e-01;-7.625e-03;1.069e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.692e-01;-1.380e-02;9.693e-01
0.050193000;1.070e+00;1.031e+00;-1.034e-02;9.634e-01;-9.670e-03;1.070e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.634e-01;-1.153e-02;9.635e-01
0.054289000;1.071e+00;1.026e+00;-1.240e-02;9.584e-01;-1.158e-02;1.071e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.584e-01;-9.420e-03;9.585e-01
0.058385000;1.072e+00;1.022e+00;-1.431e-02;9.541e-01;-1.335e-02;1.072e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.542e-01;-7.487e-03;9.542e-01
0.062481000;1.072e+00;1.019e+00;-1.605e-02;9.505e-01;-1.497e-02;1.072e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.506e-01;-5.727e-03;9.506e-01
0.067807000;1.073e+00;1.016e+00;-1.807e-02;9.465e-01;-1.684e-02;1.073e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.466e-01;-3.691e-03;9.466e-01
0.073133000;1.074e+00;1.013e+00;-1.984e-02;9.432e-01;-1.848e-02;1.074e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.434e-01;-1.924e-03;9.434e-01
0.078459000;1.074e+00;1.011e+00;-2.136e-02;9.406e-01;-1.988e-02;1.074e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.408e-01;-4.050e-04;9.408e-01
0.083252000;1.075e+00;1.009e+00;-2.255e-02;9.386e-01;-2.098e-02;1.075e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.388e-01;7.700e-04;9.388e-01
0.087566000;1.075e+00;1.008e+00;-2.347e-02;9.371e-01;-2.183e-02;1.075e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.373e-01;1.686e-03;9.373e-01
0.091880000;1.076e+00;1.006e+00;-2.427e-02;9.358e-01;-2.257e-02;1.075e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.360e-01;2.482e-03;9.360e-01
0.096194000;1.076e+00;1.005e+00;-2.497e-02;9.347e-01;-2.321e-02;1.076e+00;1.000e+01;1.250e+00;3.502e-02;3.502e-02;9.349e-01;3.170e-03;9.349e-01
