time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;1.249e+00;9.145e-05;1.197e+00;8.762e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000001000;1.044e+00;1.249e+00;9.249e-05;1.197e+00;8.862e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000002000;1.044e+00;1.249e+00;9.060e-05;1.197e+00;8.680e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000004000;1.044e+00;1.249e+00;8.983e-05;1.197e+00;8.607e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000008000;1.044e+00;1.249e+00;9.005e-05;1.197e+00;8.628e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000016000;1.044e+00;1.249e+00;8.398e-05;1.197e+00;8.046e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.213e+00;1.000e+00
0.000032000;1.044e+00;1.249e+00;7.935e-05;1.196e+00;7.603e-05;1.058e+00;1.000e+01;1.212e+00;-4.237e-02;1.059e+00;1.000e+00;1.212e+00;1.000e+00
0.000064000;1.044e+00;1.248e+00;6.797e-05;1.196e+00;6.512e-05;1.058e+00;1.000e+01;1.211e+00;-4.237e-02;1.059e+00;1.000e+00;1.212e+00;1.000e+00
0.000128000;1.044e+00;1.247e+00;4.708e-05;1.195e+00;4.511e-05;1.058e+00;1.000e+01;1.210e+00;-4.237e-02;1.059e+00;1.000e+00;1.211e+00;1.000e+00
0.000256000;1.044e+00;1.246e+00;2.206e-05;1.194e+00;2.114e-05;1.058e+00;1.000e+01;1.209e+00;-4.237e-02;1.059e+00;1.000e+00;1.210e+00;1.000e+00
0.000512000;1.044e+00;1.242e+00;1.244e-05;1.190e+00;1.192e-05;1.058e+00;1.000e+01;1.206e+00;-4.237e-02;1.059e+00;1.000e+00;1.206e+00;1.000e+00
0.001024000;1.044e+00;1.236e+00;1.159e-04;1.184e+00;1.111e-04;1.058e+00;1.000e+01;1.199e+00;-4.239e-02;1.059e+00;1.000e+00;1.200e+00;1.000e+00
0.001536000;1.044e+00;1.229e+00;3.417e-04;1.178e+00;3.274e-04;1.058e+00;1.000e+01;1.193e+00;-4.240e-02;1.059e+00;1.000e+00;1.194e+00;1.000e+00
