time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.049267000;1.045e+00;7.451e-01;6.971e-05;7.132e-01;6.672e-05;1.052e+00;1.000e+01;7.289e-01;-2.052e-02;1.051e+00;1.000e+00;7.292e-01;1.000e+00
0.049523000;1.045e+00;7.451e-01;6.960e-05;7.131e-01;6.661e-05;1.052e+00;1.000e+01;7.288e-01;-2.052e-02;1.051e+00;1.000e+00;7.291e-01;1.000e+00
0.050035000;1.045e+00;7.450e-01;7.162e-05;7.130e-01;6.854e-05;1.052e+00;1.000e+01;7.287e-01;-2.052e-02;1.051e+00;1.000e+00;7.290e-01;1.000e+00
0.051059000;1.045e+00;7.447e-01;7.647e-05;7.127e-01;7.318e-05;1.052e+00;1.000e+01;7.285e-01;-2.051e-02;1.051e+00;1.000e+00;7.287e-01;1.000e+00
0.053107000;1.045e+00;7.442e-01;8.088e-05;7.123e-01;7.741e-05;1.052e+00;1.000e+01;7.280e-01;-2.050e-02;1.051e+00;1.000e+00;7.283e-01;1.000e+00
0.057203000;1.045e+00;7.432e-01;9.134e-05;7.112e-01;8.741e-05;1.052e+00;1.000e+01;7.269e-01;-2.048e-02;1.051e+00;1.000e+00;7.272e-01;1.000e+00
0.065395000;1.045e+00;7.409e-01;1.130e-04;7.089e-01;1.081e-04;1.052e+00;1.000e+01;7.246e-01;-2.043e-02;1.051e+00;1.000e+00;7.249e-01;1.000e+00
0.075395000;1.045e+00;7.377e-01;1.346e-04;7.057e-01;1.288e-04;1.052e+00;1.000e+01;7.214e-01;-2.034e-02;1.051e+00;1.000e+00;7.217e-01;1.000e+00
0.085395000;1.046e+00;7.341e-01;1.534e-04;7.021e-01;1.467e-04;1.053e+00;1.000e+01;7.178e-01;-2.024e-02;1.051e+00;1.000e+00;7.181e-01;1.000e+00
0.095395000;1.046e+00;7.302e-01;1.677e-04;6.981e-01;1.603e-04;1.053e+00;1.000e+01;7.139e-01;-2.012e-02;1.051e+00;1.000e+00;7.141e-01;1.000e+00
0.105395000;1.046e+00;7.260e-01;1.791e-04;6.939e-01;1.712e-04;1.053e+00;1.000e+01;7.096e-01;-1.999e-02;1.051e+00;1.000e+00;7.099e-01;1.000e+00
0.115395000;1.047e+00;7.215e-01;1.871e-04;6.894e-01;1.787e-04;1.053e+00;1.000e+01;7.051e-01;-1.985e-02;1.051e+00;1.000e+00;7.054e-01;1.000e+00
0.125395000;1.047e+00;7.168e-01;1.913e-04;6.846e-01;1.827e-04;1.054e+00;1.000e+01;7.004e-01;-1.969e-02;1.051e+00;1.000e+00;7.006e-01;1.000e+00
0.135395000;1.047e+00;7.118e-01;1.920e-04;6.797e-01;1.833e-04;1.054e+00;1.000e+01;6.954e-01;-1.953e-02;1.051e+00;1.000e+00;6.957e-01;1.000e+00
0.145395000;1.048e+00;7.067e-01;1.886e-04;6.746e-01;1.800e-04;1.054e+00;1.000e+01;6.903e-01;-1.935e-02;1.051e+00;1.000e+00;6.906e-01;1.000e+00
0.155395000;1.048e+00;7.014e-01;1.828e-04;6.693e-01;1.745e-04;1.054e+00;1.000e+01;6.850e-01;-1.917e-02;1.051e+00;1.000e+00;6.853e-01;1.000e+00
