;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0;0.000e+00;1.044e+00;1.250e+00;3.393e-07;1.197e+00;3.249e-07;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
1;1.000e-06;1.044e+00;1.250e+00;-1.690e-06;1.197e+00;-1.618e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
2;2.000e-06;1.044e+00;1.250e+00;-2.016e-06;1.197e+00;-1.930e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
3;4.000e-06;1.044e+00;1.250e+00;-1.364e-06;1.197e+00;-1.306e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
4;8.000e-06;1.044e+00;1.250e+00;-4.838e-06;1.197e+00;-4.633e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
5;1.600e-05;1.044e+00;1.250e+00;-7.009e-06;1.197e+00;-6.711e-06;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.213e+00;1.000e+00
6;3.200e-05;1.044e+00;1.250e+00;-1.562e-05;1.196e+00;-1.496e-05;1.059e+00;1.000e+01;1.212e+00;-4.237e-02;1.037e+00;1.000e+00;1.212e+00;1.000e+00
7;6.400e-05;1.044e+00;1.249e+00;-2.671e-05;1.196e+00;-2.557e-05;1.059e+00;1.000e+01;1.211e+00;-4.237e-02;1.037e+00;1.000e+00;1.212e+00;1.000e+00
8;1.280e-04;1.044e+00;1.248e+00;-5.058e-05;1.195e+00;-4.842e-05;1.059e+00;1.000e+01;1.210e+00;-4.237e-02;1.037e+00;1.000e+00;1.211e+00;1.000e+00
9;2.560e-04;1.044e+00;1.247e+00;-8.025e-05;1.194e+00;-7.683e-05;1.059e+00;1.000e+01;1.209e+00;-4.237e-02;1.037e+00;1.000e+00;1.210e+00;1.000e+00
10;5.120e-04;1.044e+00;1.243e+00;-9.782e-05;1.190e+00;-9.366e-05;1.059e+00;1.000e+01;1.206e+00;-4.237e-02;1.037e+00;1.000e+00;1.206e+00;1.000e+00
11;1.024e-03;1.044e+00;1.237e+00;5.270e-07;1.184e+00;5.045e-07;1.058e+00;1.000e+01;1.199e+00;-4.239e-02;1.037e+00;1.000e+00;1.200e+00;1.000e+00
12;1.536e-03;1.045e+00;1.230e+00;2.203e-04;1.178e+00;2.109e-04;1.058e+00;1.000e+01;1.193e+00;-4.241e-02;1.037e+00;1.000e+00;1.194e+00;1.000e+00
13;2.048e-03;1.045e+00;1.224e+00;5.136e-04;1.172e+00;4.917e-04;1.058e+00;1.000e+01;1.187e+00;-4.243e-02;1.037e+00;1.000e+00;1.188e+00;1.000e+00
14;2.560e-03;1.045e+00;1.218e+00;8.466e-04;1.166e+00;8.104e-04;1.059e+00;1.000e+01;1.181e+00;-4.245e-02;1.037e+00;1.000e+00;1.182e+00;1.000e+00
15;3.072e-03;1.045e+00;1.212e+00;1.197e-03;1.160e+00;1.146e-03;1.059e+00;1.000e+01;1.176e+00;-4.247e-02;1.037e+00;1.000e+00;1.176e+00;1.000e+00
16;4.096e-03;1.045e+00;1.201e+00;1.893e-03;1.150e+00;1.812e-03;1.059e+00;1.000e+01;1.165e+00;-4.250e-02;1.037e+00;1.000e+00;1.166e+00;1.000e+00
17;5.120e-03;1.045e+00;1.190e+00;2.569e-03;1.139e+00;2.459e-03;1.059e+00;1.000e+01;1.154e+00;-4.253e-02;1.037e+00;1.000e+00;1.155e+00;1.000e+00
18;7.168e-03;1.045e+00;1.170e+00;3.803e-03;1.120e+00;3.640e-03;1.059e+00;1.000e+01;1.135e+00;-4.256e-02;1.037e+00;1.000e+00;1.136e+00;1.000e+00
19;9.216e-03;1.045e+00;1.152e+00;4.882e-03;1.102e+00;4.672e-03;1.059e+00;1.000e+01;1.118e+00;-4.256e-02;1.037e+00;1.000e+00;1.118e+00;1.000e+00
20;1.126e-02;1.045e+00;1.136e+00;5.818e-03;1.087e+00;5.567e-03;1.059e+00;1.000e+01;1.102e+00;-4.254e-02;1.037e+00;1.000e+00;1.103e+00;1.000e+00
21;1.331e-02;1.045e+00;1.121e+00;6.627e-03;1.072e+00;6.341e-03;1.059e+00;1.000e+01;1.088e+00;-4.251e-02;1.037e+00;1.000e+00;1.088e+00;1.000e+00
22;1.536e-02;1.045e+00;1.108e+00;7.333e-03;1.060e+00;7.015e-03;1.059e+00;1.000e+01;1.075e+00;-4.246e-02;1.037e+00;1.000e+00;1.076e+00;1.000e+00
23;1.741e-02;1.045e+00;1.095e+00;7.943e-03;1.048e+00;7.599e-03;1.060e+00;1.000e+01;1.063e+00;-4.240e-02;1.037e+00;1.000e+00;1.064e+00;1.000e+00
24;1.946e-02;1.045e+00;1.085e+00;8.473e-03;1.037e+00;8.105e-03;1.060e+00;1.000e+01;1.053e+00;-4.234e-02;1.037e+00;1.000e+00;1.054e+00;1.000e+00
25;2.355e-02;1.045e+00;1.066e+00;9.345e-03;1.019e+00;8.939e-03;1.060e+00;1.000e+01;1.035e+00;-4.220e-02;1.037e+00;1.000e+00;1.035e+00;1.000e+00
26;2.765e-02;1.046e+00;1.050e+00;1.001e-02;1.005e+00;9.577e-03;1.060e+00;1.000e+01;1.020e+00;-4.205e-02;1.037e+00;1.000e+00;1.021e+00;1.000e+00
27;3.174e-02;1.046e+00;1.038e+00;1.052e-02;9.926e-01;1.006e-02;1.060e+00;1.000e+01;1.008e+00;-4.190e-02;1.037e+00;1.000e+00;1.009e+00;1.000e+00
28;3.584e-02;1.046e+00;1.028e+00;1.090e-02;9.827e-01;1.042e-02;1.060e+00;1.000e+01;9.980e-01;-4.176e-02;1.037e+00;1.000e+00;9.989e-01;1.000e+00
29;3.994e-02;1.046e+00;1.019e+00;1.119e-02;9.748e-01;1.070e-02;1.060e+00;1.000e+01;9.900e-01;-4.163e-02;1.037e+00;1.000e+00;9.909e-01;1.000e+00
30;4.403e-02;1.046e+00;1.013e+00;1.141e-02;9.683e-01;1.091e-02;1.060e+00;1.000e+01;9.835e-01;-4.151e-02;1.037e+00;1.000e+00;9.844e-01;1.000e+00
31;4.813e-02;1.046e+00;1.007e+00;1.156e-02;9.630e-01;1.106e-02;1.060e+00;1.000e+01;9.782e-01;-4.140e-02;1.037e+00;1.000e+00;9.791e-01;1.000e+00
32;5.222e-02;1.046e+00;1.003e+00;1.168e-02;9.587e-01;1.117e-02;1.060e+00;1.000e+01;9.739e-01;-4.130e-02;1.037e+00;1.000e+00;9.748e-01;1.000e+00
33;5.632e-02;1.046e+00;9.989e-01;1.176e-02;9.552e-01;1.124e-02;1.060e+00;1.000e+01;9.705e-01;-4.120e-02;1.037e+00;1.000e+00;9.713e-01;1.000e+00
34;6.042e-02;1.046e+00;9.960e-01;1.182e-02;9.523e-01;1.130e-02;1.060e+00;1.000e+01;9.676e-01;-4.112e-02;1.037e+00;1.000e+00;9.685e-01;1.000e+00
35;6.451e-02;1.046e+00;9.935e-01;1.185e-02;9.500e-01;1.133e-02;1.060e+00;1.000e+01;9.653e-01;-4.103e-02;1.037e+00;1.000e+00;9.662e-01;1.000e+00
36;7.270e-02;1.046e+00;9.899e-01;1.186e-02;9.465e-01;1.134e-02;1.060e+00;1.000e+01;9.618e-01;-4.088e-02;1.037e+00;1.000e+00;9.627e-01;1.000e+00
37;8.090e-02;1.046e+00;9.875e-01;1.183e-02;9.442e-01;1.131e-02;1.060e+00;1.000e+01;9.595e-01;-4.074e-02;1.037e+00;1.000e+00;9.604e-01;1.000e+00
38;8.909e-02;1.046e+00;9.859e-01;1.177e-02;9.427e-01;1.125e-02;1.060e+00;1.000e+01;9.580e-01;-4.061e-02;1.037e+00;1.000e+00;9.588e-01;1.000e+00
39;9.728e-02;1.046e+00;9.849e-01;1.168e-02;9.417e-01;1.117e-02;1.060e+00;1.000e+01;9.570e-01;-4.049e-02;1.037e+00;1.000e+00;9.579e-01;1.000e+00
40;1.055e-01;1.046e+00;9.842e-01;1.158e-02;9.411e-01;1.107e-02;1.060e+00;1.000e+01;9.564e-01;-4.036e-02;1.037e+00;1.000e+00;9.572e-01;1.000e+00
41;1.137e-01;1.046e+00;9.838e-01;1.147e-02;9.407e-01;1.097e-02;1.059e+00;1.000e+01;9.560e-01;-4.024e-02;1.037e+00;1.000e+00;9.568e-01;1.000e+00
42;1.219e-01;1.046e+00;9.835e-01;1.135e-02;9.404e-01;1.086e-02;1.059e+00;1.000e+01;9.557e-01;-4.012e-02;1.037e+00;1.000e+00;9.566e-01;1.000e+00
43;1.300e-01;1.046e+00;9.833e-01;1.123e-02;9.403e-01;1.074e-02;1.059e+00;1.000e+01;9.556e-01;-4.000e-02;1.037e+00;1.000e+00;9.564e-01;1.000e+00
44;1.400e-01;1.046e+00;9.832e-01;1.108e-02;9.401e-01;1.059e-02;1.059e+00;1.000e+01;9.554e-01;-3.985e-02;1.037e+00;1.000e+00;9.563e-01;1.000e+00
45;1.500e-01;1.046e+00;9.831e-01;1.092e-02;9.401e-01;1.044e-02;1.059e+00;1.000e+01;9.554e-01;-3.970e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
46;1.600e-01;1.046e+00;9.831e-01;1.075e-02;9.400e-01;1.028e-02;1.059e+00;1.000e+01;9.554e-01;-3.955e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
47;1.700e-01;1.046e+00;9.831e-01;1.059e-02;9.400e-01;1.012e-02;1.059e+00;1.000e+01;9.553e-01;-3.939e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
48;1.800e-01;1.046e+00;9.830e-01;1.042e-02;9.400e-01;9.966e-03;1.059e+00;1.000e+01;9.553e-01;-3.923e-02;1.037e+00;1.000e+00;9.561e-01;1.000e+00
49;1.900e-01;1.046e+00;9.830e-01;1.025e-02;9.400e-01;9.805e-03;1.059e+00;1.000e+01;9.553e-01;-3.908e-02;1.037e+00;1.000e+00;9.561e-01;1.000e+00
50;2.000e-01;1.046e+00;9.830e-01;1.008e-02;9.400e-01;9.642e-03;1.059e+00;1.000e+01;9.554e-01;-3.892e-02;1.037e+00;1.000e+00;9.561e-01;1.000e+00
51;2.100e-01;1.046e+00;9.830e-01;9.913e-03;9.400e-01;9.480e-03;1.059e+00;1.000e+01;9.554e-01;-3.876e-02;1.037e+00;1.000e+00;9.561e-01;1.000e+00
52;2.200e-01;1.046e+00;9.830e-01;9.741e-03;9.400e-01;9.315e-03;1.059e+00;1.000e+01;9.554e-01;-3.860e-02;1.037e+00;1.000e+00;9.561e-01;1.000e+00
53;2.300e-01;1.046e+00;9.830e-01;9.567e-03;9.400e-01;9.149e-03;1.059e+00;1.000e+01;9.554e-01;-3.843e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
54;2.400e-01;1.046e+00;9.830e-01;9.394e-03;9.401e-01;8.983e-03;1.059e+00;1.000e+01;9.554e-01;-3.827e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
55;2.500e-01;1.046e+00;9.830e-01;9.218e-03;9.401e-01;8.815e-03;1.059e+00;1.000e+01;9.554e-01;-3.810e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
56;2.600e-01;1.046e+00;9.830e-01;9.041e-03;9.401e-01;8.646e-03;1.059e+00;1.000e+01;9.554e-01;-3.794e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
57;2.700e-01;1.046e+00;9.830e-01;8.865e-03;9.401e-01;8.478e-03;1.058e+00;1.000e+01;9.554e-01;-3.777e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
58;2.800e-01;1.046e+00;9.830e-01;8.686e-03;9.401e-01;8.307e-03;1.058e+00;1.000e+01;9.554e-01;-3.760e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
59;2.900e-01;1.046e+00;9.830e-01;8.509e-03;9.401e-01;8.138e-03;1.058e+00;1.000e+01;9.555e-01;-3.744e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
60;3.000e-01;1.046e+00;9.830e-01;8.329e-03;9.401e-01;7.965e-03;1.058e+00;1.000e+01;9.555e-01;-3.727e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
61;3.100e-01;1.046e+00;9.830e-01;8.150e-03;9.401e-01;7.794e-03;1.058e+00;1.000e+01;9.555e-01;-3.710e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
62;3.200e-01;1.046e+00;9.830e-01;7.969e-03;9.401e-01;7.621e-03;1.058e+00;1.000e+01;9.555e-01;-3.693e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
63;3.300e-01;1.046e+00;9.830e-01;7.788e-03;9.401e-01;7.448e-03;1.058e+00;1.000e+01;9.555e-01;-3.676e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
64;3.400e-01;1.046e+00;9.830e-01;7.608e-03;9.401e-01;7.276e-03;1.058e+00;1.000e+01;9.555e-01;-3.658e-02;1.037e+00;1.000e+00;9.562e-01;1.000e+00
