time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent
30.001696;0.45663123142347556;1.1081664530051817e-07;-2.1401728884929017e-07;-0.0033816308329390437;-0.007397008769487809;10.008955107883251;-0.7503467480363364;-0.013379121026205669;-0.013379257121008726;-1.0735810526324451e-07;0.007396953868292051;0.4566798678007758;0.007323949877507713
30.001782;0.4566624259248387;5.7887940469942524e-08;-3.470781668117044e-07;-0.003030357313601002;-0.006628004108612388;10.009045030244788;-0.750346752335316;-0.013379119789323669;-0.013379256984420326;-1.0505184688326395e-07;0.006627958320808958;0.4567318836551505;0.006550651528098114
30.001868;0.4566958018790718;3.409297584669514e-09;-4.8338558690087e-07;-0.0026566180360897574;-0.005809999278552031;10.009133496827463;-0.7503467568480527;-0.013379118191789913;-0.013379256737687188;-1.0260371453759447e-07;0.005809962693416623;0.45678801183834933;0.005728311004964775
30.001954;0.4567324422725971;-4.450125677461524e-08;-6.051563290048487e-07;-0.002260405988693106;-0.004942994285549134;10.009220593677934;-0.750346761563219;-0.013379116215020184;-0.013379256370787077;-1.0000393785028551e-07;0.0049429669772602;0.4568482765081789;0.004856944609371667
30.002041;0.45677143901097694;-8.507280938516656e-08;-7.106825355774329e-07;-0.001842616628269657;-0.004028989136342412;10.009306544720626;-0.7503467664684638;-0.01337911384720837;-0.013379255875885974;-9.724049878008034e-08;0.004028971166035972;0.45691370242930385;0.003938567600484458
30.002127;0.45681486924224735;3.3676230568363765e-07;1.9486364748899035e-07;-0.0014032431228235707;-0.003067983795917746;10.009391822449501;-0.7503467715514294;-0.013379111082949629;-0.01337925524615729;-9.430158277217536e-08;0.0030679752553815654;0.4569823154483278;0.002973196038158202
30.002213;0.45686078690279724;3.1196518392984895e-07;1.241609201917881e-07;-0.0009427193379968285;-0.0020609783627413758;10.00947706525421;-0.7503467767997867;-0.013379107921660926;-0.013379254475109806;-9.117583278087171e-08;0.0020609792424755666;0.45705513783822543;0.00196184587375797
30.002299;0.45691022821992;2.987435890371052e-07;7.901239339326607e-08;-0.00046103208070044004;-0.0010079727909618529;10.009562866393516;-0.7503467822004514;-0.013379104366420255;-0.013379253558416881;-8.785147152354834e-08;0.001007983126080971;0.4571321879330845;0.0009045303462797015
30.002385;0.4569622187088994;2.9800884956732203e-07;6.141281108185859e-08;4.092132406091545e-05;8.90329084392343e-05;10.00964969375617;-0.750346787740027;-0.013379100423192437;-0.013379252495797729;-8.431733553936548e-08;-8.901309311871568e-05;0.45721348436139997;-1.874083570023956e-05
30.002558;0.4570867784627539;3.366687473254747e-07;1.3014040972294013e-07;0.0011043214114315714;0.0024120387194314576;10.009737915680002;-0.7503467934045713;-0.01337909609777654;-0.013379251290881472;-8.056528912457831e-08;-0.002412009413192987;0.4573990478051325;0.002300039457282527
30.002713;0.45720792395707466;8.910541666641458e-07;1.3253926348808452e-06;0.0021289549130253916;0.004649044562800318;10.009827772523389;-0.7503467991763682;-0.013379091391740431;-0.013379249951166005;-7.659088130700718e-08;-0.004649005832796663;0.4575769003482742;0.004532876128673093
30.002868;0.4573366694809473;1.057888567606608e-06;1.6740976276979098e-06;0.003214687832052134;0.0070180505042053325;10.009919308980335;-0.7503468050312332;-0.01337908630128523;-0.013379248488515518;-7.239119808113269e-08;-0.007018002352530516;0.45776706392667565;0.0068977727954305755
30.003023;0.4574740346514376;1.3074755888589741e-06;2.2034769247948937e-06;0.004360718099412093;0.009517056488311042;10.010012338376802;-0.7503468109403646;-0.013379080819793445;-0.013379246919367227;-6.79619623643263e-08;-0.00951699897571352;0.45796755657031746;0.009392734167333081
30.003179;0.4576190557965209;1.640657659793648e-06;2.915193757680048e-06;0.005564859190428487;0.012141062490545229;10.01010646132933;-0.7503468168757241;-0.013379074941680794;-0.013379245264511695;-6.329723299517579e-08;-0.01214099570873588;0.458180392481691;0.012012766922844075
30.003334;0.457771787892845;2.0775995350714023e-06;3.8530330542773025e-06;0.006825389968381289;0.014886068470911477;10.01020113880099;-0.7503468228140754;-0.013379068665056287;-0.013379243546516022;-5.839233534928221e-08;-0.014885992558604757;0.458402587655173;0.01475387848476086
30.003489;0.45793229069572045;2.6321356061096073e-06;5.046893154039429e-06;0.008141509194961125;0.01775007438695681;10.010295773067892;-0.7503468287358124;-0.013379061991885302;-0.013379241785492497;-5.3246787328773246e-08;-0.017749989527976323;0.4586351651627013;0.017614076162678325
30.003644;0.45810061536691565;2.8593550435230854e-06;5.526809379130477e-06;0.009510584070065633;0.02072708045670944;10.010389749087238;-0.7503468346216733;-0.01337905492612797;-0.013379239997288706;-4.786516069389583e-08;-0.020726986613051543;0.458878157188906;0.02058736633422615
30.003799;0.45827579881855807;3.667560980041765e-06;7.272365039858942e-06;0.01093133533815239;0.023814086153242122;10.010482447199585;-0.75034684045254;-0.01337904747295633;-0.013379238194969943;-4.225629203252282e-08;-0.023813983806964385;0.45913159919626223;0.023670752862929512
30.003954;0.45845786332739435;4.171514776819238e-06;8.354253857891835e-06;0.012402960154865016;0.027009091987717695;10.010573246790537;-0.7503468462113737;-0.013379039640834317;-0.013379236391413888;-3.643113771289083e-08;-0.027008981105011258;0.45939351924524935;0.026862236757980298
30.00411;0.4586478225284183;4.814403200102832e-06;9.73792538436061e-06;0.013922850402674939;0.03030609766726032;10.010661555899356;-0.75034685188502;-0.013379031443910719;-0.013379234600747346;-3.040112864320814e-08;-0.030305978507578008;0.459664934767033;0.030155816269265032
