time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0442808372070955;0.749999940591126;0.7180847848875376;-4.6245846002144163e-07;-3.503282492477408e-07;0.9999151844335616;10.001172748433826;-0.7501410373277483;-0.08995200118345535;-0.08995200295630178;0.7129769444468994;-0.08549839159234213;1.0519540774253462;0.718087088464914;1.000199948052779
0.0;1.044283128816476;0.7499993552135746;0.7180850865981376;-1.9255682226410904e-06;-1.7532942684569342e-06;0.9999174438235104;10.001146835934467;-0.7501410366387835;-0.0899520009540418;-0.08995200288830667;0.7129769457266371;-0.08549632992076958;1.051956565263215;0.7180868541251234;1.000194978322605
0.0;1.0442866604121497;0.7499993565936232;0.7180850876883684;-1.923551888221667e-06;-1.7534763001159612e-06;0.9999196836707117;10.001121115547246;-0.7501410359497215;-0.08995200073104022;-0.08995200281904918;0.7129769470011712;-0.0854962686036241;1.0519600397032354;0.7180868590094506;1.00019003102641
0.0;1.044289219499234;0.7499983049292709;0.7180847362714587;-4.011912016370831e-06;-3.7550826579926844e-06;0.9999219021553485;10.001095611320928;-0.7501410352614845;-0.08995200051438436;-0.08995200274858797;0.7129769482691247;-0.08549420767623674;1.0519624969777324;0.7180866268207454;1.0001851117480063
1e-06;1.044291755798915;0.7499965711107024;0.7180837317274262;-7.410387010654151e-06;-7.011053548844358e-06;0.999924097578057;10.001070345513773;-0.7501410345749484;-0.08995200030401611;-0.08995200267699606;0.7129769495291793;-0.08549114717771918;1.051963933743984;0.7180862765203007;1.000180225613181
2e-06;1.0442920575658796;0.7499945075963005;0.718083929655843;-1.504647909866407e-05;-1.4324357868790354e-05;0.9999262684830387;10.00104533798982;-0.7501410338909008;-0.08995200009987987;-0.08995200260436528;0.7129769507800928;-0.08548408715132408;1.051963347050993;0.7180854508625242;1.0001753772856734
4e-06;1.0442891677709507;0.7499877589946414;0.7180818156984652;-2.8956240338609835e-05;-2.7644534465041067e-05;0.9999284137465605;10.001020605790016;-0.7501410332100529;-0.08995199990193228;-0.08995200253081112;0.7129769520207208;-0.08547002763915355;1.0519577343325235;0.7180837927533643;1.0001705710551028
7e-06;1.044279921548298;0.7499748884464684;0.7180781879364183;-5.876946863478582e-05;-5.619219265633437e-05;0.9999305325069371;10.000996163377147;-0.7501410325330682;-0.08995199971016747;-0.08995200245645679;0.7129769532500216;-0.08544096867568347;1.0519430933163236;0.7180803505601242;1.0001658109285931
1.5e-05;1.0442576917572988;0.7499499263476588;0.7180718849474406;-0.00011876660175544241;-0.0001136424570435842;0.9999326239884727;10.000972024070563;-0.7501410318605708;-0.08995199952462529;-0.08995200238140799;0.7129769544670442;-0.08538391028646139;1.0519114217876167;0.7180735800784285;1.0001611006704212
3e-05;1.0442094758484823;0.7498987526542124;0.7180583241945679;-0.00023748241734177533;-0.00022732527857941912;0.9999346874571806;10.000948201169326;-0.75014103119314;-0.08995199934536253;-0.0899520023057576;0.7129769556709169;-0.08527085249155296;1.051844717444783;0.7180601622366113;1.0001564438191495
6e-05;1.0441115834570134;0.7497974632182461;0.7180309004101829;-0.0004743175389063647;-0.000454150473674339;0.9999367223432081;10.000924707299887;-0.7501410305313034;-0.08995199917240958;-0.08995200222960598;0.71297695686084;-0.0850437953079584;1.0517069780024566;0.718033251273172;1.0001518436501446
0.00012;1.043912168444714;0.7495953626259908;0.7179767019408873;-0.0009472273248319596;-0.0009072026064183282;0.9999387282546911;10.000901553316929;-0.7501410298755361;-0.08995199900576235;-0.08995200215306175;0.7129769580360702;-0.08459073875189901;1.051429201345913;0.7179797497033094;1.0001473030731693
0.000239;1.043511304065107;0.7491931115007984;0.717869247747273;-0.001891719779374011;-0.0018125589091158784;0.9999407047901935;10.00087874825395;-0.750141029226272;-0.08995199884541714;-0.08995200207623283;0.7129769591958944;-0.08368968283966122;1.0508713855359202;0.7178741651265117;1.000142824588619
0.000478;1.0427088383714336;0.7483930961711566;0.7176566658492718;-0.0037680671866568596;-0.0036132471105489953;0.9999426514296965;10.000856299559748;-0.7501410285839151;-0.08995199869139416;-0.08995200199921613;0.7129769603396162;-0.0819026275847411;1.0497595287490207;0.7176680445645353;1.0001384103609536
0.000717;1.0419126486894201;0.7476011071666874;0.717447103789391;-0.005627364186671593;-0.005400324053016926;0.9999445676232844;10.000834212934782;-0.7501410279488426;-0.08995199854372903;-0.08995200192207486;0.7129779614665654;-0.08013657299791799;1.0486546292882393;0.7174696543130042;1.0001340623604396
0.000957;1.0411227335996993;0.7468155152820998;0.7172390076599412;-0.007468003960288121;-0.007172182645152246;0.9999464528579356;10.000812492402504;-0.7501410273213969;-0.0899519984024581;-0.08995200184482842;0.7129779625761091;-0.07839351909000684;1.0475596856525713;0.7172770760644765;1.0001297824884863
