time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Main_Xfmr_XFMR_Tap;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Bess_GEN_VoltageSetpointPu;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0444499233405862;0.6000082631292322;0.5744685770236321;2.035299349311426e-07;7.642154753034895e-07;9.999693939058734;0.5839230006612715;-0.012764925260691878;1.044815852601595;1.0448031740144312;0.9999797262688755;0.5840547436188654;0.9999970011743259
0.01;1.0444498520367511;0.6000082309024155;0.5744686103039848;2.0376410176887705e-07;7.594096148980614e-07;9.999694688822387;0.5839230006770657;-0.012764929140180592;1.0448159413042262;1.0448031901833688;0.9999797869332964;0.5840547599197186;0.9999969967685266
0.02;1.0444497753363873;0.6000081959952295;0.5744686457842473;2.0400686847456922e-07;7.542416501329704e-07;9.9996954972087;0.5839230006940849;-0.012764933304807852;1.0448160366655546;1.0448032080487144;0.9999798521315568;0.5840547773189548;0.9999969919021328
0.03;1.044449693093824;0.6000081581616183;0.5744686832451144;2.0424900064099337e-07;7.486996274906575e-07;9.99969636767681;0.5839230007123911;-0.012764937751487907;1.0448161389346882;1.0448032279724093;0.9999799220742843;0.5840547957382396;0.9999969864029961
0.04;1.0444496053307033;0.6000081173123367;0.5744687224718732;2.0448014944953187e-07;7.427775479650452e-07;9.999697302269114;0.5839230007320283;-0.012764942465226959;1.0448162483043268;1.0448032502808013;0.9999799969810599;0.5840548150812704;0.9999969800837016
0.05;1.0444495122785304;0.6000080735622321;0.5744687633156753;2.0469131898789956e-07;7.364742449428333e-07;9.999698301204551;0.583923000753026;-0.012764947425113365;1.0448163649046422;1.0448032753285794;0.9999800770514996;0.5840548352855774;0.999996972821818
0.06;1.0444494143448002;0.6000080271383617;0.5744688056965142;2.048760441115864e-07;7.297922883894287e-07;9.999699363401207;0.583923000775401;-0.012764952612194836;1.044816488837945;1.0448033034802466;0.9999801624773775;0.5840548564243203;0.9999969646419864
0.07;1.0444493120005336;0.6000079782557263;0.5744688496047725;2.050316792443439e-07;7.227388699620701e-07;9.999700487500364;0.5839230007991686;-0.012764958012547184;1.0448166201845954;1.0448033350299735;0.9999802534859603;0.5840548787819687;0.9999969557429493
0.08;1.0444492056937205;0.6000079270628532;0.5744688950525293;2.0515925580770387e-07;7.153263859778522e-07;9.999701672489332;0.5839230008243548;-0.012764963612635249;1.0448167589438133;1.0448033701968822;0.9999803503331808;0.584054902794571;0.9999969464149872
0.09;1.0444490958579986;0.6000078736403138;0.5744689420026982;2.0526188875056978e-07;7.075715278263638e-07;9.99970291847673;0.5839230008509896;-0.012764969391991284;1.044816904999551;1.0448034091359222;0.9999804532400854;0.5840549288964847;0.9999969369100039
