time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.040e+00;-6.252e-01;-1.904e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.989996000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.040e+00;-6.252e-01;-1.904e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.989997000;1.044e+00;-6.666e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.039e+00;-6.252e-01;-1.904e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.989998000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.039e+00;-6.252e-01;-1.904e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;-6.667e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.040e+00;-6.252e-01;-1.904e-01;1.044e+00;-4.000e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.990028000;1.045e+00;-6.669e-01;-2.167e-01;-6.383e-01;-2.074e-01;1.040e+00;-6.252e-01;-1.904e-01;1.045e+00;-4.001e-01;-1.300e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.990124000;1.046e+00;-6.677e-01;-2.170e-01;-6.383e-01;-2.074e-01;1.041e+00;-6.252e-01;-1.904e-01;1.046e+00;-4.006e-01;-1.302e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
19.990252000;1.048e+00;-6.687e-01;-2.173e-01;-6.383e-01;-2.074e-01;1.043e+00;-6.252e-01;-1.904e-01;1.048e+00;-4.012e-01;-1.304e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
19.990636000;1.053e+00;-6.719e-01;-2.183e-01;-6.383e-01;-2.074e-01;1.048e+00;-6.252e-01;-1.904e-01;1.053e+00;-4.031e-01;-1.310e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
19.990821000;1.055e+00;-6.734e-01;-2.188e-01;-6.383e-01;-2.074e-01;1.050e+00;-6.252e-01;-1.904e-01;1.055e+00;-4.040e-01;-1.313e-01;1.000e+01;9.801e-01;5.002e+01;5.002e+01
19.991077000;1.058e+00;-6.755e-01;-2.194e-01;-6.383e-01;-2.073e-01;1.053e+00;-6.252e-01;-1.904e-01;1.058e+00;-4.053e-01;-1.316e-01;1.000e+01;9.801e-01;5.002e+01;5.002e+01
19.992101000;1.071e+00;-6.838e-01;-2.219e-01;-6.383e-01;-2.071e-01;1.066e+00;-6.251e-01;-1.903e-01;1.071e+00;-4.103e-01;-1.331e-01;1.000e+01;9.801e-01;5.002e+01;5.002e+01
19.992357000;1.075e+00;-6.859e-01;-2.225e-01;-6.383e-01;-2.071e-01;1.070e+00;-6.251e-01;-1.903e-01;1.075e+00;-4.115e-01;-1.335e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.992613000;1.078e+00;-6.879e-01;-2.232e-01;-6.383e-01;-2.070e-01;1.073e+00;-6.250e-01;-1.902e-01;1.078e+00;-4.128e-01;-1.339e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.994411000;1.101e+00;-7.023e-01;-2.276e-01;-6.380e-01;-2.068e-01;1.096e+00;-6.247e-01;-1.902e-01;1.101e+00;-4.214e-01;-1.366e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.994475000;1.102e+00;-7.028e-01;-2.278e-01;-6.379e-01;-2.068e-01;1.097e+00;-6.247e-01;-1.902e-01;1.102e+00;-4.217e-01;-1.367e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.994603000;1.103e+00;-7.038e-01;-2.281e-01;-6.379e-01;-2.068e-01;1.098e+00;-6.246e-01;-1.902e-01;1.103e+00;-4.223e-01;-1.369e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.994859000;1.107e+00;-7.058e-01;-2.288e-01;-6.378e-01;-2.068e-01;1.102e+00;-6.245e-01;-1.903e-01;1.107e+00;-4.235e-01;-1.373e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.995371000;1.113e+00;-7.097e-01;-2.304e-01;-6.376e-01;-2.070e-01;1.108e+00;-6.243e-01;-1.905e-01;1.113e+00;-4.258e-01;-1.382e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.995883000;1.120e+00;-7.137e-01;-2.321e-01;-6.374e-01;-2.073e-01;1.115e+00;-6.241e-01;-1.909e-01;1.120e+00;-4.282e-01;-1.393e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.996139000;1.123e+00;-7.156e-01;-2.331e-01;-6.373e-01;-2.076e-01;1.118e+00;-6.240e-01;-1.911e-01;1.123e+00;-4.294e-01;-1.398e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.996395000;1.126e+00;-7.175e-01;-2.340e-01;-6.372e-01;-2.078e-01;1.121e+00;-6.238e-01;-1.914e-01;1.126e+00;-4.305e-01;-1.404e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.997163000;1.136e+00;-7.233e-01;-2.373e-01;-6.367e-01;-2.089e-01;1.131e+00;-6.234e-01;-1.926e-01;1.136e+00;-4.340e-01;-1.424e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.998084000;1.148e+00;-7.300e-01;-2.418e-01;-6.360e-01;-2.107e-01;1.143e+00;-6.227e-01;-1.945e-01;1.148e+00;-4.380e-01;-1.451e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.998545000;1.154e+00;-7.333e-01;-2.444e-01;-6.356e-01;-2.118e-01;1.149e+00;-6.223e-01;-1.957e-01;1.154e+00;-4.400e-01;-1.466e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
19.999006000;1.160e+00;-7.365e-01;-2.471e-01;-6.352e-01;-2.131e-01;1.154e+00;-6.218e-01;-1.970e-01;1.160e+00;-4.419e-01;-1.483e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.000124000;1.174e+00;-7.442e-01;-2.545e-01;-6.340e-01;-2.168e-01;1.169e+00;-6.207e-01;-2.008e-01;1.174e+00;-4.465e-01;-1.527e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.001020000;1.185e+00;-7.501e-01;-2.612e-01;-6.329e-01;-2.203e-01;1.180e+00;-6.196e-01;-2.045e-01;1.185e+00;-4.501e-01;-1.567e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.001532000;1.192e+00;-7.534e-01;-2.653e-01;-6.322e-01;-2.226e-01;1.186e+00;-6.189e-01;-2.068e-01;1.192e+00;-4.520e-01;-1.592e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.002556000;1.205e+00;-7.598e-01;-2.743e-01;-6.306e-01;-2.277e-01;1.199e+00;-6.174e-01;-2.120e-01;1.205e+00;-4.559e-01;-1.646e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.003066000;1.211e+00;-7.629e-01;-2.792e-01;-6.298e-01;-2.305e-01;1.206e+00;-6.166e-01;-2.148e-01;1.211e+00;-4.578e-01;-1.675e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.003067000;1.211e+00;-7.629e-01;-2.792e-01;-6.298e-01;-2.305e-01;1.206e+00;-6.166e-01;-2.149e-01;1.211e+00;-4.578e-01;-1.675e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.003322000;1.215e+00;-7.645e-01;-2.817e-01;-6.294e-01;-2.319e-01;1.209e+00;-6.161e-01;-2.164e-01;1.215e+00;-4.587e-01;-1.690e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.004602000;1.231e+00;-7.719e-01;-2.959e-01;-6.270e-01;-2.404e-01;1.225e+00;-6.138e-01;-2.250e-01;1.231e+00;-4.631e-01;-1.776e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.005114000;1.238e+00;-7.747e-01;-3.023e-01;-6.260e-01;-2.443e-01;1.232e+00;-6.129e-01;-2.289e-01;1.238e+00;-4.648e-01;-1.814e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.005626000;1.244e+00;-7.775e-01;-3.091e-01;-6.250e-01;-2.484e-01;1.238e+00;-6.118e-01;-2.332e-01;1.244e+00;-4.665e-01;-1.855e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.007162000;1.264e+00;-7.855e-01;-3.319e-01;-6.216e-01;-2.626e-01;1.257e+00;-6.085e-01;-2.476e-01;1.264e+00;-4.713e-01;-1.991e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.007674000;1.270e+00;-7.880e-01;-3.403e-01;-6.203e-01;-2.679e-01;1.264e+00;-6.074e-01;-2.529e-01;1.270e+00;-4.728e-01;-2.042e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.008186000;1.277e+00;-7.905e-01;-3.492e-01;-6.191e-01;-2.735e-01;1.270e+00;-6.062e-01;-2.585e-01;1.277e+00;-4.743e-01;-2.095e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.009973000;1.300e+00;-7.985e-01;-3.834e-01;-6.144e-01;-2.950e-01;1.293e+00;-6.017e-01;-2.802e-01;1.300e+00;-4.791e-01;-2.300e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.009996000;1.300e+00;-7.987e-01;-3.839e-01;-6.144e-01;-2.953e-01;1.293e+00;-6.016e-01;-2.805e-01;1.300e+00;-4.792e-01;-2.303e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.009997000;1.300e+00;-7.987e-01;-3.839e-01;-6.144e-01;-2.953e-01;1.293e+00;-6.016e-01;-2.806e-01;1.300e+00;-4.792e-01;-2.303e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.010013000;1.300e+00;-7.986e-01;-3.841e-01;-6.143e-01;-2.955e-01;1.293e+00;-6.015e-01;-2.808e-01;1.300e+00;-4.792e-01;-2.305e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.010061000;1.300e+00;-7.984e-01;-3.850e-01;-6.142e-01;-2.961e-01;1.293e+00;-6.014e-01;-2.814e-01;1.300e+00;-4.791e-01;-2.310e-01;1.000e+01;9.801e-01;5.003e+01;5.003e+01
20.010125000;1.300e+00;-7.982e-01;-3.860e-01;-6.140e-01;-2.970e-01;1.293e+00;-6.013e-01;-2.822e-01;1.300e+00;-4.789e-01;-2.316e-01;1.000e+01;9.801e-01;5.002e+01;5.002e+01
20.010637000;1.300e+00;-7.963e-01;-3.949e-01;-6.126e-01;-3.038e-01;1.293e+00;-5.999e-01;-2.891e-01;1.300e+00;-4.778e-01;-2.369e-01;1.000e+01;9.801e-01;5.002e+01;5.002e+01
20.010867000;1.300e+00;-7.955e-01;-3.990e-01;-6.119e-01;-3.069e-01;1.293e+00;-5.993e-01;-2.922e-01;1.300e+00;-4.773e-01;-2.394e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.011098000;1.300e+00;-7.946e-01;-4.032e-01;-6.113e-01;-3.101e-01;1.293e+00;-5.986e-01;-2.955e-01;1.300e+00;-4.768e-01;-2.419e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.011328000;1.300e+00;-7.938e-01;-4.074e-01;-6.106e-01;-3.134e-01;1.292e+00;-5.980e-01;-2.987e-01;1.300e+00;-4.763e-01;-2.444e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.011559000;1.300e+00;-7.929e-01;-4.116e-01;-6.099e-01;-3.166e-01;1.292e+00;-5.974e-01;-3.020e-01;1.300e+00;-4.757e-01;-2.470e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.012250000;1.300e+00;-7.903e-01;-4.247e-01;-6.079e-01;-3.267e-01;1.292e+00;-5.954e-01;-3.121e-01;1.300e+00;-4.742e-01;-2.548e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.013863000;1.300e+00;-7.840e-01;-4.563e-01;-6.030e-01;-3.510e-01;1.292e+00;-5.908e-01;-3.365e-01;1.300e+00;-4.704e-01;-2.738e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.014093000;1.300e+00;-7.830e-01;-4.610e-01;-6.023e-01;-3.546e-01;1.291e+00;-5.902e-01;-3.401e-01;1.300e+00;-4.698e-01;-2.766e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.016397000;1.300e+00;-7.740e-01;-5.081e-01;-5.954e-01;-3.908e-01;1.291e+00;-5.835e-01;-3.765e-01;1.300e+00;-4.644e-01;-3.049e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.016627000;1.300e+00;-7.731e-01;-5.129e-01;-5.947e-01;-3.945e-01;1.290e+00;-5.829e-01;-3.802e-01;1.300e+00;-4.638e-01;-3.077e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.018747000;1.300e+00;-7.649e-01;-5.565e-01;-5.884e-01;-4.281e-01;1.290e+00;-5.769e-01;-4.139e-01;1.300e+00;-4.589e-01;-3.339e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.019162000;1.300e+00;-7.633e-01;-5.650e-01;-5.872e-01;-4.346e-01;1.289e+00;-5.757e-01;-4.205e-01;1.300e+00;-4.580e-01;-3.390e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.019577000;1.300e+00;-7.617e-01;-5.735e-01;-5.860e-01;-4.411e-01;1.289e+00;-5.746e-01;-4.270e-01;1.300e+00;-4.570e-01;-3.441e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.020821000;1.300e+00;-7.571e-01;-5.985e-01;-5.824e-01;-4.604e-01;1.289e+00;-5.712e-01;-4.464e-01;1.300e+00;-4.543e-01;-3.591e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.021650000;1.300e+00;-7.541e-01;-6.150e-01;-5.801e-01;-4.731e-01;1.289e+00;-5.691e-01;-4.591e-01;1.300e+00;-4.525e-01;-3.690e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.022065000;1.300e+00;-7.527e-01;-6.231e-01;-5.790e-01;-4.793e-01;1.288e+00;-5.680e-01;-4.653e-01;1.300e+00;-4.516e-01;-3.739e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.022480000;1.300e+00;-7.512e-01;-6.312e-01;-5.779e-01;-4.855e-01;1.288e+00;-5.669e-01;-4.716e-01;1.300e+00;-4.507e-01;-3.787e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.024553000;1.300e+00;-7.442e-01;-6.704e-01;-5.724e-01;-5.157e-01;1.288e+00;-5.618e-01;-5.019e-01;1.300e+00;-4.465e-01;-4.022e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.024968000;1.300e+00;-7.428e-01;-6.780e-01;-5.714e-01;-5.215e-01;1.287e+00;-5.608e-01;-5.077e-01;1.300e+00;-4.457e-01;-4.068e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.025797000;1.300e+00;-7.402e-01;-6.930e-01;-5.694e-01;-5.331e-01;1.287e+00;-5.588e-01;-5.193e-01;1.300e+00;-4.441e-01;-4.158e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.026627000;1.300e+00;-7.376e-01;-7.076e-01;-5.674e-01;-5.443e-01;1.287e+00;-5.569e-01;-5.306e-01;1.300e+00;-4.425e-01;-4.246e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.027041000;1.300e+00;-7.363e-01;-7.148e-01;-5.664e-01;-5.498e-01;1.287e+00;-5.560e-01;-5.361e-01;1.300e+00;-4.418e-01;-4.289e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.027456000;1.300e+00;-7.351e-01;-7.219e-01;-5.654e-01;-5.553e-01;1.287e+00;-5.551e-01;-5.416e-01;1.300e+00;-4.410e-01;-4.331e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.027871000;1.300e+00;-7.338e-01;-7.289e-01;-5.645e-01;-5.607e-01;1.286e+00;-5.542e-01;-5.470e-01;1.300e+00;-4.403e-01;-4.373e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.029530000;1.300e+00;-7.291e-01;-7.559e-01;-5.608e-01;-5.815e-01;1.286e+00;-5.507e-01;-5.679e-01;1.300e+00;-4.374e-01;-4.536e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.029945000;1.300e+00;-7.279e-01;-7.625e-01;-5.599e-01;-5.865e-01;1.286e+00;-5.499e-01;-5.729e-01;1.300e+00;-4.368e-01;-4.575e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.030774000;1.300e+00;-7.257e-01;-7.752e-01;-5.582e-01;-5.963e-01;1.286e+00;-5.482e-01;-5.828e-01;1.300e+00;-4.354e-01;-4.651e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.031189000;1.300e+00;-7.246e-01;-7.815e-01;-5.574e-01;-6.012e-01;1.285e+00;-5.474e-01;-5.876e-01;1.300e+00;-4.348e-01;-4.689e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.033262000;1.300e+00;-7.194e-01;-8.114e-01;-5.534e-01;-6.241e-01;1.285e+00;-5.436e-01;-6.107e-01;1.300e+00;-4.317e-01;-4.868e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.034092000;1.300e+00;-7.175e-01;-8.227e-01;-5.519e-01;-6.328e-01;1.285e+00;-5.422e-01;-6.194e-01;1.300e+00;-4.305e-01;-4.936e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.034921000;1.300e+00;-7.156e-01;-8.336e-01;-5.505e-01;-6.412e-01;1.284e+00;-5.408e-01;-6.279e-01;1.300e+00;-4.294e-01;-5.002e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.035668000;1.300e+00;-7.139e-01;-8.431e-01;-5.492e-01;-6.486e-01;1.284e+00;-5.396e-01;-6.352e-01;1.300e+00;-4.284e-01;-5.059e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.036321000;1.300e+00;-7.126e-01;-8.513e-01;-5.481e-01;-6.548e-01;1.284e+00;-5.386e-01;-6.415e-01;1.300e+00;-4.275e-01;-5.108e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.036385000;1.300e+00;-7.124e-01;-8.521e-01;-5.480e-01;-6.554e-01;1.284e+00;-5.385e-01;-6.421e-01;1.300e+00;-4.274e-01;-5.112e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.036833000;1.300e+00;-7.115e-01;-8.575e-01;-5.473e-01;-6.596e-01;1.284e+00;-5.378e-01;-6.463e-01;1.300e+00;-4.269e-01;-5.145e-01;1.000e+01;9.801e-01;5.001e+01;5.001e+01
20.037345000;1.300e+00;-7.104e-01;-8.636e-01;-5.465e-01;-6.643e-01;1.284e+00;-5.370e-01;-6.510e-01;1.300e+00;-4.263e-01;-5.181e-01;1.000e+01;9.801e-01;5.000e+01;5.000e+01
