time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;-6.660e-01;-2.160e-01;-6.660e-01;-2.160e-01;9.999e-01;-6.660e-01;-2.158e-01;1.000e+00;-3.330e-03;-1.080e-03;1.000e+01;-6.660e-01;-2.159e-01
29.999994000;1.000e+00;-6.660e-01;-2.160e-01;-6.660e-01;-2.160e-01;9.999e-01;-6.660e-01;-2.158e-01;1.000e+00;-3.330e-03;-1.080e-03;1.000e+01;-6.660e-01;-2.159e-01
29.999994000;9.590e-09;1.540e-09;-2.272e-09;1.046e-09;5.340e-09;1.501e-04;-9.523e-10;5.324e-09;-2.668e-09;2.059e-09;3.148e-09;1.000e+01;-6.660e-01;-2.159e-01
30.023161000;2.301e-09;-6.435e-09;-3.079e-09;8.536e-11;2.944e-09;1.990e-04;-2.399e-09;7.454e-08;4.111e-09;-1.030e-09;2.046e-09;1.000e+01;-6.660e-01;-2.159e-01
30.023392000;2.230e-09;-6.743e-09;-3.084e-09;-8.523e-11;2.956e-09;2.004e-04;-2.512e-09;9.982e-01;3.959e-09;-1.171e-09;2.186e-09;1.000e+01;-6.660e-01;-2.159e-01
30.047820000;1.297e-09;4.138e-09;3.767e-09;-6.382e-09;-1.608e-09;2.538e-04;-1.524e-09;7.881e-01;3.667e-09;1.933e-09;2.941e-09;1.000e+01;-6.660e-01;-2.159e-01
30.048742000;1.142e-09;4.508e-09;3.877e-09;-6.764e-09;-1.555e-09;2.544e-04;-9.526e-10;1.572e+00;3.755e-09;1.901e-09;2.988e-09;1.000e+01;-6.660e-01;-2.159e-01
30.054272000;1.325e-09;6.151e-09;3.030e-09;-8.092e-09;-1.597e-09;2.604e-04;1.158e-09;1.536e+00;3.570e-09;1.902e-09;1.778e-09;1.000e+01;-6.660e-01;-2.159e-01
30.060021000;1.148e-09;3.359e-09;-1.125e-09;-8.606e-09;-1.954e-09;2.644e-04;1.149e-09;1.513e+00;3.943e-09;4.159e-09;6.048e-10;1.000e+01;-6.660e-01;-2.159e-01
30.083541000;-4.098e-09;-2.673e-09;2.047e-09;-3.270e-09;1.863e-09;2.747e-04;-5.021e-09;1.456e+00;3.564e-10;-2.700e-09;-1.284e-09;1.000e+01;-6.660e-01;-2.159e-01
30.105737000;-8.641e-09;-1.391e-09;2.991e-09;4.566e-09;-8.278e-09;2.768e-04;-2.889e-09;1.445e+00;-6.437e-09;-6.143e-09;-1.733e-09;1.000e+01;-6.660e-01;-2.159e-01
