time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-4.000e-01;-6.506e-09;-3.830e-01;2.574e-09;1.044e+00;1.040e+00;-3.666e-01;1.895e-02;1.044e+00;-2.400e-01;2.227e-09;1.000e+01;-4.000e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.999996000;1.044e+00;-4.000e-01;4.815e-09;-3.830e-01;2.448e-09;1.044e+00;1.040e+00;-3.666e-01;1.895e-02;1.044e+00;-2.400e-01;-3.837e-09;1.000e+01;-4.000e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.999996000;1.044e+00;-4.000e-01;4.937e-09;-3.830e-01;2.336e-09;1.044e+00;1.040e+00;-3.666e-01;1.895e-02;1.044e+00;-2.400e-01;-3.904e-09;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.007836000;1.044e+00;-4.000e-01;5.944e-09;-3.830e-01;-3.986e-10;1.044e+00;1.040e+00;-3.666e-01;1.895e-02;1.044e+00;-2.400e-01;-2.236e-09;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.008836000;1.044e+00;-4.000e-01;-1.661e-06;-3.830e-01;-1.596e-06;1.044e+00;1.040e+00;-3.667e-01;1.895e-02;1.044e+00;-2.400e-01;-1.002e-06;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.009836000;1.044e+00;-4.001e-01;-1.661e-06;-3.830e-01;-1.596e-06;1.044e+00;1.040e+00;-3.667e-01;1.895e-02;1.044e+00;-2.400e-01;-1.002e-06;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.017836000;1.044e+00;-4.003e-01;-1.499e-05;-3.833e-01;-1.436e-05;1.044e+00;1.040e+00;-3.669e-01;1.895e-02;1.044e+00;-2.402e-01;-9.001e-06;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.022836000;1.044e+00;-4.007e-01;-3.000e-05;-3.836e-01;-2.872e-05;1.044e+00;1.040e+00;-3.673e-01;1.896e-02;1.044e+00;-2.404e-01;-1.800e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.023836000;1.044e+00;-4.007e-01;-3.333e-05;-3.837e-01;-3.192e-05;1.044e+00;1.040e+00;-3.673e-01;1.896e-02;1.044e+00;-2.404e-01;-2.000e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
20.024836000;1.044e+00;-4.008e-01;-3.833e-05;-3.838e-01;-3.670e-05;1.044e+00;1.040e+00;-3.674e-01;1.896e-02;1.044e+00;-2.405e-01;-2.300e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
20.025836000;1.044e+00;-4.009e-01;-4.167e-05;-3.839e-01;-3.990e-05;1.044e+00;1.040e+00;-3.675e-01;1.896e-02;1.044e+00;-2.406e-01;-2.500e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
20.030836000;1.044e+00;-4.014e-01;-6.667e-05;-3.844e-01;-6.383e-05;1.044e+00;1.040e+00;-3.680e-01;1.897e-02;1.044e+00;-2.409e-01;-4.000e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
20.031836000;1.044e+00;-4.016e-01;-7.167e-05;-3.845e-01;-6.862e-05;1.044e+00;1.040e+00;-3.681e-01;1.897e-02;1.044e+00;-2.409e-01;-4.300e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
20.032836000;1.044e+00;-4.017e-01;-7.833e-05;-3.846e-01;-7.501e-05;1.044e+00;1.040e+00;-3.683e-01;1.897e-02;1.044e+00;-2.410e-01;-4.700e-05;1.000e+01;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
