time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Bess_GEN_ActivePowerControlledPu;Bess_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;6.660e-01;0.000e+00;6.660e-01;-0.000e+00;1.011e+00;6.654e-01;2.632e-02;6.726e-01;2.660e-02;1.000e+00;3.330e-03;-0.000e+00;6.727e-01;2.661e-02
29.999994;1.000e+00;6.660e-01;-2.466e-07;6.660e-01;-3.256e-07;1.011e+00;6.654e-01;2.632e-02;6.726e-01;2.660e-02;1.000e+00;3.330e-03;1.470e-07;6.727e-01;2.661e-02
29.999995;-4.714e-08;-3.523e-07;-2.466e-07;4.265e-07;-3.256e-07;4.120e-02;1.602e-01;6.457e-01;6.600e-03;2.660e-02;8.772e-08;-3.455e-07;1.470e-07;6.727e-01;2.661e-02
30.000002;-4.722e-08;-3.524e-07;-2.463e-07;4.265e-07;-3.256e-07;4.120e-02;1.602e-01;6.457e-01;6.600e-03;2.660e-02;8.784e-08;-3.456e-07;1.467e-07;6.727e-01;2.661e-02
30.001025;-5.745e-08;-3.675e-07;-2.027e-07;4.260e-07;-3.177e-07;4.131e-02;1.598e-01;6.487e-01;6.600e-03;2.680e-02;1.026e-07;-3.590e-07;1.153e-07;6.727e-01;2.661e-02
30.002049;-6.790e-08;-3.809e-07;-1.569e-07;4.254e-07;-3.075e-07;4.168e-02;1.631e-01;6.525e-01;6.800e-03;2.720e-02;1.162e-07;-3.700e-07;8.414e-08;6.727e-01;2.661e-02
30.003009;-7.774e-08;-3.920e-07;-1.125e-07;4.249e-07;-2.959e-07;4.231e-02;1.654e-01;6.617e-01;7.000e-03;2.800e-02;1.276e-07;-3.784e-07;5.508e-08;6.727e-01;2.661e-02
30.004000;-8.760e-08;-4.027e-07;-6.588e-08;4.246e-07;-2.823e-07;4.317e-02;1.714e-01;6.763e-01;7.400e-03;2.920e-02;1.378e-07;-3.851e-07;2.523e-08;6.727e-01;2.661e-02
30.005024;-9.708e-08;-4.134e-07;-1.747e-08;4.248e-07;-2.668e-07;4.414e-02;1.722e-01;6.932e-01;7.600e-03;3.060e-02;1.466e-07;-3.901e-07;-5.517e-09;6.727e-01;2.661e-02
30.006190;-1.065e-07;-4.254e-07;3.707e-08;4.255e-07;-2.479e-07;4.494e-02;1.780e-01;7.031e-01;8.000e-03;3.160e-02;1.546e-07;-3.932e-07;-4.043e-08;6.727e-01;2.661e-02
30.007112;-1.129e-07;-4.348e-07;7.938e-08;4.265e-07;-2.328e-07;4.568e-02;1.795e-01;7.181e-01;8.200e-03;3.280e-02;1.597e-07;-3.939e-07;-6.794e-08;6.727e-01;2.661e-02
30.008033;-1.183e-07;-4.440e-07;1.205e-07;4.278e-07;-2.177e-07;4.649e-02;1.807e-01;7.270e-01;8.400e-03;3.380e-02;1.638e-07;-3.929e-07;-9.528e-08;6.727e-01;2.661e-02
