time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;-6.660e-01;3.867e-09;-6.660e-01;-1.082e-08;1.000e+00;-6.660e-01;-4.546e-09;1.000e+00;-3.330e-03;-1.669e-10;-6.660e-01;9.000e-05
0.000001000;1.000e+00;-6.660e-01;3.885e-09;-6.660e-01;-1.090e-08;1.000e+00;-6.660e-01;-4.474e-09;1.000e+00;-3.330e-03;-1.210e-10;-6.660e-01;9.000e-05
29.999994000;1.000e+00;-6.660e-01;-4.186e-09;-6.660e-01;1.022e-09;1.000e+00;-6.660e-01;-2.829e-09;1.000e+00;-3.330e-03;2.335e-09;-6.660e-01;9.000e-05
29.999994000;1.001e-06;-3.810e-09;-4.202e-09;-4.189e-10;1.343e-09;1.430e-04;-3.029e-09;-2.771e-09;1.000e-06;-8.356e-10;2.316e-09;-6.660e-01;9.000e-05
30.019142000;1.002e-06;1.220e-09;-5.033e-09;3.366e-09;5.530e-09;2.000e-04;4.611e-09;-9.955e-08;1.008e-06;-1.141e-09;4.150e-09;-6.660e-01;9.000e-05
30.019398000;1.002e-06;1.389e-09;-4.923e-09;3.427e-09;5.621e-09;2.011e-04;4.950e-09;9.944e-01;1.008e-06;-1.037e-09;3.900e-09;-6.660e-01;9.000e-05
30.019654000;1.002e-06;1.556e-09;-4.810e-09;3.498e-09;5.702e-09;2.017e-04;5.257e-09;9.916e-01;1.008e-06;-9.375e-10;3.640e-09;-6.660e-01;9.000e-05
30.019910000;1.002e-06;1.723e-09;-4.697e-09;3.577e-09;5.773e-09;2.023e-04;5.529e-09;9.888e-01;1.007e-06;-8.443e-10;3.367e-09;-6.660e-01;9.000e-05
30.020166000;1.002e-06;1.889e-09;-4.586e-09;3.659e-09;5.836e-09;2.029e-04;5.761e-09;9.859e-01;1.007e-06;-7.575e-10;3.080e-09;-6.660e-01;9.000e-05
30.020422000;1.002e-06;2.055e-09;-4.478e-09;3.741e-09;5.891e-09;2.048e-04;5.952e-09;9.764e-01;1.007e-06;-6.744e-10;2.777e-09;-6.660e-01;9.000e-05
