time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;6.667e-01;0.000e+00;6.383e-01;0.000e+00;1.044e+00;1.055e+00;6.535e-01;3.225e-02;1.044e+00;4.000e-01;0.000e+00;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000512;1.044e+00;6.666e-01;-2.867e-04;6.383e-01;-2.745e-04;1.044e+00;1.055e+00;6.535e-01;3.198e-02;1.044e+00;4.000e-01;-1.720e-04;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.001024;1.044e+00;6.665e-01;-5.600e-04;6.383e-01;-5.363e-04;1.044e+00;1.055e+00;6.535e-01;3.172e-02;1.044e+00;3.999e-01;-3.360e-04;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.003072;1.044e+00;6.663e-01;-1.512e-03;6.382e-01;-1.448e-03;1.044e+00;1.055e+00;6.535e-01;3.083e-02;1.044e+00;3.998e-01;-9.070e-04;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.003584;1.044e+00;6.663e-01;-1.715e-03;6.382e-01;-1.643e-03;1.043e+00;1.055e+00;6.535e-01;3.063e-02;1.044e+00;3.998e-01;-1.029e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.005120;1.044e+00;6.661e-01;-2.253e-03;6.382e-01;-2.159e-03;1.043e+00;1.055e+00;6.535e-01;3.013e-02;1.044e+00;3.997e-01;-1.352e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006386;1.044e+00;6.661e-01;-2.620e-03;6.382e-01;-2.510e-03;1.043e+00;1.055e+00;6.535e-01;2.978e-02;1.044e+00;3.996e-01;-1.572e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006898;1.044e+00;6.660e-01;-2.750e-03;6.382e-01;-2.635e-03;1.043e+00;1.054e+00;6.535e-01;2.966e-02;1.044e+00;3.996e-01;-1.650e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.007922;1.044e+00;6.660e-01;-2.983e-03;6.382e-01;-2.859e-03;1.043e+00;1.054e+00;6.536e-01;2.944e-02;1.044e+00;3.996e-01;-1.790e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.008434;1.043e+00;6.660e-01;-3.087e-03;6.382e-01;-2.958e-03;1.043e+00;1.054e+00;6.536e-01;2.934e-02;1.043e+00;3.996e-01;-1.852e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.008946;1.043e+00;6.660e-01;-3.182e-03;6.382e-01;-3.049e-03;1.042e+00;1.054e+00;6.536e-01;2.925e-02;1.043e+00;3.996e-01;-1.909e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.010482;1.043e+00;6.659e-01;-3.422e-03;6.382e-01;-3.279e-03;1.042e+00;1.054e+00;6.536e-01;2.903e-02;1.043e+00;3.996e-01;-2.053e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.015330;1.043e+00;6.659e-01;-3.837e-03;6.383e-01;-3.678e-03;1.042e+00;1.054e+00;6.537e-01;2.864e-02;1.043e+00;3.995e-01;-2.302e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.020730;1.043e+00;6.660e-01;-3.927e-03;6.384e-01;-3.764e-03;1.042e+00;1.054e+00;6.538e-01;2.857e-02;1.043e+00;3.996e-01;-2.356e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.025230;1.043e+00;6.661e-01;-3.870e-03;6.385e-01;-3.710e-03;1.042e+00;1.054e+00;6.539e-01;2.863e-02;1.043e+00;3.997e-01;-2.322e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.030930;1.043e+00;6.663e-01;-3.753e-03;6.386e-01;-3.598e-03;1.042e+00;1.054e+00;6.540e-01;2.874e-02;1.043e+00;3.998e-01;-2.252e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.035930;1.043e+00;6.664e-01;-3.660e-03;6.387e-01;-3.508e-03;1.042e+00;1.054e+00;6.541e-01;2.884e-02;1.043e+00;3.998e-01;-2.196e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.040930;1.043e+00;6.664e-01;-3.588e-03;6.388e-01;-3.439e-03;1.042e+00;1.054e+00;6.541e-01;2.891e-02;1.043e+00;3.999e-01;-2.153e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.046930;1.043e+00;6.665e-01;-3.532e-03;6.388e-01;-3.385e-03;1.042e+00;1.054e+00;6.542e-01;2.897e-02;1.043e+00;3.999e-01;-2.119e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.050930;1.043e+00;6.665e-01;-3.508e-03;6.389e-01;-3.363e-03;1.042e+00;1.054e+00;6.542e-01;2.899e-02;1.043e+00;3.999e-01;-2.105e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.055930;1.043e+00;6.666e-01;-3.487e-03;6.389e-01;-3.342e-03;1.042e+00;1.054e+00;6.543e-01;2.902e-02;1.043e+00;3.999e-01;-2.092e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.060930;1.043e+00;6.666e-01;-3.472e-03;6.389e-01;-3.328e-03;1.042e+00;1.054e+00;6.543e-01;2.903e-02;1.043e+00;4.000e-01;-2.083e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.065930;1.043e+00;6.666e-01;-3.460e-03;6.389e-01;-3.316e-03;1.042e+00;1.054e+00;6.543e-01;2.904e-02;1.043e+00;4.000e-01;-2.076e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.070930;1.043e+00;6.666e-01;-3.448e-03;6.390e-01;-3.305e-03;1.042e+00;1.054e+00;6.543e-01;2.906e-02;1.043e+00;4.000e-01;-2.069e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.075930;1.043e+00;6.667e-01;-3.438e-03;6.390e-01;-3.296e-03;1.042e+00;1.054e+00;6.543e-01;2.907e-02;1.043e+00;4.000e-01;-2.063e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.080930;1.043e+00;6.667e-01;-3.427e-03;6.390e-01;-3.284e-03;1.042e+00;1.054e+00;6.543e-01;2.908e-02;1.043e+00;4.000e-01;-2.056e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.085930;1.043e+00;6.667e-01;-3.415e-03;6.390e-01;-3.273e-03;1.042e+00;1.054e+00;6.543e-01;2.909e-02;1.043e+00;4.000e-01;-2.049e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.090930;1.043e+00;6.667e-01;-3.402e-03;6.390e-01;-3.260e-03;1.042e+00;1.054e+00;6.543e-01;2.910e-02;1.043e+00;4.000e-01;-2.041e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.095930;1.043e+00;6.667e-01;-3.390e-03;6.390e-01;-3.249e-03;1.042e+00;1.054e+00;6.543e-01;2.911e-02;1.043e+00;4.000e-01;-2.034e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.100930;1.043e+00;6.667e-01;-3.377e-03;6.390e-01;-3.236e-03;1.042e+00;1.054e+00;6.543e-01;2.913e-02;1.043e+00;4.000e-01;-2.026e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.105930;1.043e+00;6.667e-01;-3.365e-03;6.390e-01;-3.225e-03;1.042e+00;1.054e+00;6.543e-01;2.914e-02;1.043e+00;4.000e-01;-2.019e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.110930;1.043e+00;6.667e-01;-3.352e-03;6.390e-01;-3.212e-03;1.042e+00;1.054e+00;6.543e-01;2.915e-02;1.043e+00;4.000e-01;-2.011e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.115930;1.043e+00;6.667e-01;-3.340e-03;6.390e-01;-3.201e-03;1.042e+00;1.054e+00;6.543e-01;2.916e-02;1.043e+00;4.000e-01;-2.004e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.120930;1.043e+00;6.667e-01;-3.327e-03;6.390e-01;-3.188e-03;1.042e+00;1.054e+00;6.543e-01;2.917e-02;1.043e+00;4.000e-01;-1.996e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.125930;1.043e+00;6.667e-01;-3.315e-03;6.390e-01;-3.177e-03;1.042e+00;1.054e+00;6.543e-01;2.918e-02;1.043e+00;4.000e-01;-1.989e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.130930;1.043e+00;6.667e-01;-3.302e-03;6.390e-01;-3.164e-03;1.042e+00;1.054e+00;6.543e-01;2.920e-02;1.043e+00;4.000e-01;-1.981e-03;1.000e+01;6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
