time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;-6.660e-01;2.033e-09;-6.660e-01;-1.139e-09;1.000e+00;-6.660e-01;1.545e-09;1.000e+00;-3.330e-03;5.615e-09;-6.660e-01;9.000e-05
0.000001000;1.000e+00;-6.660e-01;2.061e-09;-6.660e-01;-1.207e-09;1.000e+00;-6.660e-01;1.450e-09;1.000e+00;-3.330e-03;5.679e-09;-6.660e-01;9.000e-05
29.999994000;1.000e+00;-6.660e-01;1.640e-10;-6.660e-01;1.012e-09;1.000e+00;-6.660e-01;1.435e-09;1.000e+00;-3.330e-03;3.094e-09;-6.660e-01;9.000e-05
29.999994000;3.706e-01;-2.468e-01;2.066e-10;-6.659e-01;1.221e-09;3.706e-01;-6.659e-01;1.248e-09;3.706e-01;-1.234e-03;3.559e-09;-6.660e-01;9.000e-05
30.000058000;3.706e-01;-2.468e-01;7.495e-10;-6.659e-01;2.447e-09;3.706e-01;-6.659e-01;1.554e-10;3.706e-01;-1.234e-03;6.016e-09;-6.660e-01;9.000e-05
30.000122000;3.706e-01;-2.468e-01;8.668e-10;-6.659e-01;2.605e-09;3.706e-01;-6.659e-01;5.396e-04;3.706e-01;-1.234e-03;6.219e-09;-6.660e-01;9.000e-05
30.000250000;3.706e-01;-2.468e-01;9.948e-10;-6.659e-01;2.752e-09;3.706e-01;-6.659e-01;5.396e-04;3.706e-01;-1.234e-03;6.380e-09;-6.660e-01;9.000e-05
30.000378000;3.706e-01;-2.470e-01;1.134e-09;-6.664e-01;2.886e-09;3.706e-01;-6.659e-01;5.396e-04;3.706e-01;-1.235e-03;6.498e-09;-6.660e-01;9.000e-05
30.000506000;3.707e-01;-2.470e-01;2.000e-04;-6.664e-01;5.396e-04;3.707e-01;-6.664e-01;5.396e-04;3.707e-01;-1.235e-03;1.007e-06;-6.660e-01;9.000e-05
30.000634000;3.707e-01;-2.470e-01;2.000e-04;-6.663e-01;5.395e-04;3.707e-01;-6.664e-01;1.079e-03;3.707e-01;-1.235e-03;1.007e-06;-6.660e-01;9.000e-05
30.000762000;3.707e-01;-2.472e-01;4.000e-04;-6.668e-01;1.079e-03;3.707e-01;-6.668e-01;1.079e-03;3.707e-01;-1.236e-03;2.007e-06;-6.660e-01;9.000e-05
30.000822000;3.707e-01;-2.472e-01;4.000e-04;-6.668e-01;1.079e-03;3.707e-01;-6.668e-01;1.618e-03;3.707e-01;-1.236e-03;2.007e-06;-6.660e-01;9.000e-05
30.000886000;3.707e-01;-2.472e-01;4.000e-04;-6.668e-01;1.079e-03;3.707e-01;-6.668e-01;1.618e-03;3.707e-01;-1.236e-03;2.006e-06;-6.660e-01;9.000e-05
30.000950000;3.708e-01;-2.472e-01;6.000e-04;-6.667e-01;1.618e-03;3.708e-01;-6.667e-01;1.618e-03;3.708e-01;-1.236e-03;3.006e-06;-6.660e-01;9.000e-05
