time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;8.684e-09;-6.383e-01;1.865e-08;1.044e+00;1.037e+00;-6.211e-01;3.958e-02;1.044e+00;-4.000e-01;8.802e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000001000;1.044e+00;-6.667e-01;8.693e-09;-6.383e-01;1.876e-08;1.044e+00;1.037e+00;-6.211e-01;3.958e-02;1.044e+00;-4.000e-01;8.368e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989996000;1.044e+00;-6.667e-01;9.237e-09;-6.383e-01;1.755e-08;1.044e+00;1.037e+00;-6.211e-01;3.958e-02;1.044e+00;-4.000e-01;9.953e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989996000;1.045e+00;-6.668e-01;9.138e-09;-6.383e-01;1.746e-08;1.045e+00;1.037e+00;-6.211e-01;3.957e-02;1.045e+00;-4.001e-01;8.066e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989997000;1.045e+00;-6.668e-01;9.026e-09;-6.383e-01;1.738e-08;1.045e+00;1.037e+00;-6.211e-01;3.957e-02;1.045e+00;-4.001e-01;6.212e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;-6.667e-01;8.904e-09;-6.383e-01;1.733e-08;1.045e+00;1.037e+00;-6.211e-01;3.957e-02;1.045e+00;-4.000e-01;4.408e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990000000;1.044e+00;-6.667e-01;8.774e-09;-6.383e-01;1.731e-08;1.044e+00;1.037e+00;-6.211e-01;3.958e-02;1.044e+00;-4.000e-01;2.657e-10;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;-6.665e-01;8.639e-09;-6.383e-01;1.731e-08;1.044e+00;1.037e+00;-6.211e-01;3.958e-02;1.044e+00;-3.999e-01;9.616e-11;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990012000;1.044e+00;-6.663e-01;8.503e-09;-6.383e-01;1.734e-08;1.044e+00;1.036e+00;-6.211e-01;3.959e-02;1.044e+00;-3.998e-01;-6.761e-11;-6.667e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990028000;1.043e+00;-6.658e-01;8.369e-09;-6.383e-01;1.740e-08;1.043e+00;1.036e+00;-6.211e-01;3.962e-02;1.043e+00;-3.995e-01;-2.247e-10;-6.667e-01;0.000e+00;1.044e+00;4.999e+01;4.999e+01
