time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_AVRSetpointPu;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;-1.250e+00;6.223e-07;-1.197e+00;5.958e-07;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000001000;1.044e+00;-1.250e+00;3.343e-06;-1.197e+00;3.200e-06;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000002000;1.044e+00;-1.250e+00;6.946e-06;-1.197e+00;6.650e-06;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000004000;1.044e+00;-1.250e+00;1.431e-05;-1.197e+00;1.370e-05;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000008000;1.044e+00;-1.250e+00;2.686e-05;-1.197e+00;2.572e-05;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000016000;1.044e+00;-1.250e+00;5.553e-05;-1.197e+00;5.317e-05;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.197e+00;1.000e+00
0.000032000;1.044e+00;-1.250e+00;1.097e-04;-1.196e+00;1.050e-04;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.196e+00;1.000e+00
0.000064000;1.044e+00;-1.249e+00;2.165e-04;-1.196e+00;2.073e-04;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.196e+00;-3.352e-02;1.196e+00;1.000e+00
0.000128000;1.044e+00;-1.249e+00;4.208e-04;-1.196e+00;4.029e-04;1.044e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.195e+00;-3.352e-02;1.196e+00;1.000e+00
0.000256000;1.044e+00;-1.247e+00;8.010e-04;-1.194e+00;7.670e-04;1.044e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.194e+00;-3.352e-02;1.194e+00;1.000e+00
0.000512000;1.044e+00;-1.245e+00;1.454e-03;-1.192e+00;1.393e-03;1.044e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.191e+00;-3.351e-02;1.192e+00;1.000e+00
0.001024000;1.044e+00;-1.239e+00;2.451e-03;-1.187e+00;2.347e-03;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.186e+00;-3.347e-02;1.187e+00;1.000e+00
0.001536000;1.044e+00;-1.234e+00;3.141e-03;-1.181e+00;3.007e-03;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.181e+00;-3.342e-02;1.181e+00;1.000e+00
0.002048000;1.045e+00;-1.229e+00;3.632e-03;-1.176e+00;3.477e-03;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.176e+00;-3.337e-02;1.176e+00;1.000e+00
0.002560000;1.045e+00;-1.224e+00;4.008e-03;-1.171e+00;3.836e-03;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.171e+00;-3.331e-02;1.171e+00;1.000e+00
0.003072000;1.045e+00;-1.219e+00;4.312e-03;-1.166e+00;4.126e-03;1.045e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.166e+00;-3.325e-02;1.166e+00;1.000e+00
0.004096000;1.045e+00;-1.208e+00;4.834e-03;-1.156e+00;4.624e-03;1.046e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.155e+00;-3.313e-02;1.156e+00;1.000e+00
0.005120000;1.046e+00;-1.198e+00;5.273e-03;-1.146e+00;5.041e-03;1.046e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.145e+00;-3.302e-02;1.146e+00;1.000e+00
0.006144000;1.046e+00;-1.188e+00;5.719e-03;-1.135e+00;5.466e-03;1.047e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.135e+00;-3.292e-02;1.135e+00;1.000e+00
0.008192000;1.047e+00;-1.167e+00;6.564e-03;-1.115e+00;6.268e-03;1.047e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.114e+00;-3.272e-02;1.115e+00;1.000e+00
0.010240000;1.048e+00;-1.147e+00;7.394e-03;-1.094e+00;7.055e-03;1.048e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.094e+00;-3.251e-02;1.094e+00;1.000e+00
0.012288000;1.049e+00;-1.126e+00;8.200e-03;-1.074e+00;7.819e-03;1.049e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.073e+00;-3.230e-02;1.074e+00;1.000e+00
0.016384000;1.050e+00;-1.085e+00;9.729e-03;-1.033e+00;9.263e-03;1.051e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-1.032e+00;-3.186e-02;1.033e+00;1.000e+00
0.020480000;1.052e+00;-1.043e+00;1.115e-02;-9.920e-01;1.060e-02;1.052e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-9.915e-01;-3.139e-02;9.920e-01;1.000e+00
0.024280000;1.053e+00;-1.004e+00;1.236e-02;-9.540e-01;1.174e-02;1.053e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-9.535e-01;-3.092e-02;9.540e-01;1.000e+00
0.024281000;1.053e+00;-1.004e+00;1.236e-02;-9.540e-01;1.174e-02;1.053e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-9.535e-01;-3.092e-02;9.540e-01;1.000e+00
0.024282000;1.053e+00;-1.004e+00;1.236e-02;-9.539e-01;1.174e-02;1.053e+00;1.000e+00;1.000e+01;-1.250e+00;3.502e-02;3.502e-02;-9.535e-01;-3.092e-02;9.540e-01;1.000e+00
