time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;InfiniteBus_BUS_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.327e-01;-3.841e-02;7.973e-01;-3.678e-02;1.033e+00;1.056e+00;8.083e-01;2.115e-02;1.044e+00;7.494e-01;-3.457e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.002792000;1.044e+00;8.316e-01;-5.676e-02;7.962e-01;-5.434e-02;1.027e+00;1.055e+00;8.084e-01;3.772e-03;1.044e+00;7.485e-01;-5.108e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.002920000;1.044e+00;8.316e-01;-5.728e-02;7.962e-01;-5.484e-02;1.027e+00;1.055e+00;8.084e-01;3.280e-03;1.044e+00;7.484e-01;-5.155e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.003688000;1.044e+00;8.315e-01;-5.986e-02;7.961e-01;-5.731e-02;1.026e+00;1.055e+00;8.084e-01;8.376e-04;1.044e+00;7.483e-01;-5.388e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.005480000;1.044e+00;8.315e-01;-6.265e-02;7.961e-01;-5.998e-02;1.026e+00;1.054e+00;8.086e-01;-1.784e-03;1.044e+00;7.483e-01;-5.638e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.005736000;1.044e+00;8.315e-01;-6.272e-02;7.961e-01;-6.005e-02;1.026e+00;1.054e+00;8.086e-01;-1.849e-03;1.044e+00;7.484e-01;-5.645e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.005864000;1.044e+00;8.315e-01;-6.273e-02;7.962e-01;-6.006e-02;1.026e+00;1.054e+00;8.086e-01;-1.857e-03;1.044e+00;7.484e-01;-5.646e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.005992000;1.044e+00;8.316e-01;-6.273e-02;7.962e-01;-6.006e-02;1.026e+00;1.054e+00;8.087e-01;-1.847e-03;1.044e+00;7.484e-01;-5.645e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.007400000;1.044e+00;8.318e-01;-6.161e-02;7.964e-01;-5.898e-02;1.026e+00;1.054e+00;8.088e-01;-7.639e-04;1.044e+00;7.486e-01;-5.545e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.008404000;1.044e+00;8.321e-01;-5.985e-02;7.967e-01;-5.730e-02;1.026e+00;1.055e+00;8.090e-01;9.197e-04;1.044e+00;7.489e-01;-5.386e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.008916000;1.044e+00;8.322e-01;-5.872e-02;7.968e-01;-5.622e-02;1.027e+00;1.055e+00;8.090e-01;1.999e-03;1.044e+00;7.490e-01;-5.285e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.009044000;1.044e+00;8.322e-01;-5.842e-02;7.968e-01;-5.593e-02;1.027e+00;1.055e+00;8.091e-01;2.290e-03;1.044e+00;7.490e-01;-5.257e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.016570000;1.044e+00;8.346e-01;-3.697e-02;7.991e-01;-3.540e-02;1.033e+00;1.057e+00;8.100e-01;2.274e-02;1.044e+00;7.511e-01;-3.328e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.018183000;1.044e+00;8.350e-01;-3.357e-02;7.994e-01;-3.214e-02;1.034e+00;1.057e+00;8.101e-01;2.598e-02;1.044e+00;7.515e-01;-3.021e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.018380000;1.044e+00;8.350e-01;-3.321e-02;7.995e-01;-3.180e-02;1.034e+00;1.057e+00;8.101e-01;2.633e-02;1.044e+00;7.515e-01;-2.989e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.020924000;1.044e+00;8.354e-01;-2.966e-02;7.998e-01;-2.840e-02;1.036e+00;1.057e+00;8.102e-01;2.971e-02;1.044e+00;7.518e-01;-2.670e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.021436000;1.044e+00;8.354e-01;-2.919e-02;7.999e-01;-2.794e-02;1.036e+00;1.057e+00;8.103e-01;3.016e-02;1.044e+00;7.519e-01;-2.627e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.023228000;1.044e+00;8.356e-01;-2.808e-02;8.000e-01;-2.688e-02;1.036e+00;1.057e+00;8.103e-01;3.122e-02;1.044e+00;7.520e-01;-2.527e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.024508000;1.044e+00;8.356e-01;-2.775e-02;8.001e-01;-2.656e-02;1.036e+00;1.057e+00;8.104e-01;3.154e-02;1.044e+00;7.521e-01;-2.497e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.024764000;1.044e+00;8.356e-01;-2.772e-02;8.001e-01;-2.654e-02;1.036e+00;1.057e+00;8.104e-01;3.157e-02;1.044e+00;7.521e-01;-2.495e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.025020000;1.044e+00;8.356e-01;-2.770e-02;8.001e-01;-2.653e-02;1.036e+00;1.057e+00;8.104e-01;3.158e-02;1.044e+00;7.521e-01;-2.493e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.032855000;1.044e+00;8.354e-01;-3.025e-02;7.999e-01;-2.896e-02;1.035e+00;1.057e+00;8.104e-01;2.917e-02;1.044e+00;7.519e-01;-2.722e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.042236000;1.044e+00;8.352e-01;-3.219e-02;7.996e-01;-3.082e-02;1.035e+00;1.057e+00;8.102e-01;2.731e-02;1.044e+00;7.517e-01;-2.897e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.061840000;1.044e+00;8.348e-01;-2.982e-02;7.993e-01;-2.855e-02;1.035e+00;1.057e+00;8.097e-01;2.949e-02;1.044e+00;7.513e-01;-2.683e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.115940000;1.044e+00;8.336e-01;-2.622e-02;7.982e-01;-2.510e-02;1.037e+00;1.057e+00;8.084e-01;3.273e-02;1.044e+00;7.503e-01;-2.360e-02;1.000e+01;8.333e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
