time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.042e+00;8.311e-01;-3.837e-02;7.973e-01;-3.680e-02;1.031e+00;1.054e+00;8.082e-01;2.123e-02;1.042e+00;7.480e-01;-3.453e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000140000;1.042e+00;8.311e-01;-3.879e-02;7.973e-01;-3.721e-02;1.031e+00;1.054e+00;8.083e-01;2.082e-02;1.042e+00;7.480e-01;-3.491e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000156000;1.042e+00;8.311e-01;-3.884e-02;7.972e-01;-3.726e-02;1.031e+00;1.054e+00;8.083e-01;2.078e-02;1.042e+00;7.480e-01;-3.496e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000172000;1.042e+00;8.311e-01;-3.889e-02;7.972e-01;-3.731e-02;1.031e+00;1.054e+00;8.083e-01;2.073e-02;1.042e+00;7.480e-01;-3.500e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000188000;1.042e+00;8.311e-01;-3.894e-02;7.972e-01;-3.735e-02;1.031e+00;1.054e+00;8.083e-01;2.069e-02;1.042e+00;7.479e-01;-3.504e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000204000;1.042e+00;8.310e-01;-3.899e-02;7.972e-01;-3.740e-02;1.031e+00;1.054e+00;8.083e-01;2.064e-02;1.042e+00;7.479e-01;-3.509e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000421000;1.042e+00;8.310e-01;-3.962e-02;7.972e-01;-3.801e-02;1.030e+00;1.054e+00;8.083e-01;2.004e-02;1.042e+00;7.479e-01;-3.566e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000533000;1.042e+00;8.310e-01;-3.995e-02;7.972e-01;-3.832e-02;1.030e+00;1.054e+00;8.083e-01;1.973e-02;1.042e+00;7.479e-01;-3.595e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000549000;1.042e+00;8.309e-01;-3.999e-02;7.972e-01;-3.837e-02;1.030e+00;1.054e+00;8.083e-01;1.969e-02;1.042e+00;7.479e-01;-3.599e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000565000;1.042e+00;8.309e-01;-4.004e-02;7.972e-01;-3.841e-02;1.030e+00;1.054e+00;8.083e-01;1.964e-02;1.042e+00;7.478e-01;-3.603e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000760000;1.042e+00;8.309e-01;-4.058e-02;7.972e-01;-3.894e-02;1.030e+00;1.054e+00;8.083e-01;1.912e-02;1.042e+00;7.478e-01;-3.653e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000789000;1.042e+00;8.309e-01;-4.066e-02;7.971e-01;-3.901e-02;1.030e+00;1.054e+00;8.083e-01;1.905e-02;1.042e+00;7.478e-01;-3.660e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000903000;1.042e+00;8.309e-01;-4.097e-02;7.971e-01;-3.931e-02;1.030e+00;1.054e+00;8.083e-01;1.875e-02;1.042e+00;7.478e-01;-3.688e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000932000;1.042e+00;8.308e-01;-4.105e-02;7.971e-01;-3.939e-02;1.030e+00;1.054e+00;8.083e-01;1.868e-02;1.042e+00;7.478e-01;-3.695e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000961000;1.042e+00;8.308e-01;-4.113e-02;7.971e-01;-3.946e-02;1.030e+00;1.054e+00;8.083e-01;1.861e-02;1.042e+00;7.478e-01;-3.701e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000989000;1.042e+00;8.308e-01;-4.120e-02;7.971e-01;-3.953e-02;1.030e+00;1.054e+00;8.083e-01;1.854e-02;1.042e+00;7.477e-01;-3.708e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001320000;1.042e+00;8.308e-01;-4.206e-02;7.971e-01;-4.035e-02;1.030e+00;1.054e+00;8.083e-01;1.773e-02;1.042e+00;7.477e-01;-3.785e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001352000;1.042e+00;8.307e-01;-4.214e-02;7.971e-01;-4.043e-02;1.030e+00;1.054e+00;8.083e-01;1.765e-02;1.042e+00;7.477e-01;-3.793e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001416000;1.042e+00;8.307e-01;-4.230e-02;7.971e-01;-4.058e-02;1.030e+00;1.054e+00;8.083e-01;1.750e-02;1.042e+00;7.477e-01;-3.807e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001448000;1.042e+00;8.307e-01;-4.238e-02;7.971e-01;-4.066e-02;1.030e+00;1.054e+00;8.083e-01;1.743e-02;1.042e+00;7.477e-01;-3.814e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
