time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.000320000;1.037e+00;3.903e-01;-9.163e-02;3.763e-01;-8.834e-02;1.035e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-8.713e-02;3.865e-01;1.000e+00
0.000435000;1.039e+00;3.910e-01;-7.567e-02;3.763e-01;-7.283e-02;1.037e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-7.152e-02;3.833e-01;1.000e+00
0.000550000;1.041e+00;3.918e-01;-6.036e-02;3.764e-01;-5.799e-02;1.040e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-5.660e-02;3.808e-01;1.000e+00
0.000666000;1.043e+00;3.925e-01;-4.567e-02;3.764e-01;-4.380e-02;1.042e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.233e-02;3.790e-01;1.000e+00
0.000781000;1.044e+00;3.931e-01;-3.157e-02;3.765e-01;-3.024e-02;1.044e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-2.869e-02;3.777e-01;1.000e+00
0.000896000;1.046e+00;3.938e-01;-1.805e-02;3.766e-01;-1.726e-02;1.045e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.564e-02;3.770e-01;1.000e+00
0.000937000;1.046e+00;3.940e-01;-1.339e-02;3.766e-01;-1.280e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.115e-02;3.768e-01;1.000e+00
0.000938000;1.046e+00;3.940e-01;-1.327e-02;3.766e-01;-1.269e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.104e-02;3.768e-01;1.000e+00
0.000939000;1.046e+00;3.941e-01;-1.316e-02;3.766e-01;-1.258e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.093e-02;3.768e-01;1.000e+00
0.000941000;1.046e+00;3.941e-01;-1.294e-02;3.766e-01;-1.236e-02;1.046e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.071e-02;3.768e-01;1.000e+00
