time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.032e+00;8.231e-01;-3.813e-02;7.973e-01;-3.693e-02;1.021e+00;1.044e+00;8.082e-01;2.161e-02;1.032e+00;7.408e-01;-3.431e-02;1.000e+01;8.333e-01;3.006e-09;5.000e+01;5.000e+01
0.000000000;1.032e+00;8.231e-01;-3.813e-02;7.973e-01;-3.693e-02;1.021e+00;1.044e+00;8.082e-01;2.161e-02;1.032e+00;7.408e-01;-3.432e-02;1.000e+01;8.333e-01;3.012e-09;5.000e+01;5.000e+01
0.000001000;1.032e+00;8.231e-01;-3.814e-02;7.973e-01;-3.694e-02;1.021e+00;1.044e+00;8.082e-01;2.160e-02;1.032e+00;7.408e-01;-3.432e-02;1.000e+01;8.333e-01;3.019e-09;5.000e+01;5.000e+01
0.000002000;1.032e+00;8.231e-01;-3.815e-02;7.973e-01;-3.695e-02;1.021e+00;1.044e+00;8.082e-01;2.159e-02;1.032e+00;7.408e-01;-3.433e-02;1.000e+01;8.333e-01;3.025e-09;5.000e+01;5.000e+01
0.000004000;1.032e+00;8.231e-01;-3.816e-02;7.973e-01;-3.697e-02;1.021e+00;1.044e+00;8.082e-01;2.157e-02;1.032e+00;7.408e-01;-3.435e-02;1.000e+01;8.333e-01;3.031e-09;5.000e+01;5.000e+01
0.000006000;1.032e+00;8.231e-01;-3.818e-02;7.973e-01;-3.698e-02;1.021e+00;1.044e+00;8.082e-01;2.156e-02;1.032e+00;7.408e-01;-3.436e-02;1.000e+01;8.333e-01;3.033e-09;5.000e+01;5.000e+01
0.000008000;1.032e+00;8.231e-01;-3.820e-02;7.973e-01;-3.700e-02;1.021e+00;1.044e+00;8.082e-01;2.154e-02;1.032e+00;7.408e-01;-3.438e-02;1.000e+01;8.333e-01;3.031e-09;5.000e+01;5.000e+01
0.000012000;1.032e+00;8.231e-01;-3.824e-02;7.973e-01;-3.704e-02;1.021e+00;1.044e+00;8.082e-01;2.151e-02;1.032e+00;7.408e-01;-3.441e-02;1.000e+01;8.333e-01;3.020e-09;5.000e+01;5.000e+01
0.000020000;1.032e+00;8.231e-01;-3.831e-02;7.973e-01;-3.711e-02;1.021e+00;1.044e+00;8.082e-01;2.144e-02;1.032e+00;7.407e-01;-3.448e-02;1.000e+01;8.333e-01;2.999e-09;5.000e+01;5.000e+01
0.000028000;1.032e+00;8.230e-01;-3.838e-02;7.973e-01;-3.718e-02;1.021e+00;1.044e+00;8.082e-01;2.137e-02;1.032e+00;7.407e-01;-3.454e-02;1.000e+01;8.333e-01;2.967e-09;5.000e+01;5.000e+01
0.000036000;1.032e+00;8.230e-01;-3.845e-02;7.973e-01;-3.725e-02;1.021e+00;1.044e+00;8.082e-01;2.130e-02;1.032e+00;7.407e-01;-3.461e-02;1.000e+01;8.333e-01;2.925e-09;5.000e+01;5.000e+01
