time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0966291528230663;0.416639634737916;0.37990434785025085;-0.4444440866863075;-0.4052683512507211;1.0000363321209378;9.998558790020779;0.416778373369681;-0.4368999900177683;-0.4368999797514775;0.38336084180309193;-0.4019680332038529;1.0869345265423485;0.555540718943705;1.0001059191520696
1e-06;1.0966294039708993;0.4166396926464212;0.3799041014161422;-0.4444440866269431;-0.4052683513961398;1.0000357233591772;9.998573030692306;0.4167783463953027;-0.4368999899104868;-0.4368999799188895;0.3833608257548256;-0.40196803293217587;1.0869346362436463;0.5555402534743293;1.0001057907254651
2e-06;1.096629674800098;0.4166397559015717;0.3799038359868551;-0.4444440865630919;-0.4052683515518385;1.0000350719989726;9.998588331093048;0.4167783175303519;-0.4368999897945484;-0.43689998009880165;0.3833608079431133;-0.4019680326403918;1.0869347506087983;0.5555397550833264;1.0001056550439218
4e-06;1.096629966206879;0.4166398253457718;0.37990355123952374;-0.44444408649427186;-0.40526835171779485;1.0000343795442523;9.998604707796645;0.41677828681669465;-0.4368999896691269;-0.43689998029134186;0.38336078762903975;-0.4019680323284728;1.0869348666117171;0.5555392245655679;1.0001055146762612
8e-06;1.09663027883703;0.41663990162929826;0.3799032477323537;-0.44444408641983457;-0.4052683518940145;1.0000336475134188;9.998622155986958;0.41677825409024083;-0.4368999895335239;-0.43689998049638934;0.3833607641558535;-0.40196803199686304;1.0869349817053096;0.5555386633434497;1.0001053717003925
1.6e-05;1.0966306136663744;0.41663998548058745;0.37990292674206133;-0.4444440863393054;-0.4052683520804433;1.0000328766324391;9.998640655510885;0.4167782189118601;-0.4368999893872794;-0.43689998071370323;0.38336073716695085;-0.40196803164629213;1.08693509460899;0.555538073381045;1.000105226126602
3.2e-05;1.096630972290166;0.41664007799523917;0.3799025901749122;-0.4444440862526188;-0.40526835227687635;1.0000320672951382;9.998660179411857;0.41677818094371805;-0.43689998923025974;-0.4368999809429745;0.38336070663782323;-0.4019680312778076;1.0869352052684893;0.5555374569868766;1.000105076022667
6.4e-05;1.0966313565074852;0.4166401803812575;0.37990224057664695;-0.4444440861598755;-0.40526835248307985;1.000031219959231;9.998680700314296;0.41677814038259237;-0.43689998906269506;-0.43689998118405965;0.38336067286594644;-0.401968030892781;1.0869353142704623;0.5555368165998193;1.0001049186335433
0.000128;1.0966317672517154;0.4166402934225798;0.3799018810481366;-0.4444440860609948;-0.40526835269885814;1.0000303345026769;9.99870219101956;0.41677809791171055;-0.4368999888851314;-0.43689998143734143;0.3833606362955495;-0.40196803049281504;1.086935422159569;0.5555361548533956;1.0001047514006196
0.000256;1.0966322034661047;0.41664041747183916;0.37990151518240894;-0.44444408595586726;-0.4052683529238424;1.000029409745448;9.998724627454523;0.41677805418001007;-0.4368999886985045;-0.4368999817037347;0.38336059735027195;-0.4019680300796972;1.0869355292123568;0.5555354744225179;1.0001045724051945
0.000512;1.0966326617581597;0.41664055297894714;0.3799011470764292;-0.4444440858448865;-0.40526835315735676;1.0000284443042227;9.998747992528303;0.41677800941174326;-0.43689998850433726;-0.4368999819843547;0.3833605566456164;-0.401968029655423;1.0869356353854394;0.5555347776957409;1.0001043799869487
0.001;1.0966331369503255;0.4166407006283049;0.379900780992153;-0.44444408572919203;-0.4052683533985989;1.0000274379133118;9.998772273051312;0.416777963664407;-0.43689998830465265;-0.43689998228029325;0.3833605153800533;-0.4019680292222126;1.0869357401474653;0.555534066790351;1.0001041720825763
0.001;1.0966336229439178;0.41664086089742053;0.3799004206767175;-0.44444408561025284;-0.40526835364686603;1.0000263919711219;9.998797456498503;0.41677791740219466;-0.4368999881015605;-0.43689998259260027;0.38336047532922624;-0.40196802878237653;1.086935842454827;0.5555333436795293;1.000103946503708
0.001001;1.0966341135890947;0.41664103388630874;0.37990006905294404;-0.44444408548922354;-0.4052683539015867;1.0000253091247433;9.998823528768312;0.4167778717551666;-0.43689998789694084;-0.43689998292230176;0.3833604383759505;-0.40196802833807765;1.0869359409719348;0.5555326101589698;1.0001037019320629
0.001002;1.096634603445031;0.4166412195956559;0.3798997285439436;-0.44444408536658814;-0.405268354162165;1.0000241921420243;9.99885046696613;0.41677782837511307;-0.4368999876922885;-0.436899983270514;0.38336040604094085;-0.4019680278911751;1.0869360343522048;0.5555318676843214;1.000103437876389
0.001004;1.0966350881254223;0.4166414178443686;0.37989940151131957;-0.44444408524206425;-0.40526835442785814;1.0000230427209977;9.998878238985384;0.4167777891390565;-0.4368999874885317;-0.4368999836386913;0.38336037925530125;-0.40196802744308396;1.0869361212650945;0.5555311171296692;1.0001031535511267
