time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0443896600978941;0.8334124122777257;0.7978921680141063;6.104625533121957e-07;3.408899714740779e-07;1.04506501886734;9.997524581627733;0.8083074523672408;0.020612023988577758;0.021539240603559367;0.9998707083527267;0.8085330709162928;0.9999283260243291
1e-06;1.044389468314596;0.8334125121659156;0.7978923642683787;6.111849472959396e-07;3.393337057098447e-07;1.0450647815259217;9.997533145774316;0.8083071358021543;0.02061202317727767;0.02153922294131496;0.9998707148640325;0.8085331359392157;0.9999288980908314
2e-06;1.0443892631573364;0.833412617406621;0.7978925718931456;6.119493446549177e-07;3.37655653683073e-07;1.0450645278445418;9.997542368677799;0.8083067952546271;0.02061202227393353;0.021539203913575198;0.9998707230553532;0.8085332060247071;0.999929515240072
4e-06;1.0443890458397795;0.8334127261907108;0.7978927888556324;6.127459294100882e-07;3.358515765087065e-07;1.0450642580408618;9.997552282628675;0.808306429970145;0.020612021261666773;0.021539183422393735;0.999870734493444;0.8085332805390726;0.999930180516571
8e-06;1.044388817882936;0.8334128365869354;0.7978930136606605;6.135656086044667e-07;3.339200703633346e-07;1.0450639723693012;9.997562914134415;0.8083060395184661;0.020612020122294995;0.021539161381887568;0.999870752106006;0.8085333576279619;0.9999308958907056
1.6e-05;1.044388580268106;0.8334129463440353;0.7978932456037415;6.144009939698584e-07;3.3185959473003114e-07;1.045063671722094;9.997574289380061;0.8083056234850128;0.02061201882648752;0.021539137736215977;0.9998707804903023;0.8085334343939766;0.99993166221446
3.2e-05;1.0443883335148842;0.8334130525915817;0.7978934843456343;6.152442431490382e-07;3.296680655800082e-07;1.0450633575630586;9.997586437362122;0.8083051810045367;0.02061201733679405;0.021539112456540718;0.9998708246025536;0.8085335070549362;0.9999324799916881
6.4e-05;1.0443880780426782;0.8334131523144073;0.7978937294649895;6.160857174484257e-07;3.2734454052698395e-07;1.045063030847664;9.997599389488597;0.8083047102137566;0.020612015609665874;0.02153908552856866;0.9998708879867106;0.8085335710093006;0.9999333501376664
0.000128;1.044387814535345;0.8334132425988733;0.7978939807771649;6.169158852199308e-07;3.2488907601833183e-07;1.0450626910519734;9.997613176142204;0.8083042079905963;0.02061201359286617;0.021539056943963346;0.9998709723239493;0.8085336212263192;0.9999342732868862
0.000256;1.0443875448487672;0.8334133200622322;0.7978942392363073;6.177294855612785e-07;3.2230110263751124e-07;1.045062335954747;9.99762781834917;0.8083036701216865;0.02061201122651033;0.021539026699814414;0.9998710781281845;0.808533652918892;0.9999352484290719
0.000512;1.0443872724360241;0.8334133807051776;0.7978945073370263;6.185261690021157e-07;3.1957921583569903e-07;1.0450619625158384;9.99764332149256;0.8083030915115382;0.020612008445903635;0.021538994802701994;0.9998712056081693;0.8085336618856831;0.9999362733705307
0.000768;1.0443870016508208;0.8334134204769158;0.7978947886380676;6.193053046951465e-07;3.167224670553948e-07;1.0450615689192353;9.997659679080671;0.8083024665135127;0.020612005184053605;0.021538961265599434;0.9998713549774125;0.8085336441557152;0.999937346140947
0.001;1.0443867373625362;0.8334134355345131;0.7978950868171834;6.200610354730231e-07;3.137312924823673e-07;1.045061156222606;9.997676882507555;0.8083017898421194;0.0206120013695812;0.02153892610101982;0.9998715262401208;0.8085335955757206;0.9999384648917055
0.001;1.0443864849750863;0.8334134218792253;0.7978954048674767;6.207825911590395e-07;3.106068278602926e-07;1.045060727910312;9.997694924900056;0.8083010575713824;0.02061199692640859;0.021538889327594932;0.9998717190054559;0.8085335117967123;0.9999396271305551
0.001001;1.04438624963017;0.8334133749281667;0.7978957450286576;6.214578912629875e-07;3.073487247081478e-07;1.0450602880861168;9.99771379326548;0.8083002672983852;0.020611991790201914;0.021538850989558815;0.9998719327460911;0.8085333883742306;0.999940829863114
0.001002;1.0443860353601682;0.8334132896414633;0.7978961093301041;6.220760771564031e-07;3.039535092258601e-07;1.0450598402444304;9.997733464213171;0.8082994176686709;0.02061198592517798;0.021538811173449194;0.9998721672864821;0.8085332209464055;0.9999420702161795
0.001004;1.0443858455734305;0.8334131609432287;0.7978965000108335;6.226277351521211e-07;3.004162458305994e-07;1.0450593870522769;9.997753917917324;0.8082985082877309;0.02061197931211784;0.02153877001062255;0.999872422887597;0.8085330054105361;0.9999433460547006
0.001008;1.044385684334996;0.8334129839148922;0.7978969195286404;6.231047439438718e-07;2.967338433440097e-07;1.0450589302571314;9.997775151865154;0.8082975400754562;0.020611971921509025;0.021538727663591137;0.9998726999976723;0.8085327381799845;0.9999446565183184
0.001016;1.0443855569351355;0.8334127540508578;0.7978973703929562;6.235010273556911e-07;2.929059394904374e-07;1.045058470443237;9.997797171449946;0.8082965151105869;0.020611963710667137;0.021538684299911046;0.9998729993054035;0.8085324169366978;0.999946001846781
0.001032;1.0443854691928476;0.833412467788073;0.7978978548654713;6.23812874951824e-07;2.889348002507467e-07;1.0450580070662943;9.997819971796638;0.8082954359205934;0.020611954646030217;0.021538640072176308;0.9998733220635174;0.8085320414072986;0.999947382379171
