time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.0;1.0444511543257746;0.8334396025685724;0.7980088457285727;6.677014111178472e-06;1.0782497023503605e-05;9.999901436362464;0.8082781739407753;0.020624085196593093;1.044927796416354;1.0000332468652415;0.8085254296359085;1.00010288619812
1e-06;1.0444511792055957;0.8334397306293606;0.798008292832921;6.669165901421698e-06;1.0754939610621731e-05;9.999898274385014;0.8082778956732485;0.020624034165986772;1.0449278646096067;1.0000329600708604;0.8085252801355363;1.0001027314288398
2e-06;1.044451206149802;0.8334398693603752;0.7980076992155045;6.660362450629384e-06;1.0725346433998586e-05;9.99989489203491;0.8082775953310959;0.020623979352017284;1.0449279355025678;1.0000326509552797;0.8085251199046555;1.0001025671929684
4e-06;1.0444512358568563;0.8334400185813247;0.798007064418296;6.650264389888189e-06;1.0693651389882125e-05;9.999891295240458;0.8082772712616091;0.02062392078086387;1.0449280076240566;1.0000323173300667;0.8085249487132162;1.0001023958269633
8e-06;1.044451269709916;0.833440176788957;0.7980063882522933;6.638515039134801e-06;1.065981184244607e-05;9.999887483638323;0.8082769215780484;0.020623858610376813;1.0449280795785927;1.000031956044409;0.8085247657061607;1.0001022209385422
1.6e-05;1.0444513100634134;0.8334403418524281;0.7980056706389979;6.624761312334231e-06;1.0623785284215362e-05;9.999883437641707;0.8082765442083615;0.020623793060945916;1.044928149611986;1.000031562575662;0.8085245689611436;1.0001020465058512
3.2e-05;1.0444513602685437;0.8334405119708299;0.7980049115449613;6.6086732824347754e-06;1.0585485892322279e-05;9.999879117045019;0.8082761376091195;0.020623724369314367;1.0449282148243666;1.0000311307702778;0.8085243552318406;1.0001018757066964
6.4e-05;1.0444514240345635;0.8334406862263655;0.7980041113838658;6.589937945783059e-06;1.0544771946464564e-05;9.99987447163371;0.8082757008487821;0.02062365279062456;1.0449282709032321;1.0000306527211356;0.8085241201919023;1.0001017106563104
0.000128;1.0444515045100997;0.833440864516908;0.7980032718387716;6.568207421485417e-06;1.0501419559366389e-05;9.99986945674379;0.8082752325247491;0.020623578601160254;1.0449283128695934;1.0000301189133516;0.8085238592928866;1.0001015528221648
0.000256;1.0444516036797864;0.8334410469770844;0.7980023957307542;6.543034316705354e-06;1.0455086902533708e-05;9.9998640471589;0.8082747297597942;0.02062350208588283;1.0449283360751735;1.0000295190761304;0.8085235686434283;1.0001014037115892
0.000512;1.0444517223182506;0.833441232987401;0.798001485907739;6.513848731344718e-06;1.0405350185543668e-05;9.99985823967728;0.8082741883657486;0.02062342352588148;1.0449283367107378;1.0000288436806966;0.8085232455288296;1.0001012658268797
0.000768;1.0444518606067517;0.833441420690813;0.7980005443022742;6.480022649425886e-06;1.0351764785143131e-05;9.999852045533794;0.8082736037447645;0.020623343151439825;1.0449283120896762;1.0000280853385959;0.8085228884335358;1.000101143225933
0.001;1.044452018994323;0.8334404821266562;0.7979984937223304;6.159507095456016e-06;1.0024385881115116e-05;9.999845484777836;0.8082729715406688;0.020623261089366143;1.044928261005816;1.0000272392929177;0.8085224964928466;1.0001010410935753
0.001;1.0444521984454351;0.8334406676832006;0.7979974898600243;6.1147174447942995e-06;9.961709234216075e-06;9.99983858522152;0.8082722880562587;0.02062317736252464;1.0449281836642783;1.000026302857422;0.8085220688913731;1.0001009645276537
0.001001;1.0444523999277506;0.8334408505073089;0.7979964540108321;6.063759558760264e-06;9.893826416734179e-06;9.999831379908603;0.8082715510028416;0.02062309188781795;1.04492808107407;1.0000252745420686;0.808521604630329;1.0001009174614661
0.001002;1.0444526241173733;0.8334410286092618;0.7979953849557103;6.006277691603157e-06;9.820419519992392e-06;9.999823900608279;0.808270760084001;0.020623004442405415;1.0449279546631407;1.0000241534451697;0.8085211024763117;1.0001009024704404
0.001004;1.044452871778049;0.8334411984070526;0.7979942812867067;5.942014274101243e-06;9.741278305240846e-06;9.999816172653906;0.8082699163933634;0.02062291466868817;1.0449278061918796;1.0000229390420463;0.8085205611973441;1.0001009209538838
0.001008;1.0444531438337903;0.8334413551634472;0.7979931420594457;5.8708135377752105e-06;9.656260982751019e-06;9.999808216226118;0.8082690212798307;0.020622822133137698;1.0449276375753187;1.000021631378728;0.808519980297057;1.0001009729670505
0.001016;1.0444534409172723;0.8334414941755699;0.7979919673785689;5.79261355463205e-06;9.565250807248812e-06;9.999800047356386;0.8082680760263851;0.02062272637511622;1.044927450802255;1.0000202311183144;0.8085193608048363;1.0001010571154778
0.001032;1.0444537631638016;0.833441611913168;0.7979907582477422;5.707435501750238e-06;9.468142778355275e-06;9.999791674835382;0.808267082078979;0.020622626936867384;1.0449272481851568;1.0000187393418163;0.8085187057105908;1.0001011708039622
0.001064;1.044454109760753;0.8334417064613144;0.7979895159780146;5.615328756121022e-06;9.364891252223738e-06;9.99978310333181;0.8082660410121344;0.020622523405565512;1.0449270323868254;1.000017157860894;0.8085180199370638;1.0001013103737022
0.001128;1.044454478039877;0.8334417767468645;0.79798824214423;5.516301463751922e-06;9.255572381380347e-06;9.99977434758644;0.8082649541909982;0.02062241548028166;1.0449268055801553;1.0000154897930889;0.808517309659247;1.0001014710399507
