time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent
0.0;1.0444470249369098;0.8333342837048318;0.7978726433588146;-1.2200450871039633e-06;-9.13978639841102e-06;9.999882146102399;0.8337297776290126;0.01642167180696549;0.01642178854469486;0.7977149447112766;-0.015711997145912128;1.04515419386526;0.7978712563930576
0.0;1.0444470246515243;0.8333342823122121;0.7978725779304142;-1.212816215575514e-06;-9.116632430521176e-06;9.999882178200844;0.8337297653067575;0.01642167236039299;0.016421789001461594;0.7977149398809831;-0.015711997137966;1.0451541862549938;0.7978712970068451
1e-06;1.0444470243240453;0.8333342808057544;0.7978725075331812;-1.2050612801228482e-06;-9.091637209733156e-06;9.999882213310949;0.8337297520365711;0.01642167295575294;0.016421789494603774;0.7977149345789523;-0.01571199712940832;1.04515417801707;0.7978713412289806
2e-06;1.0444470239371375;0.8333342791677953;0.7978724319016075;-1.1967813194650967e-06;-9.064581983324434e-06;9.999882250944298;0.8337297378213011;0.016421673593789484;0.01642179002809836;0.7977149286963675;-0.015711997120222535;1.0451541691018185;0.7978713898314056
4e-06;1.0444470234741254;0.8333342773801076;0.7978723507176001;-1.1879745594136217e-06;-9.035266628080263e-06;9.9998822907248;0.8337297227103365;0.016421674274803122;0.01642179060635183;0.7977149221534152;-0.01571199711043347;1.0451541594861609;0.7978714436212662
8e-06;1.0444470229098253;0.8333342754229702;0.7978722636338065;-1.1786203606256232e-06;-9.00358252180791e-06;9.999882333541505;0.8337297067671945;0.0164216749996328;0.016421791233464177;0.7977149149582791;-0.01571199710007899;1.0451541491623246;0.7978715031919543
1.6e-05;1.0444470221987028;0.8333342732655565;0.7978721703379641;-1.1686780950761465e-06;-8.9695409980192e-06;9.99988238226505;0.8337296900428013;0.016421675770741235;0.016421791913266693;0.7977149072200963;-0.015711997089152184;1.0451541381173213;0.7978715687888428
3.2e-05;1.0444470212797368;0.8333342708590066;0.7978720705476677;-1.1581030408703812e-06;-8.933281237820381e-06;9.999882441648339;0.8337296725585481;0.016421676593309155;0.016421792649580203;0.7977148991320352;-0.015711997077608963;1.0451541263255812;0.7978716403394113
6.4e-05;1.0444470200968992;0.8333342681405213;0.7978719639635147;-1.1468590946591232e-06;-8.895060127748108e-06;9.999882516772145;0.8337296543156049;0.01642167747447667;0.016421793445509508;0.797714890973344;-0.015711997065439135;1.0451541137604583;0.7978717176207452
0.000128;1.0444470186077475;0.8333342650469867;0.7978718502537782;-1.1349156534012048e-06;-8.855252269110997e-06;9.999882610897682;0.8337296353709455;0.01642167842062094;0.016421794302758155;0.7977148830679822;-0.015711997052700228;1.0451541004158995;0.7978718004158868
0.000256;1.0444470167722508;0.8333342615256455;0.7978717290637958;-1.1222378074446066e-06;-8.814329373636723e-06;9.999882724560651;0.8337296159092414;0.016421679435826675;0.01642179522218951;0.7977148756778136;-0.015711997039500682;1.0451540863147468;0.7978718885120413
0.000512;1.0444470145446787;0.8333342575311558;0.7978716000731749;-1.108778495031251e-06;-8.772737496545585e-06;9.99988285616382;0.8337295962170927;0.016421680522632435;0.016421796204591808;0.7977148689317898;-0.015711997025990073;1.0451540714943484;0.7978719816066205
0.001024;1.0444470118702982;0.8333342530189336;0.7978714631196409;-1.0944794604794017e-06;-8.730774150231537e-06;9.99988300276815;0.8337295766281941;0.016421681682552584;0.01642179725085283;0.7977148628337813;-0.015711997012359348;1.0451540559906873;0.7978720792461682
0.002048;1.044447008675683;0.8333342479476606;0.7978713182758886;-1.079282392779122e-06;-8.688610186819221e-06;9.999883160860586;0.8337295574885422;0.016421682915220028;0.01642179836156342;0.7977148573051025;-0.01571199699883725;1.0451540398340997;0.7978721808124618
0.004096;1.0444470048585608;0.8333342422840733;0.7978711657760603;-1.0631417828280223e-06;-8.646398031401146e-06;9.999883327311617;0.8337295391068336;0.016421684218072993;0.016421799535809745;0.7977148522247687;-0.015711996985687333;1.0451540230437348;0.7978722855658672
0.008192;1.0444470002841983;0.8333342360025341;0.7978710059034461;-1.0460291500918977e-06;-8.604359337501492e-06;9.99988349965658;0.8337295217459113;0.016421685587994273;0.01642180077055164;0.7977148474573944;-0.015711996973191814;1.0451540056174584;0.7978723927600642
0.016384;1.0444469947987696;0.833334229084625;0.7978708389828094;-1.0279207005894912e-06;-8.562794649462398e-06;9.999883675835864;0.8337295056849915;0.016421687023104023;0.01642180206200563;0.7977148428569352;-0.01571199696161799;1.0451539875296627;0.7978725017106312
0.026384;1.0444469882589322;0.8333342215217007;0.797870665411646;-1.0087792741449752e-06;-8.521997561159762e-06;9.999883854140407;0.8337294912817618;0.016421688522188;0.01642180340724267;0.7977148382402552;-0.015711996951193522;1.045153968743642;0.7978726117005076
0.036384;1.044446980549075;0.833334213315364;0.7978704856395092;-9.885513944828882e-07;-8.482170711313137e-06;9.999884033331611;0.833729479007974;0.016421690082896633;0.016421804804051823;0.7977148333807335;-0.01571199694210238;1.0451539492367903;0.7978727218648225
