time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.042e+00;8.297e-01;-5.428e-02;7.965e-01;-5.211e-02;1.025e+00;1.052e+00;8.085e-01;6.202e-03;1.042e+00;7.467e-01;-4.885e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000073;1.042e+00;8.297e-01;-5.451e-02;7.965e-01;-5.233e-02;1.025e+00;1.052e+00;8.085e-01;5.980e-03;1.042e+00;7.467e-01;-4.906e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000087;1.042e+00;8.296e-01;-5.455e-02;7.965e-01;-5.238e-02;1.025e+00;1.052e+00;8.085e-01;5.937e-03;1.042e+00;7.467e-01;-4.910e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000188;1.042e+00;8.296e-01;-5.487e-02;7.965e-01;-5.268e-02;1.025e+00;1.052e+00;8.085e-01;5.636e-03;1.042e+00;7.467e-01;-4.938e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000203;1.042e+00;8.296e-01;-5.492e-02;7.965e-01;-5.272e-02;1.025e+00;1.052e+00;8.085e-01;5.594e-03;1.042e+00;7.466e-01;-4.942e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000390;1.042e+00;8.296e-01;-5.549e-02;7.965e-01;-5.328e-02;1.025e+00;1.052e+00;8.085e-01;5.048e-03;1.042e+00;7.466e-01;-4.994e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000406;1.042e+00;8.295e-01;-5.554e-02;7.965e-01;-5.332e-02;1.025e+00;1.052e+00;8.085e-01;5.003e-03;1.042e+00;7.466e-01;-4.998e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000470;1.042e+00;8.295e-01;-5.573e-02;7.965e-01;-5.351e-02;1.025e+00;1.052e+00;8.085e-01;4.821e-03;1.042e+00;7.466e-01;-5.016e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000486;1.042e+00;8.295e-01;-5.578e-02;7.964e-01;-5.355e-02;1.025e+00;1.052e+00;8.085e-01;4.776e-03;1.042e+00;7.466e-01;-5.020e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000550;1.042e+00;8.295e-01;-5.597e-02;7.964e-01;-5.373e-02;1.025e+00;1.052e+00;8.085e-01;4.596e-03;1.042e+00;7.466e-01;-5.037e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000566;1.042e+00;8.295e-01;-5.601e-02;7.964e-01;-5.378e-02;1.025e+00;1.052e+00;8.085e-01;4.551e-03;1.042e+00;7.465e-01;-5.041e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000662;1.042e+00;8.295e-01;-5.629e-02;7.964e-01;-5.405e-02;1.025e+00;1.052e+00;8.085e-01;4.286e-03;1.042e+00;7.465e-01;-5.066e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000678;1.041e+00;8.295e-01;-5.634e-02;7.964e-01;-5.409e-02;1.025e+00;1.052e+00;8.085e-01;4.243e-03;1.041e+00;7.465e-01;-5.070e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000739;1.041e+00;8.295e-01;-5.651e-02;7.964e-01;-5.426e-02;1.025e+00;1.052e+00;8.085e-01;4.075e-03;1.041e+00;7.465e-01;-5.086e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000755;1.041e+00;8.294e-01;-5.656e-02;7.964e-01;-5.431e-02;1.025e+00;1.052e+00;8.085e-01;4.032e-03;1.041e+00;7.465e-01;-5.090e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000787;1.041e+00;8.294e-01;-5.665e-02;7.964e-01;-5.439e-02;1.024e+00;1.052e+00;8.085e-01;3.946e-03;1.041e+00;7.465e-01;-5.099e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000989;1.041e+00;8.294e-01;-5.721e-02;7.964e-01;-5.493e-02;1.024e+00;1.052e+00;8.085e-01;3.417e-03;1.041e+00;7.465e-01;-5.149e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001000;1.041e+00;8.294e-01;-5.724e-02;7.964e-01;-5.496e-02;1.024e+00;1.052e+00;8.085e-01;3.388e-03;1.041e+00;7.464e-01;-5.151e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001160;1.041e+00;8.294e-01;-5.767e-02;7.964e-01;-5.537e-02;1.024e+00;1.052e+00;8.085e-01;2.983e-03;1.041e+00;7.464e-01;-5.190e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001192;1.041e+00;8.293e-01;-5.775e-02;7.964e-01;-5.545e-02;1.024e+00;1.052e+00;8.085e-01;2.904e-03;1.041e+00;7.464e-01;-5.197e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001224;1.041e+00;8.293e-01;-5.783e-02;7.964e-01;-5.553e-02;1.024e+00;1.052e+00;8.085e-01;2.825e-03;1.041e+00;7.464e-01;-5.205e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001256;1.041e+00;8.293e-01;-5.791e-02;7.963e-01;-5.561e-02;1.024e+00;1.052e+00;8.085e-01;2.747e-03;1.041e+00;7.464e-01;-5.212e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001416;1.041e+00;8.293e-01;-5.832e-02;7.963e-01;-5.600e-02;1.024e+00;1.052e+00;8.086e-01;2.363e-03;1.041e+00;7.464e-01;-5.249e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001448;1.041e+00;8.293e-01;-5.840e-02;7.963e-01;-5.608e-02;1.024e+00;1.052e+00;8.086e-01;2.287e-03;1.041e+00;7.464e-01;-5.256e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001512;1.041e+00;8.293e-01;-5.856e-02;7.963e-01;-5.623e-02;1.024e+00;1.052e+00;8.086e-01;2.138e-03;1.041e+00;7.464e-01;-5.270e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001544;1.041e+00;8.293e-01;-5.863e-02;7.963e-01;-5.630e-02;1.024e+00;1.052e+00;8.086e-01;2.064e-03;1.041e+00;7.463e-01;-5.277e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001672;1.041e+00;8.293e-01;-5.894e-02;7.963e-01;-5.660e-02;1.024e+00;1.052e+00;8.086e-01;1.775e-03;1.041e+00;7.463e-01;-5.305e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001704;1.041e+00;8.292e-01;-5.902e-02;7.963e-01;-5.667e-02;1.024e+00;1.052e+00;8.086e-01;1.703e-03;1.041e+00;7.463e-01;-5.312e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001864;1.041e+00;8.292e-01;-5.938e-02;7.963e-01;-5.703e-02;1.024e+00;1.052e+00;8.086e-01;1.356e-03;1.041e+00;7.463e-01;-5.345e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.001896;1.041e+00;8.292e-01;-5.946e-02;7.963e-01;-5.710e-02;1.023e+00;1.052e+00;8.086e-01;1.287e-03;1.041e+00;7.463e-01;-5.351e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002056;1.041e+00;8.292e-01;-5.981e-02;7.963e-01;-5.744e-02;1.023e+00;1.052e+00;8.086e-01;9.531e-04;1.041e+00;7.463e-01;-5.383e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002088;1.041e+00;8.292e-01;-5.988e-02;7.963e-01;-5.750e-02;1.023e+00;1.051e+00;8.086e-01;8.876e-04;1.041e+00;7.463e-01;-5.389e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002267;1.041e+00;8.292e-01;-6.026e-02;7.963e-01;-5.787e-02;1.023e+00;1.051e+00;8.086e-01;5.315e-04;1.041e+00;7.463e-01;-5.423e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002299;1.041e+00;8.292e-01;-6.032e-02;7.963e-01;-5.793e-02;1.023e+00;1.051e+00;8.086e-01;4.703e-04;1.041e+00;7.462e-01;-5.429e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002427;1.041e+00;8.292e-01;-6.058e-02;7.963e-01;-5.818e-02;1.023e+00;1.051e+00;8.087e-01;2.272e-04;1.041e+00;7.462e-01;-5.452e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002459;1.041e+00;8.291e-01;-6.064e-02;7.963e-01;-5.824e-02;1.023e+00;1.051e+00;8.087e-01;1.670e-04;1.041e+00;7.462e-01;-5.458e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002555;1.041e+00;8.291e-01;-6.083e-02;7.963e-01;-5.842e-02;1.023e+00;1.051e+00;8.087e-01;-8.455e-06;1.041e+00;7.462e-01;-5.475e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
0.002587;1.041e+00;8.291e-01;-6.089e-02;7.963e-01;-5.848e-02;1.023e+00;1.051e+00;8.087e-01;-6.658e-05;1.041e+00;7.462e-01;-5.480e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.003401;1.041e+00;8.291e-01;-6.228e-02;7.963e-01;-5.982e-02;1.023e+00;1.051e+00;8.088e-01;-1.378e-03;1.041e+00;7.462e-01;-5.605e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.003465;1.041e+00;8.291e-01;-6.238e-02;7.963e-01;-5.991e-02;1.022e+00;1.051e+00;8.088e-01;-1.470e-03;1.041e+00;7.462e-01;-5.614e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.004384;1.041e+00;8.291e-01;-6.358e-02;7.963e-01;-6.107e-02;1.022e+00;1.051e+00;8.089e-01;-2.596e-03;1.041e+00;7.462e-01;-5.722e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.004499;1.041e+00;8.291e-01;-6.371e-02;7.964e-01;-6.119e-02;1.022e+00;1.051e+00;8.089e-01;-2.714e-03;1.041e+00;7.462e-01;-5.733e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.005075;1.041e+00;8.291e-01;-6.426e-02;7.964e-01;-6.173e-02;1.022e+00;1.051e+00;8.090e-01;-3.234e-03;1.041e+00;7.462e-01;-5.784e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.005767;1.041e+00;8.291e-01;-6.477e-02;7.964e-01;-6.222e-02;1.022e+00;1.051e+00;8.091e-01;-3.710e-03;1.041e+00;7.462e-01;-5.830e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.005882;1.041e+00;8.292e-01;-6.484e-02;7.965e-01;-6.229e-02;1.022e+00;1.051e+00;8.091e-01;-3.775e-03;1.041e+00;7.462e-01;-5.836e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.006112;1.041e+00;8.292e-01;-6.497e-02;7.965e-01;-6.241e-02;1.022e+00;1.051e+00;8.091e-01;-3.892e-03;1.041e+00;7.462e-01;-5.847e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.006227;1.041e+00;8.292e-01;-6.503e-02;7.965e-01;-6.247e-02;1.022e+00;1.051e+00;8.091e-01;-3.945e-03;1.041e+00;7.463e-01;-5.853e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.006343;1.041e+00;8.292e-01;-6.508e-02;7.965e-01;-6.252e-02;1.022e+00;1.051e+00;8.091e-01;-3.995e-03;1.041e+00;7.463e-01;-5.857e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.006458;1.041e+00;8.292e-01;-6.513e-02;7.965e-01;-6.256e-02;1.021e+00;1.051e+00;8.092e-01;-4.040e-03;1.041e+00;7.463e-01;-5.862e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.007126;1.041e+00;8.292e-01;-6.534e-02;7.965e-01;-6.277e-02;1.021e+00;1.051e+00;8.092e-01;-4.235e-03;1.041e+00;7.463e-01;-5.881e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.007333;1.041e+00;8.292e-01;-6.538e-02;7.966e-01;-6.281e-02;1.021e+00;1.051e+00;8.092e-01;-4.272e-03;1.041e+00;7.463e-01;-5.885e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
0.007541;1.041e+00;8.292e-01;-6.542e-02;7.966e-01;-6.284e-02;1.021e+00;1.051e+00;8.092e-01;-4.298e-03;1.041e+00;7.463e-01;-5.887e-02;1.000e+01;8.333e-01;1.044e+00;5.002e+01;5.002e+01
