time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.332e-01;7.239e-09;7.978e-01;3.120e-09;1.044e+00;1.044e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;6.920e-04;7.978e-01;6.620e-04
19.999996000;1.044e+00;8.332e-01;4.519e-10;7.978e-01;-4.161e-10;1.044e+00;1.044e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;6.920e-04;7.978e-01;6.620e-04
19.999996000;1.044e+00;8.332e-01;4.572e-10;7.978e-01;-3.361e-10;1.044e+00;1.044e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.620e-04
19.999998000;1.044e+00;8.332e-01;5.714e-10;7.978e-01;-1.010e-10;1.044e+00;1.044e+00;3.333e-02;-0.000e+00;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.620e-04
20.000012000;1.044e+00;8.332e-01;9.506e-10;7.978e-01;4.050e-10;1.044e+00;1.044e+00;3.333e-02;-0.000e+00;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.590e-04
20.000028000;1.044e+00;8.332e-01;1.115e-09;7.978e-01;6.086e-10;1.044e+00;1.044e+00;3.333e-02;-0.000e+00;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.560e-04
20.000060000;1.044e+00;8.332e-01;-2.500e-05;7.978e-01;-2.394e-05;1.044e+00;1.044e+00;3.333e-02;-1.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.500e-04
20.000124000;1.044e+00;8.332e-01;-2.500e-05;7.978e-01;-2.394e-05;1.044e+00;1.044e+00;3.333e-02;-1.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;6.370e-04
20.000380000;1.044e+00;8.332e-01;-7.500e-05;7.978e-01;-7.181e-05;1.044e+00;1.044e+00;3.333e-02;-3.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;5.880e-04
20.000636000;1.044e+00;8.332e-01;-1.250e-04;7.978e-01;-1.197e-04;1.044e+00;1.044e+00;3.333e-02;-5.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;5.410e-04
20.000892000;1.044e+00;8.332e-01;-1.750e-04;7.978e-01;-1.676e-04;1.044e+00;1.044e+00;3.333e-02;-7.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;4.950e-04
20.001148000;1.044e+00;8.332e-01;-2.250e-04;7.978e-01;-2.154e-04;1.044e+00;1.044e+00;3.333e-02;-9.000e-06;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;4.500e-04
20.001404000;1.044e+00;8.332e-01;-2.500e-04;7.978e-01;-2.394e-04;1.044e+00;1.044e+00;3.333e-02;-1.000e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;4.060e-04
20.001916000;1.044e+00;8.332e-01;-3.500e-04;7.978e-01;-3.351e-04;1.044e+00;1.044e+00;3.333e-02;-1.400e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;3.240e-04
20.002428000;1.044e+00;8.331e-01;-4.250e-04;7.978e-01;-4.070e-04;1.044e+00;1.044e+00;3.333e-02;-1.700e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;2.480e-04
20.002940000;1.044e+00;8.331e-01;-5.000e-04;7.978e-01;-4.788e-04;1.044e+00;1.044e+00;3.332e-02;-2.000e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;1.780e-04
20.003452000;1.044e+00;8.331e-01;-5.500e-04;7.978e-01;-5.267e-04;1.044e+00;1.044e+00;3.332e-02;-2.200e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;1.150e-04
20.003964000;1.044e+00;8.330e-01;-6.250e-04;7.978e-01;-5.985e-04;1.044e+00;1.044e+00;3.332e-02;-2.500e-05;1.000e+01;8.333e-01;-1.970e-04;7.978e-01;5.800e-05
