time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-5.225e-09;8.332e-01;-7.082e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-2.583e-09;1.000e+01;8.333e-01
0.000721000;1.000e+00;8.332e-01;-3.240e-09;8.332e-01;-2.352e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-2.318e-10;1.000e+01;8.333e-01
0.000746000;1.000e+00;8.332e-01;-2.863e-09;8.333e-01;-2.515e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;6.006e-11;1.000e+01;8.333e-01
7.380497000;1.000e+00;8.332e-01;-2.500e-05;8.333e-01;-2.500e-05;1.000e+00;8.332e-01;7.250e-04;1.000e+00;3.333e-02;-1.007e-06;1.000e+01;8.333e-01
19.999997000;1.000e+00;8.332e-01;-2.500e-05;8.333e-01;-2.499e-05;1.000e+00;8.332e-01;7.250e-04;1.000e+00;3.333e-02;-9.964e-07;1.000e+01;8.333e-01
19.999998000;1.000e+00;8.332e-01;-2.705e-09;8.333e-01;4.960e-09;1.000e+00;8.333e-01;7.500e-04;1.000e+00;3.333e-02;3.860e-09;1.000e+01;8.333e-01
20.000000000;1.000e+00;8.332e-01;-3.186e-09;8.332e-01;4.891e-09;1.000e+00;8.333e-01;7.750e-04;1.000e+00;3.333e-02;4.089e-09;1.000e+01;8.333e-01
20.000004000;1.000e+00;8.333e-01;5.000e-05;8.333e-01;5.000e-05;1.000e+00;8.333e-01;8.000e-04;1.000e+00;3.333e-02;2.004e-06;1.000e+01;8.333e-01
20.000028000;1.000e+00;8.334e-01;2.750e-04;8.333e-01;2.750e-04;1.000e+00;8.333e-01;1.025e-03;1.000e+00;3.333e-02;1.100e-05;1.000e+01;8.333e-01
20.000060000;1.000e+00;8.334e-01;6.000e-04;8.333e-01;5.999e-04;1.000e+00;8.332e-01;1.350e-03;1.000e+00;3.334e-02;2.401e-05;1.000e+01;8.333e-01
20.000124000;1.000e+00;8.336e-01;1.200e-03;8.333e-01;1.200e-03;1.000e+00;8.332e-01;1.974e-03;1.000e+00;3.334e-02;4.801e-05;1.000e+01;8.333e-01
20.000188000;1.001e+00;8.338e-01;1.825e-03;8.333e-01;1.824e-03;1.001e+00;8.332e-01;2.573e-03;1.001e+00;3.335e-02;7.301e-05;1.000e+01;8.333e-01
20.000252000;1.001e+00;8.339e-01;2.425e-03;8.333e-01;2.423e-03;1.001e+00;8.332e-01;3.197e-03;1.001e+00;3.336e-02;9.701e-05;1.000e+01;8.333e-01
20.000316000;1.001e+00;8.341e-01;3.050e-03;8.333e-01;3.047e-03;1.001e+00;8.333e-01;3.796e-03;1.001e+00;3.336e-02;1.220e-04;1.000e+01;8.333e-01
20.000444000;1.001e+00;8.345e-01;4.250e-03;8.333e-01;4.244e-03;1.001e+00;8.333e-01;4.993e-03;1.001e+00;3.338e-02;1.700e-04;1.000e+01;8.333e-01
20.000508000;1.002e+00;8.346e-01;4.850e-03;8.333e-01;4.842e-03;1.002e+00;8.333e-01;5.591e-03;1.002e+00;3.338e-02;1.940e-04;1.000e+01;8.333e-01
20.000700000;1.002e+00;8.351e-01;6.600e-03;8.333e-01;6.585e-03;1.002e+00;8.333e-01;7.358e-03;1.002e+00;3.341e-02;2.640e-04;1.000e+01;8.333e-01
20.000764000;1.002e+00;8.353e-01;7.200e-03;8.333e-01;7.182e-03;1.002e+00;8.333e-01;7.930e-03;1.002e+00;3.341e-02;2.880e-04;1.000e+01;8.333e-01
20.000828000;1.003e+00;8.355e-01;7.775e-03;8.333e-01;7.754e-03;1.003e+00;8.333e-01;8.502e-03;1.003e+00;3.342e-02;3.110e-04;1.000e+01;8.333e-01
20.000892000;1.003e+00;8.356e-01;8.350e-03;8.333e-01;8.326e-03;1.003e+00;8.333e-01;9.074e-03;1.003e+00;3.343e-02;3.340e-04;1.000e+01;8.333e-01
20.001020000;1.003e+00;8.360e-01;9.500e-03;8.333e-01;9.469e-03;1.003e+00;8.333e-01;1.022e-02;1.003e+00;3.344e-02;3.800e-04;1.000e+01;8.333e-01
20.001148000;1.004e+00;8.363e-01;1.062e-02;8.333e-01;1.059e-02;1.004e+00;8.332e-01;1.133e-02;1.004e+00;3.345e-02;4.250e-04;1.000e+01;8.333e-01
20.001276000;1.004e+00;8.366e-01;1.175e-02;8.333e-01;1.170e-02;1.004e+00;8.333e-01;1.245e-02;1.004e+00;3.346e-02;4.700e-04;1.000e+01;8.333e-01
20.001404000;1.004e+00;8.369e-01;1.285e-02;8.333e-01;1.279e-02;1.004e+00;8.332e-01;1.354e-02;1.004e+00;3.348e-02;5.140e-04;1.000e+01;8.333e-01
20.001532000;1.005e+00;8.372e-01;1.392e-02;8.333e-01;1.386e-02;1.005e+00;8.332e-01;1.461e-02;1.005e+00;3.349e-02;5.570e-04;1.000e+01;8.333e-01
20.001788000;1.005e+00;8.378e-01;1.607e-02;8.333e-01;1.599e-02;1.005e+00;8.332e-01;1.673e-02;1.005e+00;3.351e-02;6.430e-04;1.000e+01;8.333e-01
20.001916000;1.006e+00;8.381e-01;1.712e-02;8.333e-01;1.703e-02;1.006e+00;8.332e-01;1.777e-02;1.006e+00;3.352e-02;6.850e-04;1.000e+01;8.333e-01
20.002044000;1.006e+00;8.384e-01;1.815e-02;8.332e-01;1.804e-02;1.006e+00;8.332e-01;1.878e-02;1.006e+00;3.354e-02;7.260e-04;1.000e+01;8.333e-01
20.002172000;1.006e+00;8.387e-01;1.918e-02;8.332e-01;1.905e-02;1.007e+00;8.332e-01;1.980e-02;1.006e+00;3.355e-02;7.670e-04;1.000e+01;8.333e-01
20.002300000;1.007e+00;8.389e-01;2.017e-02;8.333e-01;2.004e-02;1.007e+00;8.332e-01;2.081e-02;1.007e+00;3.356e-02;8.070e-04;1.000e+01;8.333e-01
20.002428000;1.007e+00;8.392e-01;2.117e-02;8.332e-01;2.102e-02;1.007e+00;8.332e-01;2.177e-02;1.007e+00;3.357e-02;8.470e-04;1.000e+01;8.333e-01
20.002556000;1.008e+00;8.395e-01;2.215e-02;8.332e-01;2.199e-02;1.008e+00;8.332e-01;2.275e-02;1.008e+00;3.358e-02;8.860e-04;1.000e+01;8.333e-01
20.002684000;1.008e+00;8.397e-01;2.312e-02;8.332e-01;2.295e-02;1.008e+00;8.332e-01;2.369e-02;1.008e+00;3.359e-02;9.250e-04;1.000e+01;8.333e-01
20.002812000;1.008e+00;8.400e-01;2.407e-02;8.332e-01;2.388e-02;1.008e+00;8.332e-01;2.465e-02;1.008e+00;3.360e-02;9.630e-04;1.000e+01;8.333e-01
20.002940000;1.008e+00;8.403e-01;2.502e-02;8.332e-01;2.481e-02;1.009e+00;8.332e-01;2.556e-02;1.008e+00;3.361e-02;1.001e-03;1.000e+01;8.333e-01
20.003068000;1.009e+00;8.405e-01;2.595e-02;8.332e-01;2.572e-02;1.009e+00;8.332e-01;2.649e-02;1.009e+00;3.362e-02;1.038e-03;1.000e+01;8.333e-01
20.003196000;1.009e+00;8.407e-01;2.687e-02;8.332e-01;2.663e-02;1.009e+00;8.332e-01;2.738e-02;1.009e+00;3.363e-02;1.075e-03;1.000e+01;8.333e-01
