time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.068e-01;1.003e-01;5.000e+01;5.000e+01
20.000012000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.068e-01;1.003e-01;5.000e+01;5.000e+01
20.000088000;1.044e+00;8.333e-01;8.326e-02;7.979e-01;7.972e-02;1.078e+00;1.044e+00;7.500e-01;7.493e-02;1.000e+01;8.068e-01;1.003e-01;5.000e+01;5.000e+01
20.000136000;1.044e+00;8.333e-01;8.317e-02;7.979e-01;7.963e-02;1.078e+00;1.044e+00;7.500e-01;7.485e-02;1.000e+01;8.068e-01;1.002e-01;5.000e+01;5.000e+01
20.000168000;1.044e+00;8.333e-01;8.309e-02;7.979e-01;7.956e-02;1.078e+00;1.044e+00;7.499e-01;7.478e-02;1.000e+01;8.068e-01;1.001e-01;5.000e+01;5.000e+01
20.000200000;1.044e+00;8.332e-01;8.299e-02;7.979e-01;7.947e-02;1.078e+00;1.044e+00;7.499e-01;7.469e-02;1.000e+01;8.068e-01;1.000e-01;5.000e+01;5.000e+01
20.000264000;1.044e+00;8.332e-01;8.275e-02;7.979e-01;7.924e-02;1.078e+00;1.044e+00;7.499e-01;7.448e-02;1.000e+01;8.068e-01;9.980e-02;5.000e+01;5.000e+01
20.000296000;1.044e+00;8.331e-01;8.261e-02;7.979e-01;7.911e-02;1.078e+00;1.044e+00;7.498e-01;7.435e-02;1.000e+01;8.068e-01;9.967e-02;5.000e+01;5.000e+01
20.000360000;1.044e+00;8.331e-01;8.230e-02;7.979e-01;7.882e-02;1.078e+00;1.044e+00;7.498e-01;7.407e-02;1.000e+01;8.068e-01;9.937e-02;5.000e+01;5.000e+01
20.000392000;1.044e+00;8.330e-01;8.212e-02;7.979e-01;7.865e-02;1.078e+00;1.044e+00;7.497e-01;7.391e-02;1.000e+01;8.068e-01;9.921e-02;5.000e+01;5.000e+01
